obj_1,obj_2,obj_3,odd,reason_for_similarity
Philosopher's Stone,Triwizard Cup,Goblet of Fire,Philosopher's Stone,Goblet of Fire and Triwizard Cup are related to Triwizard Tournament
Obsidian,Dolomite,Limestone,Obsidian,Limestone and Dolomite are carbonate rocks.
Titian,Raphael,Michelangelo,Titian,Raphael and Michelangelo were part of the High Renaissance
The Persistence of Memory,The Last Supper,The Birth of Venus,The Persistence of Memory,The Last Supper and The Birth of Venus are both religious themed paintings
Lord Voldemort,Nagini,Tom Riddle,Nagini,Tom Riddle and Lord Voldemort are the same person
Leonardo DiCaprio,Brad Pitt,Johnny Depp,Johnny Depp,"Brad Pitt and Leonardo DiCaprio starred in ""Once Upon a Time in Hollywood"""
Chewbacca,Mace Windu,Yoda,Chewbacca,Yoda and Mace Windu are both Jedi Masters
The Prince,The Book of the Courtier,The Wealth of Nations,The Wealth of Nations,The Book of the Courtier and The Prince were both written during the Italian Renaissance.
Hickory,Pecan,Maple,Maple,Hickory and Pecan both produce hard shell nuts
Executive Order,Veto Power,Judicial Review,Judicial Review,Veto Power and Executive Order are both powers of the President
Liu Xiaobo,Shirin Ebadi,Paul L. Modrich,Paul L. Modrich,Liu Xiaobo and Shirin Ebadi won the Nobel Peace Prize
Limburger Cheese,Roquefort Cheese,Stinky Tofu,Roquefort Cheese,Stinky Tofu and Limburger Cheese are both known for their strong odor
Harmony,Melody,Rhythm,Rhythm,"Melody and Harmony involve pitch, not rhythm"
Iron Throne,The Eyrie,Dragonstone,Iron Throne,Dragonstone and The Eyrie are castles
The Girl with a Pearl Earring,The Arnolfini Portrait,The Night Watch,The Night Watch,The Girl with a Pearl Earring and The Arnolfini Portrait are both oil paintings on canvas
Gazpacho,Paella,Pizza Margherita,Pizza Margherita,Both are traditional Spanish dishes
Jovian,Julian,Caligula,Caligula,Julian and Jovian ruled during the Constantinian dynasty
Dill,Cayenne,Fennel,Cayenne,Dill and Fennel both have a similar licorice flavor.
Mendelssohn,Chopin,Haydn,Chopin,Mendelssohn and Haydn were both from the Classical period
Blini,Enchiladas,Tacos,Blini,Both are traditional Mexican dishes
Haydn,Mozart,Tchaikovsky,Tchaikovsky,Mozart and Haydn were both from the Classical period
Lex Luthor,Flash,Green Lantern,Lex Luthor,Green Lantern and Flash are heroes
Eiffel Tower,Arch of Constantine,Trajan's Column,Eiffel Tower,"Trajan's Column and Arch of Constantine are Roman monuments, Eiffel Tower is not"
Galapagos Islands,Mount Vesuvius,Madagascar,Mount Vesuvius,Galapagos Islands and Madagascar are both islands
Green Lantern,Silver Surfer,Iron Fist,Iron Fist,Silver Surfer and Green Lantern have cosmic powers
French Cuisine,Mexican Cuisine,Peruvian Cuisine,French Cuisine,Peruvian and Mexican cuisines both use a lot of corn
Stokely Carmichael,Malcom X,Huey P. Newton,Malcom X,Stokely Carmichael and Huey P. Newton were both leaders in the Black Power movement
Supreme Court,House of Representatives,Senate,Supreme Court,Senate and House of Representatives are both legislative branches
Orville Wright,George Eastman,Wilbur Wright,George Eastman,Orville and Wilbur Wright both contributed to aviation
Spinning Jenny,Telegraph,Cotton Gin,Telegraph,Cotton Gin and Spinning Jenny are related to cotton processing
Martin Van Buren,Dwight D. Eisenhower,Andrew Jackson,Dwight D. Eisenhower,Andrew Jackson and Martin Van Buren were both presidents who had previously served as U.S. Senators.
Nikola Tesla,Michael Faraday,James Watt,James Watt,Tesla and Faraday both made significant contributions to electromagnetism
Ferran Adrià,Rachael Ray,Guy Fieri,Ferran Adrià,Guy Fieri and Rachael Ray both host shows on Food Network.
Ibn Battuta,Christopher Columbus,Marco Polo,Christopher Columbus,Marco Polo and Ibn Battuta are explorers who traveled extensively in Asia
Saffron,Basil,Turmeric,Basil,Saffron and Turmeric are both used for coloring in cooking.
Ancient China,Ancient Japan,Ancient Egypt,Ancient Egypt,Ancient China and Japan both used a form of characters for writing
Auschwitz,Alcatraz,Dachau,Alcatraz,First two were concentration camps in WWII
Australia,Nile River,Antarctica,Nile River,Australia and Antarctica are both continents
LA Clippers,Boston Celtics,Philadelphia 76ers,LA Clippers,Both are part of the Atlantic Division
Buddha,Jesus,Confucius,Jesus,Buddha and Confucius are Asian philosophical figures
Nuremberg Trials,Geneva Conventions,Tokyo Trials,Geneva Conventions,"Nuremberg and Tokyo Trials were post-WWII tribunals, but the Geneva Conventions are a set of treaties on the laws of war"
Thor,Athena,Apollo,Thor,Both are gods from Greek Pantheon
Bessemer Process,Open Hearth Furnace,Sewing Machine,Sewing Machine,Open Hearth Furnace and Bessemer Process are used in the steel industry
Ents,Nazgul,Orcs,Ents,Nazgul and Orcs are evil creatures
Battle of Waterloo,Battle of Normandy,Battle of Hastings,Battle of Normandy,Battle of Waterloo and Hastings were fought in England
Palm,Eucalyptus,Tea Tree,Palm,Eucalyptus and Tea Tree are both from the Myrtaceae family
Due Date,The Hangover,The Social Network,The Social Network,The Hangover and Due Date are directed by Todd Phillips
Normandy,Berlin,Iwo Jima,Berlin,Normandy and Iwo Jima were locations of major amphibious invasions
Oak Tree,Pine Tree,Rose,Rose,Pine and Oak are both types of Deciduous Trees
Glitch in the Matrix,Bullet Time,Deja Vu,Bullet Time,Deja Vu and Glitch in the Matrix both represent anomalies
Sydney Opera House,Bletchley Park,Pentagon,Sydney Opera House,The other two were military intelligence centers in WWII
Europe,Australia,Africa,Australia,Both have a large number of landlocked countries
Jacobin Club,National Assembly,Estates-General,Jacobin Club,Estates-General and National Assembly were both legislative bodies
Cuban Revolution,Chinese Cultural Revolution,Russian Revolution,Chinese Cultural Revolution,The other two are communist revolutions
Spiderman,Ant-Man,Hulk,Hulk,Spiderman and Ant-Man both can climb walls
Mary Cassatt,Pierre-Auguste Renoir,Edgar Degas,Mary Cassatt,Pierre-Auguste Renoir and Edgar Degas were part of the French Impressionism
Parasaurolophus,Iguanodon,Spinosaurus,Spinosaurus ,Iguanodon and Parasaurolophus are both herbivorous dinosaurs
Ife art,Greek sculpture,Benin Bronzes,Greek sculpture,Both Benin Bronzes and Ife art are examples of African art.
San Francisco 49ers,Jacksonville Jaguars,Carolina Panthers,San Francisco 49ers,The other two were established in 1995.
Marble,Shale,Gneiss,Gneiss,Marble and Shale are sedimentary rocks.
Martin Luther,Catherine the Great,Peter the Great,Martin Luther,Catherine and Peter were both Russian rulers
Brahms,Haydn,Schubert,Brahms,Haydn and Schubert were both from the Classical period
Cardamom,Thyme,Rosemary,Cardamom,Rosemary and Thyme are both woody herbs.
Star-Lord,Nebula,Gamora,Star-Lord,Gamora and Nebula are both daughters of Thanos
Turmeric,Nutmeg,Mace,Turmeric,Nutmeg and Mace come from the same plant.
Yew,Hemlock,Beech,Beech,Hemlock and Yew are both poisonous trees
The Discobolus,The Statue of Liberty,Winged Victory of Samothrace,The Statue of Liberty,Winged Victory of Samothrace and The Discobolus are both Greek sculptures
Marjoram,Oregano,Nutmeg,Nutmeg,Marjoram and Oregano are from the same plant family.
The Prohibition Act,The Fugitive Slave Act,The Underground Railroad,The Prohibition Act,The first two are related to slavery during the American Civil War
Cedar,Oak,Cypress,Oak,Cypress and Cedar are both resistant to rot
Meteor Shower,Asteroid,Comet,Asteroid,Meteor Showers and Comets have tails
Portland Trail Blazers,Miami Heat,Denver Nuggets,Miami Heat,Both are based in the Northwest Division
Lois Lane,Alfred,Poison Ivy Character,Poison Ivy Character,Lois Lane and Alfred are non-superpowered characters
Ant,Bee,Butterfly,Butterfly,Ants and Bees are both Social Insects
Polar Bear,Grizzly Bear,Panda Bear,Panda Bear,The other two care carnicorous
Bourbon Street,Khao San Road,Hollywood Boulevard,Hollywood Boulevard,Khao San Road and Bourbon Street are famous for their nightlife
Virus,Fungus,Bacteria,Virus,Bacteria and Fungus are both Cellular Organisms
Quicksilver,Flash,Black Canary,Black Canary,Quicksilver and Flash have super speed
Cumin,Anise,Tarragon,Cumin,Tarragon and Anise both have a sweet licorice flavor.
Patella,Femur,Humerus,Humerus,Patella and Femur are both bones in the leg.
Byzantine Empire,British Empire,Ottoman Empire,British Empire,Byzantine and Ottoman empires were centered in Turkey
Copper,Palladium,Nickel,Copper,Nickel and Palladium are both elements in Group 10 (Nickel Group)
Rhyolite,Dolomite,Chert,Rhyolite,Dolomite and Chert are chemical rocks.
Ginger,Turmeric,Parsley,Parsley,Ginger and Turmeric are both roots.
Ulna,Femur,Radius,Femur,Ulna and Radius are both bones in the arm.
Hieratic,Horus,Ra,Hieratic,Horus and Ra are both ancient Egyptian gods.
Copper,Silver,Zinc,Zinc,Copper and Silver are both elements in Group 11 (Copper Group)
The Scream,American Gothic,The Starry Night,American Gothic,"The Starry Night and The Scream both use vivid colors and dramatic, impulsive and expressive brushwork"
Flint,Diorite,Gabbro,Flint,Gabbro and Diorite are intrusive rocks.
Chandler Bing,Janice Litman,Rachel Green,Rachel Green,Chandler and Janice dated
Crete,Honshu,Shikoku,Crete,Honshu and Shikoku are both Japanese Islands.
Wassily Kandinsky,Paul Cezanne,Henri Matisse,Wassily Kandinsky,Paul Cezanne and Henri Matisse were French artists
Virginia Woolf,Christopher Marlowe,William Shakespeare,Virginia Woolf,William Shakespeare and Christopher Marlowe were Elizabethan playwrights
Mahatma Gandhi,Martin Luther King Jr.,Malcolm X,Malcolm X,King Jr. and Gandhi were both non-violence advocates
The Great Barrier Reef,Machu Picchu,Petra,The Great Barrier Reef,The other two are ancient ruins
John Quincy Adams,William McKinley,James Monroe,William McKinley,James Monroe and John Quincy Adams were both presidents during the Era of Good Feelings.
Tornado,Thunderstorm,Blizzard,Tornado,Both are types of storms with snow
Aluminum,Indium,Gallium,Aluminum,Gallium and Indium are both elements in Group 13 (Gallium Group)
Kingfisher,Ostrich,Woodpecker,Ostrich,Woodpecker and Kingfisher both peck trees
Mera,Vixen,The Joker,The Joker,Vixen and Mera are female heroes
Spiderman,Vision,Scarlet Witch,Spiderman,Scarlet Witch and Vision are both in a relationship
Step Pyramid,Mastaba,Rosetta Stone,Rosetta Stone,Mastaba and Step Pyramid are both types of ancient Egyptian tombs.
Rembrandt,Leonardo da Vinci,Michelangelo,Rembrandt,Leonardo da Vinci and Michelangelo were Italian artists
Benjamin Harrison,Thomas Jefferson,William McKinley,Thomas Jefferson,Benjamin Harrison and William McKinley were both presidents during the Industrial Revolution.
French Second Republic,French Third Republic,French First Republic,French Second Republic,French First and Third Republics were both established after revolutions
Argentinian Cuisine,Brazilian Cuisine,Peruvian Cuisine,Peruvian Cuisine,Brazilian and Argentinian cuisines both use a lot of beef
Judo,Sumo,Wing Chun,Wing Chun,Sumo and Judo are both traditional Japanese martial arts
Alps,Carpathian,Rockies,Rockies,Carpathian and Alps are in Europe
Humerus,Tibia,Femur,Humerus,Femur and Tibia are both bones in the leg.
Gallium,Cadmium,Zinc,Gallium,Zinc and Cadmium are both elements in Group 12 (Zinc Group)
Marble,Basalt,Gabbro,Marble,Gabbro and Basalt are mafic rocks.
Intestine,Lung,Stomach,Lung,Stomach and Intestine are both involved in Digestion
Scarlet Witch,Cyborg,Vision,Cyborg,Vision and Scarlet Witch have magical powers
Neutron Star,Black Hole,White Dwarf,White Dwarf,Black Holes and Neutron Stars are remnants of massive stars
Heinrich Hertz,James Clerk Maxwell,Eli Whitney,Eli Whitney,Maxwell and Hertz both contributed to the field of electromagnetism
Minnie Mouse,Porky Pig,Daffy Duck,Minnie Mouse,Daffy Duck and Porky Pig are from the same show.
Foo Fighters,Pink Floyd,Led Zeppelin,Foo Fighters,Pink Floyd and Led Zeppelin are British bands
Gratian,Nero,Valentinian II,Nero,Gratian and Valentinian II ruled together
Taekwondo,Kendo,Boxing,Kendo,Taekwondo and Boxing both involve striking opponents
Spleen,Kidney,Liver,Liver,Spleen and Kidney are both part of the lymphatic system.
Thomas Edison,Enrico Fermi,Marie Curie,Thomas Edison,Fermi and Curie both worked on nuclear physics
Attila the Hun,Nelson Mandela,Mother Teresa,Attila the Hun,Mandela and Teresa were both peace advocates
Christ the Redeemer,Stonehenge,The Sphinx,Christ the Redeemer,Both are ancient stone structures
Rohan,Isengard,Mordor,Rohan,Mordor and Isengard are controlled by Sauron
Tom Bombadil,Radagast,Treebeard,Radagast,Treebeard and Tom Bombadil are not wizards
Louis XVIII,Louis XVII,Louis XVI,Louis XVIII,Louis XVI and Louis XVII were both imprisoned during the French Revolution
Italian Cuisine,Jamaican Cuisine,Indian Cuisine,Italian Cuisine,Jamaican and Indian cuisines both use a lot of curry
Iron Man,The Dark Knight,The Avengers,The Dark Knight,The Avengers and Iron Man are part of the Marvel Cinematic Universe
Urn,Kylix,Amphora,Urn,Both are ancient Greek pottery types
The compass,Gutenberg's Printing Press,The telescope,The telescope,Gutenberg's Printing Press and The compass were both invented in the Renaissance.
Battle of Hastings,Battle of Midway,Battle of Guadalcanal,Battle of Hastings,The other two are Pacific battles in WWII
Camille Pissarro,Alfred Sisley,Paul Gauguin,Paul Gauguin,Camille Pissarro and Alfred Sisley were part of the French Impressionism
Falkland Islands,Bermuda,Galapagos,Bermuda,Galapagos and Falkland Islands are both in the Pacific Ocean.
Slayer,Metallica,Queen,Queen,Metallica and Slayer are Thrash Metal bands
Lyre,Harp,Aulos,Harp,Both are ancient Greek musical instruments
The Flash,Captain Cold,Reverse Flash,The Flash,Captain Cold and Reverse Flash are Flash's enemies
Septimius Severus,Caracalla,Trajan,Trajan,Septimius Severus and Caracalla are from the Severan dynasty
Ashanti Empire,Zulu Kingdom,Roman Empire,Roman Empire,Both Ashanti Empire and Zulu Kingdom are African historical kingdoms.
London Plane,Pine,Sycamore,Pine,Sycamore and London Plane both have flaking bark
Titus,Marcus Aurelius,Vespasian,Marcus Aurelius,Vespasian and Titus were both from the Flavian dynasty
Titanium,Vanadium,Zirconium,Vanadium,Titanium and Zirconium are both elements in Group 4 (Titanium Group)
Wall-E,Beauty and the beast,Up,Beauty and the beast,Wall-E and Up are produced by Pixar
Frances McDormand,Nicole Kidman,Hilary Swank,Nicole Kidman,Frances McDormand and Hilary Swank both won the Best Actress Oscar twice.
Orchid,Pine,Lily,Pine,Orchid and Lily are both bulb plants
Robert De Niro,Johnny Depp,Dustin Hoffman,Johnny Depp,Robert De Niro and Dustin Hoffman both won the Best Actor Oscar in the 80s.
Padma Lakshmi,Tom Colicchio,Martin Yan,Martin Yan,Tom Colicchio and Padma Lakshmi are both hosts on Top Chef.
Cactus,Pine Tree,Fern,Cactus,Ferns and Pine Trees are both Non-Flowering Plants
George Orwell,Aldous Huxley,Charles Dickens,Charles Dickens,George Orwell and Aldous Huxley are known for their dystopian novels
Vivaldi,Beethoven,Schumann,Vivaldi,Schumann and Beethoven were both from the Romantic period
Lisbon,Dublin,Madrid,Madrid,Lisbon and Dublin are both capitals in countries where the official language is not a Romance language.
Ernest O. Lawrence,Gabriel Garcia Marquez,Maria Goeppert-Mayer,Gabriel Garcia Marquez,Ernest O. Lawrence and Maria Goeppert-Mayer won the Nobel Prize in Physics
Kidney,Heart,Liver,Heart,Kidney and Liver are both involved in detoxification
Berlin,Bangkok,Phuket,Berlin,The other two are in Thailand
Green Bay Packers,Pittsburgh Steelers,Dallas Cowboys,Dallas Cowboys,Both have won 6 Super Bowls.
Wolfgang Puck,Marco Pierre White,Heston Blumenthal,Wolfgang Puck,Heston Blumenthal and Marco Pierre White are both British chefs.
Djoser,Hyksos,Khufu,Hyksos,Djoser and Khufu are both ancient Egyptian pharaohs.
Sally Field,Emma Stone,Cate Blanchett,Emma Stone,Cate Blanchett and Sally Field both won the Best Actress Oscar more than once.
Winston Churchill,Rudyard Kipling,Ernest O. Lawrence,Ernest O. Lawrence,Rudyard Kipling and Winston Churchill won the Nobel Prize in Literature
Lyndon B. Johnson,John F. Kennedy,Richard Nixon,Richard Nixon,John F. Kennedy and Lyndon B. Johnson were both presidents during the Vietnam War.
Alexander Graham Bell,Thomas Edison,Louis Braille,Louis Braille,Bell and Edison both invented devices related to sound
Chert,Dacite,Rhyolite,Chert,Dacite and Rhyolite are felsic rocks.
Consul,Pharaoh,Senator,Pharaoh,"Senator and Consul are Roman political positions, Pharaoh is an Egyptian position"
Gorilla Grodd,Wonder Girl,Sinestro,Wonder Girl,Gorilla Grodd and Sinestro are villains
Oak Tree,Rose,Sunflower,Oak Tree,Sunflowers and Roses are both Flowering Plants
Veins,Capillaries,Arteries,Capillaries,Veins and Arteries are both types of blood vessels that carry blood.
