obj_1,obj_2,obj_3,obj_4,odd,reason_for_similarity,valid
Richie Guerin,George Yardley,Clyde Lovellette,Larry Costello,Richie Guerin,The others are Hall of Famers,no
Paul Seymour,Harry Gallatin,Arnie Risen,Dick McGuire,Arnie Risen,The others are guards,no
Tom Gola,Bill Russell,Vern Mikkelsen,Jack Twyman,Bill Russell,The others are forwards,no
Kenny Sears,Tom Heinsohn,Maurice Stokes,Bob Pettit,Tom Heinsohn,The others are 1950's All-Stars,no
Slater Martin,Cliff Hagan,Frank Ramsey,Bill Sharman,Cliff Hagan,The others are guards,no
George Mikan,Bob Davies,Carl Braun,Dick Garmaker,George Mikan,The others are guards,no
Tom Gola,Jim Pollard,Vern Mikkelsen,Jack Coleman,Tom Gola,The others are forwards,no
Bill Sharman,Paul Arizin,Jim Loscutoff,Bob Cousy,Paul Arizin,The others are Celtics players,no
Neil Johnston,Bob Pettit,Larry Foust,Ed Macauley,Bob Pettit,The others are centers,no
Bill Sharman,Andy Phillip,Harry Gallatin,Bob Cousy,Harry Gallatin,The others are guards,no
Frank Ramsey,Dolph Schayes,Dick McGuire,Paul Seymour,Dolph Schayes,The others are guards,yes
Jack Twyman,Gene Shue,Cliff Hagan,Slater Martin,Jack Twyman,The others are guards,no
Tom Heinsohn,Bob Pettit,George Yardley,Kenny Sears,Kenny Sears,The others are Hall of Famers,no
Neil Johnston,Paul Arizin,Bob Davies,Bill Sharman,Neil Johnston,The others are guards,no
Maurice Stokes,Dick Garmaker,Ed Macauley,Larry Foust,Maurice Stokes,The others are centers,no
Bill Sharman,Carl Braun,Bob Pettit,Larry Costello,Bob Pettit,The others are guards,no
Bob Cousy,Gene Shue,Andy Phillip,Paul Seymour,Bob Cousy,The others are guards,no
George Yardley,Frank Ramsey,Bob Cousy,Bill Russell,George Yardley,The others are Celtics players,no
Neil Johnston,Larry Foust,Clyde Lovellette,Bob Davies,Bob Davies,The others are centers,no
George Mikan,Carl Braun,Paul Arizin,Harry Gallatin,Carl Braun,The others are Hall of Famers,no
Vern Mikkelsen,Dolph Schayes,Tom Gola,Bob Pettit,Vern Mikkelsen,The others are forwards,yes
Arnie Risen,Paul Seymour,Dick McGuire,Jim Pollard,Jim Pollard,The others are guards,no
Frank Ramsey,Bill Russell,Jack Coleman,Bob Cousy,Jack Coleman,The others are Celtics players,no
Bill Sharman,Kenny Sears,Larry Costello,Paul Arizin,Kenny Sears,The others are guards,no
Larry Foust,Ed Macauley,Neil Johnston,Bill Russell,Bill Russell,The others are centers,no
Bob Pettit,Maurice Stokes,George Yardley,Cliff Hagan,Cliff Hagan,The others are forwards,no
Bob Pettit,Paul Arizin,Dolph Schayes,George Mikan,Paul Arizin,The others are Hall of Famers,yes
Dick McGuire,Bob Cousy,Bill Sharman,George Yardley,George Yardley,The others are guards,no
Ed Macauley,Vern Mikkelsen,Neil Johnston,Bill Sharman,Bill Sharman,The others are forwards,no
Bob Cousy,Harry Gallatin,Slater Martin,Jim Pollard,Bob Cousy,The others are not MVP winners,no
Clyde Lovellette,Paul Arizin,Carl Braun,Larry Foust,Carl Braun,The others are centers,no
Bob Pettit,Bill Russell,Dick Garmaker,Tom Heinsohn,Dick Garmaker,The others are Celtics players,no
Cliff Hagan,Dolph Schayes,Richie Guerin,Arnie Risen,Arnie Risen,The others are 1950s All-Stars,yes
Larry Foust,Jack Twyman,George Mikan,Bob Cousy,Jack Twyman,The others are multiple MVPs,no
Vern Mikkelsen,Bob Pettit,Paul Arizin,Bill Sharman,Vern Mikkelsen,The others are top scorers,no
Harry Gallatin,Larry Foust,Bill Russell,Neil Johnston,Bill Russell,The others are not top rebounders,no
Tom Heinsohn,Slater Martin,Dick McGuire,Carl Braun,Tom Heinsohn,The others are guards,no
Bob Cousy,George Yardley,Paul Arizin,Dolph Schayes,Bob Cousy,The others are forwards,yes
Bill Russell,Neil Johnston,Bob Pettit,Bob Cousy,Neil Johnston,The others are MVP winners,yes
Larry Foust,Harry Gallatin,Bob Cousy,Bill Sharman,Harry Gallatin,The others are Celtics players,no
Dolph Schayes,George Mikan,Bob Pettit,Bill Sharman,Bill Sharman,The others are top scorers,yes
Clyde Lovellette,Arnie Risen,George Yardley,Larry Foust,George Yardley,The others are centers,no
Dick McGuire,Jim Pollard,Paul Arizin,Bob Cousy,Bob Cousy,The others are forwards,no
Bob Pettit,Dolph Schayes,Tom Heinsohn,Bill Russell,Dolph Schayes,The others are MVP winners,yes
Ed Macauley,Cliff Hagan,Vern Mikkelsen,Neil Johnston,Cliff Hagan,The others are forwards,no
Larry Foust,Paul Arizin,Clyde Lovellette,George Mikan,George Mikan,The others are centers,no
Bob Cousy,George Mikan,Harry Gallatin,Larry Foust,Harry Gallatin,The others are multiple MVPs,no
Dick Garmaker,Bill Sharman,Paul Arizin,Bob Pettit,Dick Garmaker,The others are top scorers,no
Larry Foust,Bob Cousy,Harry Gallatin,Neil Johnston,Bob Cousy,The others are not top rebounders,no
Dick McGuire,Vern Mikkelsen,Carl Braun,Slater Martin,Vern Mikkelsen,The others are guards,no
Dolph Schayes,Paul Arizin,George Yardley,Bill Russell,Bill Russell,The others are forwards,yes
Bill Russell,Arnie Risen,Bob Cousy,Bob Pettit,Arnie Risen,The others are MVP winners,yes
Bill Sharman,Jack Twyman,Bob Cousy,Larry Foust,Jack Twyman,The others are Celtics players,no
Bob Pettit,George Mikan,Dolph Schayes,Cliff Hagan,Cliff Hagan,The others are top scorers,yes
Arnie Risen,Larry Foust,Tom Heinsohn,Clyde Lovellette,Tom Heinsohn,The others are centers,no
Paul Arizin,Jim Pollard,George Yardley,Dick McGuire,George Yardley,The others are forwards,no
Dolph Schayes,Bill Russell,Bob Cousy,Tommy Heinsohn,Dolph Schayes,The others are Celtics players,yes
Bob Pettit,Vern Mikkelsen,George Mikan,Jim Pollard,Bob Pettit,The others are Lakers players,no
George Yardley,Paul Arizin,Neil Johnston,Tom Gola,George Yardley,The others are Warriors players,no
Cliff Hagan,Ed Macauley,Bill Sharman,Bob Pettit,Bill Sharman,The others are Hawks players,no
Carl Braun,Bob Cousy,Dick McGuire,Harry Gallatin,Bob Cousy,The others are Knicks players,no
Paul Arizin,Bill Sharman,Bob Cousy,Frank Ramsey,Paul Arizin,The others are Celtics players,yes
Red Kerr,Al Cervi,Dolph Schayes,George Mikan,George Mikan,The others are Syracuse Nationals players,yes
Mel Hutchins,George Yardley,Tom Heinsohn,Larry Foust,Tom Heinsohn,The others are Pistons players,no
Paul Arizin,Bob Pettit,Cliff Hagan,Slater Martin,Paul Arizin,The others are Hawks players,no
Dolph Schayes,Bill Sharman,Sam Jones,Bob Cousy,Dolph Schayes,The others are Celtics players,yes
George Mikan,Vern Mikkelsen,Slater Martin,Bob Cousy,Bob Cousy,The others are Lakers players,no
Paul Arizin,Bob Pettit,Joe Fulks,Neil Johnston,Bob Pettit,The others are Warriors players,no
George Mikan,Carl Braun,Dick McGuire,Harry Gallatin,George Mikan,The others are Knicks players,no
Bob Pettit,Cliff Hagan,George Yardley,Ed Macauley,George Yardley,The others are Hawks players,no
Frank Ramsey,George Mikan,Bob Cousy,Bill Sharman,George Mikan,The others are Celtics players,no
Red Kerr,Al Cervi,Dolph Schayes,Bob Pettit,Bob Pettit,The others are Syracuse Nationals players,yes
George Yardley,Bob Cousy,Mel Hutchins,Larry Foust,Bob Cousy,The others are Pistons players,no
Cliff Hagan,Slater Martin,George Yardley,Bob Pettit,George Yardley,The others are Hawks players,no
George Mikan,Bill Sharman,Sam Jones,Bob Cousy,George Mikan,The others are Celtics players,no
George Mikan,Vern Mikkelsen,Slater Martin,Paul Arizin,Paul Arizin,The others are Lakers players,no
Neil Johnston,Bill Sharman,Joe Fulks,Paul Arizin,Bill Sharman,The others are Warriors players,no
Harry Gallatin,Dick McGuire,Bob Pettit,Carl Braun,Bob Pettit,The others are Knicks players,no
Ed Macauley,Cliff Hagan,Dolph Schayes,Bob Pettit,Dolph Schayes,The others are Hawks players,yes
George Yardley,Bill Sharman,Frank Ramsey,Bob Cousy,George Yardley,The others are Celtics players,no
George Yardley,Dolph Schayes,Al Cervi,Red Kerr,George Yardley,The others are Syracuse Nationals players,yes
Mel Hutchins,Bob Pettit,Larry Foust,George Yardley,Bob Pettit,The others are Pistons players,no
Bob Cousy,Bob Pettit,Slater Martin,Cliff Hagan,Bob Cousy,The others are Hawks players,yes
Bill Sharman,Bob Cousy,Sam Jones,Paul Arizin,Paul Arizin,The others are Celtics players,no
Dolph Schayes,Slater Martin,Vern Mikkelsen,George Mikan,Dolph Schayes,The others are Lakers players,yes
Neil Johnston,Joe Fulks,George Yardley,Paul Arizin,George Yardley,The others are Warriors players,no
Dolph Schayes,Bob Cousy,Bill Sharman,George Mikan,George Mikan,The others are guards,yes
Neil Johnston,Bob Pettit,Paul Arizin,Jack Twyman,Neil Johnston,The others are forwards,no
Ed Macauley,Bill Russell,Clyde Lovellette,Larry Foust,Bill Russell,The others are centers,no
Bob Davies,Dick McGuire,Slater Martin,Vern Mikkelsen,Vern Mikkelsen,The others are guards,no
Harry Gallatin,Cliff Hagan,Frank Ramsey,Carl Braun,Carl Braun,The others are forwards,no
Red Kerr,Kenny Sears,Tom Heinsohn,Larry Costello,Larry Costello,The others are forwards,no
Gene Shue,Tom Gola,Hal Greer,Richie Guerin,Tom Gola,The others are guards,no
Paul Hoffman,Andy Phillip,Dolph Schayes,Jim Pollard,Dolph Schayes,The others are guards,yes
Bob Leonard,Dick McGuire,Bob Davies,Larry Foust,Larry Foust,The others are guards,no
Bill Sharman,Tom Heinsohn,Jack Twyman,Paul Arizin,Bill Sharman,The others are forwards,no
Vern Mikkelsen,Bob Pettit,Larry Foust,Harry Gallatin,Larry Foust,The others are forwards,no
Bob Davies,Bob Cousy,Slater Martin,Clyde Lovellette,Clyde Lovellette,The others are guards,no
Paul Arizin,Neil Johnston,Ed Macauley,Bob Pettit,Neil Johnston,The others are forwards,no
Tom Heinsohn,Larry Costello,Red Kerr,Frank Ramsey,Larry Costello,The others are forwards,no
Gene Shue,Richie Guerin,Tom Gola,Hal Greer,Tom Gola,The others are guards,no
Paul Hoffman,Jim Pollard,Andy Phillip,Dolph Schayes,Dolph Schayes,The others are guards,yes
Bob Davies,Bob Leonard,Larry Foust,Dick McGuire,Larry Foust,The others are guards,no
Paul Arizin,Bill Sharman,Jack Twyman,Tom Heinsohn,Bill Sharman,The others are forwards,no
Larry Foust,Bob Pettit,Vern Mikkelsen,Harry Gallatin,Larry Foust,The others are forwards,no
Slater Martin,Bob Davies,Bob Cousy,Clyde Lovellette,Clyde Lovellette,The others are guards,no
Bob Pettit,Ed Macauley,Paul Arizin,Neil Johnston,Neil Johnston,The others are forwards,no
Frank Ramsey,Red Kerr,Tom Heinsohn,Larry Costello,Larry Costello,The others are forwards,no
Gene Shue,Hal Greer,Tom Gola,Richie Guerin,Tom Gola,The others are guards,no
Andy Phillip,Jim Pollard,Paul Hoffman,Dolph Schayes,Dolph Schayes,The others are guards,yes
Bob Leonard,Larry Foust,Dick McGuire,Bob Davies,Larry Foust,The others are guards,no
Tom Heinsohn,Jack Twyman,Bill Sharman,Paul Arizin,Bill Sharman,The others are forwards,no
Vern Mikkelsen,Larry Foust,Harry Gallatin,Bob Pettit,Larry Foust,The others are forwards,no
Slater Martin,Bob Cousy,Bob Davies,Clyde Lovellette,Clyde Lovellette,The others are guards,no
Paul Arizin,Neil Johnston,Bob Pettit,Ed Macauley,Neil Johnston,The others are forwards,no
Frank Ramsey,Larry Costello,Tom Heinsohn,Red Kerr,Larry Costello,The others are forwards,no
Bill Russell,Jerry West,Wilt Chamberlain,Elgin Baylor,Jerry West,The others are centers,no
Jerry Lucas,Oscar Robertson,Sam Jones,John Havlicek,Jerry Lucas,The others are guards,no
Red Auerbach,Tom Heinsohn,Bob Cousy,K.C. Jones,Red Auerbach,The others are players,yes
Elgin Baylor,Pat Riley,Jerry West,Gail Goodrich,Pat Riley,The others are players,no
Wilt Chamberlain,Nate Thurmond,Willis Reed,Bill Russell,Willis Reed,The others are centers,no
Walt Frazier,Dave Bing,Earl Monroe,Hal Greer,Hal Greer,The others are point guards,no
Tom Sanders,John Havlicek,Bill Bridges,Don Nelson,Bill Bridges,The others are Celtics,no
Bill Bradley,Dave DeBusschere,Walt Frazier,Willis Reed,Walt Frazier,The others are forwards,no
Rudy LaRusso,Jerry West,Elgin Baylor,Wilt Chamberlain,Rudy LaRusso,The others are Lakers,no
Bob Pettit,Sam Jones,K.C. Jones,Bill Russell,Bob Pettit,The others are Celtics,yes
Nate Thurmond,Bill Russell,Wilt Chamberlain,Jerry Lucas,Jerry Lucas,The others are centers,no
Dave DeBusschere,Willis Reed,Bill Bradley,Walt Frazier,Walt Frazier,The others are forwards,no
Elgin Baylor,Rudy LaRusso,Jerry West,Wilt Chamberlain,Rudy LaRusso,The others are Lakers,no
Hal Greer,Billy Cunningham,Jerry Lucas,Wilt Chamberlain,Jerry Lucas,The others are 76ers,yes
John Havlicek,Sam Jones,Jerry West,Bill Russell,Jerry West,The others are Celtics,no
Oscar Robertson,Jerry West,Elgin Baylor,Bill Russell,Bill Russell,The others are guards,no
Wilt Chamberlain,Jerry West,Bob Pettit,Elgin Baylor,Bob Pettit,The others are Lakers,no
Dave DeBusschere,Bill Bradley,Willis Reed,Walt Frazier,Willis Reed,The others are forwards,no
Wilt Chamberlain,Jerry Lucas,Nate Thurmond,Bill Russell,Jerry Lucas,The others are centers,yes
Elgin Baylor,Jerry West,Pat Riley,Gail Goodrich,Pat Riley,The others are players,no
Jerry Lucas,Sam Jones,Oscar Robertson,John Havlicek,Jerry Lucas,The others are guards,no
Elgin Baylor,Bill Russell,Jerry West,Wilt Chamberlain,Jerry West,The others are centers,no
John Havlicek,Bill Bridges,Tom Sanders,Don Nelson,Bill Bridges,The others are Celtics,no
Willis Reed,Bill Bradley,Walt Frazier,Dave DeBusschere,Walt Frazier,The others are forwards,no
Jerry West,Wilt Chamberlain,Elgin Baylor,Rudy LaRusso,Rudy LaRusso,The others are Lakers,no
Bob Pettit,Bill Russell,Sam Jones,K.C. Jones,Bob Pettit,The others are Celtics,no
Nate Thurmond,Bill Russell,Wilt Chamberlain,Jerry Lucas,Jerry Lucas,The others are centers,no
Dave DeBusschere,Walt Frazier,Bill Bradley,Willis Reed,Walt Frazier,The others are forwards,no
Elgin Baylor,Jerry West,Rudy LaRusso,Wilt Chamberlain,Rudy LaRusso,The others are Lakers,no
Jerry Lucas,Billy Cunningham,Wilt Chamberlain,Hal Greer,Jerry Lucas,The others are 76ers,no
Bill Russell,Jerry West,John Havlicek,Wilt Chamberlain,Jerry West,The others are Celtics players,no
Elgin Baylor,Dave DeBusschere,Oscar Robertson,Jerry West,Dave DeBusschere,The others are Hall of Famers,no
Bob Cousy,Wilt Chamberlain,Nate Thurmond,Bill Russell,Bob Cousy,The others are centers,no
Dave Bing,Jerry Lucas,Walt Bellamy,Willis Reed,Dave Bing,The others are centers,no
Hal Greer,K.C. Jones,Sam Jones,Tom Heinsohn,Hal Greer,The others are Celtics players,no
Bill Bradley,Jerry Lucas,Willis Reed,Elgin Baylor,Bill Bradley,The others are Hall of Famers,no
K.C. Jones,Sam Jones,Bill Russell,Oscar Robertson,Oscar Robertson,The others are Celtics players,yes
Dolph Schayes,Bob Pettit,Jerry Lucas,Rick Barry,Rick Barry,The others are 1960s players,yes
Elgin Baylor,Jerry West,Oscar Robertson,Wes Unseld,Wes Unseld,The others are guards,no
John Havlicek,Bill Russell,Hal Greer,Dave Bing,Bill Russell,The others are guards,no
Walt Bellamy,Willis Reed,Rick Barry,Nate Thurmond,Rick Barry,The others are centers,no
Bill Sharman,K.C. Jones,Bob Cousy,Wilt Chamberlain,Wilt Chamberlain,The others are guards,no
Elgin Baylor,Jerry West,Gail Goodrich,Bill Russell,Bill Russell,The others are Lakers players,yes
Bill Russell,Jerry Lucas,Wilt Chamberlain,Nate Thurmond,Jerry Lucas,The others are centers,no
John Havlicek,Sam Jones,Elgin Baylor,K.C. Jones,Elgin Baylor,The others are Celtics players,no
Oscar Robertson,Walt Frazier,Bill Russell,Jerry West,Bill Russell,The others are guards,no
Walt Bellamy,Willis Reed,Nate Thurmond,Jerry Lucas,Jerry Lucas,The others are centers,no
Bob Pettit,Jerry Lucas,Bill Russell,Dolph Schayes,Bill Russell,The others are forwards,yes
Gail Goodrich,Dave Bing,Elgin Baylor,Jerry West,Dave Bing,The others are Lakers players,yes
Bill Russell,Bob Pettit,Wilt Chamberlain,Nate Thurmond,Bob Pettit,The others are centers,yes
John Havlicek,K.C. Jones,Walt Frazier,Sam Jones,Walt Frazier,The others are Celtics players,yes
Jerry West,Elgin Baylor,Walt Frazier,Oscar Robertson,Elgin Baylor,The others are guards,no
Walt Bellamy,Jerry West,Nate Thurmond,Willis Reed,Jerry West,The others are centers,no
Bob Pettit,Jerry Lucas,Elgin Baylor,Dolph Schayes,Elgin Baylor,The others are forwards,yes
Elgin Baylor,Jerry West,Gail Goodrich,Bill Sharman,Bill Sharman,The others are Lakers players,no
Nate Thurmond,Wilt Chamberlain,Bill Russell,Walt Frazier,Walt Frazier,The others are centers,yes
K.C. Jones,John Havlicek,Sam Jones,Jerry Lucas,Jerry Lucas,The others are Celtics players,yes
Oscar Robertson,Rick Barry,Walt Frazier,Jerry West,Rick Barry,The others are guards,no
Elgin Baylor,Willis Reed,Walt Bellamy,Nate Thurmond,Elgin Baylor,The others are centers,no
Dolph Schayes,Jerry Lucas,Bob Pettit,Oscar Robertson,Oscar Robertson,The others are forwards,yes
Wilt Chamberlain,Elgin Baylor,Jerry West,Bill Russell,Wilt Chamberlain,The others are Celtics players,no
Oscar Robertson,Elgin Baylor,Jerry West,John Havlicek,Elgin Baylor,The others are Hall of Famers,no
Sam Jones,Bill Russell,Jerry Lucas,K.C. Jones,Jerry Lucas,The others are Celtics players,yes
Willis Reed,Walt Frazier,Dave DeBusschere,Jerry West,Jerry West,The others are Knicks players,yes
Nate Thurmond,Gail Goodrich,Jerry West,Elgin Baylor,Nate Thurmond,The others are Lakers players,no
John Havlicek,Jerry West,Bob Cousy,Bill Russell,Jerry West,The others are Celtics players,yes
Walt Frazier,Wilt Chamberlain,Bill Russell,Nate Thurmond,Walt Frazier,The others are centers,yes
Jerry Lucas,Bill Russell,Willis Reed,Wilt Chamberlain,Jerry Lucas,The others are centers,no
Dave DeBusschere,Bill Bradley,Walt Frazier,Willis Reed,Bill Bradley,The others are Knicks players,no
John Havlicek,Sam Jones,Jerry Lucas,K.C. Jones,Jerry Lucas,The others are Celtics players,no
Gail Goodrich,Elgin Baylor,Jerry West,Bill Bradley,Bill Bradley,The others are Lakers players,no
Jerry West,Bill Russell,Jerry Lucas,Oscar Robertson,Bill Russell,The others are guards,no
Bill Russell,Nate Thurmond,Wilt Chamberlain,Jerry Lucas,Jerry Lucas,The others are centers,no
Elgin Baylor,Dave DeBusschere,Walt Frazier,Willis Reed,Elgin Baylor,The others are Knicks players,no
Bill Russell,K.C. Jones,Jerry West,Sam Jones,Jerry West,The others are Celtics players,yes
Jerry West,Elgin Baylor,Oscar Robertson,Nate Thurmond,Nate Thurmond,The others are guards,no
Wilt Chamberlain,Walt Frazier,Nate Thurmond,Bill Russell,Walt Frazier,The others are centers,no
Willis Reed,Bill Russell,Wilt Chamberlain,Jerry Lucas,Jerry Lucas,The others are centers,no
Bill Bradley,Dave DeBusschere,Walt Frazier,Willis Reed,Bill Bradley,The others are Knicks players,no
Bill Russell,K.C. Jones,John Havlicek,Sam Jones,Bill Russell,The others are guards,no
Jerry West,Elgin Baylor,Gail Goodrich,Bill Bradley,Bill Bradley,The others are Lakers players,no
Jerry West,Bill Russell,Oscar Robertson,Jerry Lucas,Bill Russell,The others are guards,no
Bill Russell,Jerry Lucas,Wilt Chamberlain,Nate Thurmond,Jerry Lucas,The others are centers,no
Willis Reed,Elgin Baylor,Walt Frazier,Dave DeBusschere,Elgin Baylor,The others are Knicks players,no
Bill Russell,Sam Jones,K.C. Jones,Jerry West,Jerry West,The others are Celtics players,yes
Nate Thurmond,Oscar Robertson,Elgin Baylor,Jerry West,Nate Thurmond,The others are guards,no
Wilt Chamberlain,Nate Thurmond,Bill Russell,Walt Frazier,Walt Frazier,The others are centers,no
Bill Russell,Willis Reed,Wilt Chamberlain,Jerry Lucas,Jerry Lucas,The others are centers,no
Willis Reed,Dave DeBusschere,Walt Frazier,Bill Bradley,Bill Bradley,The others are Knicks players,no
Sam Jones,K.C. Jones,John Havlicek,Bill Russell,Bill Russell,The others are guards,no
Elgin Baylor,Jerry West,Wilt Chamberlain,Bill Russell,Elgin Baylor,The others are centers,no
Oscar Robertson,Jerry West,John Havlicek,Bob Cousy,John Havlicek,The others are point guards,no
John Havlicek,Willis Reed,Dave DeBusschere,Walt Bellamy,John Havlicek,The others are centers,no
Wilt Chamberlain,Elgin Baylor,Jerry West,Sam Jones,Sam Jones,The others are Lakers,no
K.C. Jones,Bill Russell,Sam Jones,Jerry Lucas,Jerry Lucas,The others are Celtics,yes
Jerry Lucas,John Havlicek,Oscar Robertson,Jerry West,John Havlicek,The others are MVP winners,no
Willis Reed,Dave DeBusschere,Jerry West,Walt Frazier,Jerry West,The others are Knicks,yes
Bill Russell,Wilt Chamberlain,Jerry West,Bob Pettit,Jerry West,The others are MVP winners,yes
Oscar Robertson,Jerry West,Jerry Lucas,Lenny Wilkens,Jerry West,The others are Hall of Famers,no
Jerry West,Sam Jones,Bill Russell,K.C. Jones,Jerry West,The others are Celtics,no
Oscar Robertson,Jerry West,Hal Greer,Wilt Chamberlain,Hal Greer,The others are MVP winners,no
Bill Russell,Bob Pettit,Wilt Chamberlain,Jerry West,Bob Pettit,The others are centers,no
Bob Cousy,Bill Russell,Wilt Chamberlain,Jerry Lucas,Jerry Lucas,The others are MVP winners,yes
Bill Russell,Wilt Chamberlain,Jerry West,Elgin Baylor,Elgin Baylor,The others are MVP winners,no
Sam Jones,Elgin Baylor,Bill Russell,K.C. Jones,Elgin Baylor,The others are Celtics,yes
Jerry Lucas,Dave DeBusschere,Walt Bellamy,Willis Reed,Jerry Lucas,The others are Knicks,no
Bill Russell,Jerry West,Oscar Robertson,Wilt Chamberlain,Oscar Robertson,The others are centers,no
Wilt Chamberlain,Bob Pettit,Elgin Baylor,Jerry West,Bob Pettit,The others are Lakers,no
Wilt Chamberlain,Jerry West,Bill Russell,John Havlicek,John Havlicek,The others are MVP winners,no
Wilt Chamberlain,Kareem Abdul-Jabbar,Bill Russell,Elvin Hayes,Elvin Hayes,The others are centers,yes
Walt Frazier,Oscar Robertson,John Havlicek,Jerry West,Walt Frazier,The others are guards,no
Julius Erving,Willis Reed,Dave Cowens,Bob Lanier,Julius Erving,The others are centers,no
Rick Barry,Nate Archibald,George Gervin,Pete Maravich,Nate Archibald,The others are forwards,no
Elvin Hayes,Walt Frazier,Bob McAdoo,Wes Unseld,Walt Frazier,The others are forwards,yes
Dave Bing,Jack Sikma,Artis Gilmore,Bill Walton,Dave Bing,The others are centers,no
Clyde Frazier,Elvin Hayes,Earl Monroe,Hal Greer,Elvin Hayes,The others are guards,yes
Maurice Lucas,Nate Thurmond,Paul Silas,Spencer Haywood,Nate Thurmond,The others are forwards,no
Gail Goodrich,Wes Unseld,Lenny Wilkens,Jerry West,Wes Unseld,The others are guards,no
Bobby Jones,Walt Frazier,Bob Dandridge,Jamaal Wilkes,Walt Frazier,The others are forwards,no
Sidney Wicks,Rudy Tomjanovich,Bob Lanier,Bob Love,Bob Lanier,The others are forwards,no
Paul Westphal,Dan Issel,Elvin Hayes,Bob McAdoo,Paul Westphal,The others are forwards,yes
Norm Van Lier,Dave Cowens,Fred Brown,Don Chaney,Dave Cowens,The others are guards,no
Rick Barry,Connie Hawkins,Gus Williams,John Havlicek,Gus Williams,The others are forwards,no
Walt Frazier,Tiny Archibald,Bill Walton,Jo Jo White,Bill Walton,The others are guards,no
Calvin Murphy,Dave Cowens,Lou Hudson,Phil Chenier,Dave Cowens,The others are guards,no
Bill Bradley,Bobby Jones,Dave Bing,Jamaal Wilkes,Dave Bing,The others are forwards,no
Artis Gilmore,Jack Sikma,Rick Barry,Walt Bellamy,Rick Barry,The others are centers,no
Bill Walton,Paul Westphal,Bob Lanier,Willis Reed,Paul Westphal,The others are centers,no
Spencer Haywood,Elvin Hayes,Paul Silas,Pete Maravich,Pete Maravich,The others are forwards,yes
Gail Goodrich,Bill Walton,Dave Cowens,Nate Thurmond,Gail Goodrich,The others are centers,yes
Hal Greer,Jack Sikma,Dave Bing,Earl Monroe,Jack Sikma,The others are guards,no
Wes Unseld,John Havlicek,George Gervin,Rick Barry,Wes Unseld,The others are forwards,no
Bob Love,Rudy Tomjanovich,Walt Frazier,Paul Silas,Walt Frazier,The others are forwards,no
Spencer Haywood,Maurice Lucas,Walt Bellamy,Bob Dandridge,Walt Bellamy,The others are forwards,no
