obj_1,obj_2,obj_3,obj_4,odd,reason_for_similarity,valid
Bob Cousy,George Mikan,Larry Foust,Jack Twyman,Jack Twyman,The others are multiple MVPs,no
Paul Arizin,Bob Pettit,Bill Sharman,Vern Mikkelsen,Vern Mikkelsen,The others are top scorers,no
Neil Johnston,Larry Foust,Harry Gallatin,Bill Russell,Bill Russell,The others are not top rebounders,no
Dick McGuire,Slater Martin,Carl Braun,Tom Heinsohn,Tom Heinsohn,The others are guards,no
George Yardley,Dolph Schayes,Paul Arizin,Bob Cousy,Bob Cousy,The others are forwards,yes
Bob Pettit,Bill Russell,Bob Cousy,Neil Johnston,Neil Johnston,The others are MVP winners,yes
Bill Sharman,Bob Cousy,Larry Foust,Harry Gallatin,Harry Gallatin,The others are Celtics players,no
George Mikan,Dolph Schayes,Bob Pettit,Bill Sharman,Bill Sharman,The others are top scorers,yes
Clyde Lovellette,Arnie Risen,Larry Foust,George Yardley,George Yardley,The others are centers,no
Jim Pollard,Paul Arizin,Dick McGuire,Bob Cousy,Bob Cousy,The others are forwards,no
Bob Pettit,Bill Russell,Tom Heinsohn,Dolph Schayes,Dolph Schayes,The others are MVP winners,yes
Vern Mikkelsen,Neil Johnston,Ed Macauley,Cliff Hagan,Cliff Hagan,The others are forwards,no
Larry Foust,Clyde Lovellette,Paul Arizin,George Mikan,George Mikan,The others are centers,no
Bob Cousy,George Mikan,Larry Foust,Harry Gallatin,Harry Gallatin,The others are multiple MVPs,no
Paul Arizin,Bob Pettit,Bill Sharman,Dick Garmaker,Dick Garmaker,The others are top scorers,no
Neil Johnston,Larry Foust,Harry Gallatin,Bob Cousy,Bob Cousy,The others are not top rebounders,no
Dick McGuire,Slater Martin,Carl Braun,Vern Mikkelsen,Vern Mikkelsen,The others are guards,no
George Yardley,Dolph Schayes,Paul Arizin,Bill Russell,Bill Russell,The others are forwards,yes
Bob Pettit,Bill Russell,Bob Cousy,Arnie Risen,Arnie Risen,The others are MVP winners,yes
Bill Sharman,Bob Cousy,Larry Foust,Jack Twyman,Jack Twyman,The others are Celtics players,no
George Mikan,Dolph Schayes,Bob Pettit,Cliff Hagan,Cliff Hagan,The others are top scorers,yes
Clyde Lovellette,Arnie Risen,Larry Foust,Tom Heinsohn,Tom Heinsohn,The others are centers,no
Jim Pollard,Paul Arizin,Dick McGuire,George Yardley,George Yardley,The others are forwards,no
Bob Cousy,Bill Russell,Tommy Heinsohn,Dolph Schayes,Dolph Schayes,The others are Celtics players,yes
George Mikan,Vern Mikkelsen,Jim Pollard,Bob Pettit,Bob Pettit,The others are Lakers players,no
Paul Arizin,Neil Johnston,Tom Gola,George Yardley,George Yardley,The others are Warriors players,no
Bob Pettit,Cliff Hagan,Ed Macauley,Bill Sharman,Bill Sharman,The others are Hawks players,no
Harry Gallatin,Dick McGuire,Carl Braun,Bob Cousy,Bob Cousy,The others are Knicks players,no
Bill Sharman,Bob Cousy,Frank Ramsey,Paul Arizin,Paul Arizin,The others are Celtics players,yes
Dolph Schayes,Red Kerr,Al Cervi,George Mikan,George Mikan,The others are Syracuse Nationals players,yes
George Yardley,Larry Foust,Mel Hutchins,Tom Heinsohn,Tom Heinsohn,The others are Pistons players,no
Bob Pettit,Cliff Hagan,Slater Martin,Paul Arizin,Paul Arizin,The others are Hawks players,no
Bill Sharman,Bob Cousy,Sam Jones,Dolph Schayes,Dolph Schayes,The others are Celtics players,yes
George Mikan,Vern Mikkelsen,Slater Martin,Bob Cousy,Bob Cousy,The others are Lakers players,no
Paul Arizin,Neil Johnston,Joe Fulks,Bob Pettit,Bob Pettit,The others are Warriors players,no
Harry Gallatin,Dick McGuire,Carl Braun,George Mikan,George Mikan,The others are Knicks players,no
Bob Pettit,Cliff Hagan,Ed Macauley,George Yardley,George Yardley,The others are Hawks players,no
Bill Sharman,Bob Cousy,Frank Ramsey,George Mikan,George Mikan,The others are Celtics players,no
Dolph Schayes,Red Kerr,Al Cervi,Bob Pettit,Bob Pettit,The others are Syracuse Nationals players,yes
George Yardley,Larry Foust,Mel Hutchins,Bob Cousy,Bob Cousy,The others are Pistons players,no
Bob Pettit,Cliff Hagan,Slater Martin,George Yardley,George Yardley,The others are Hawks players,no
Bill Sharman,Bob Cousy,Sam Jones,George Mikan,George Mikan,The others are Celtics players,no
George Mikan,Vern Mikkelsen,Slater Martin,Paul Arizin,Paul Arizin,The others are Lakers players,no
Paul Arizin,Neil Johnston,Joe Fulks,Bill Sharman,Bill Sharman,The others are Warriors players,no
Harry Gallatin,Dick McGuire,Carl Braun,Bob Pettit,Bob Pettit,The others are Knicks players,no
Bob Pettit,Cliff Hagan,Ed Macauley,Dolph Schayes,Dolph Schayes,The others are Hawks players,yes
Bill Sharman,Bob Cousy,Frank Ramsey,George Yardley,George Yardley,The others are Celtics players,no
Dolph Schayes,Red Kerr,Al Cervi,George Yardley,George Yardley,The others are Syracuse Nationals players,yes
George Yardley,Larry Foust,Mel Hutchins,Bob Pettit,Bob Pettit,The others are Pistons players,no
Bob Pettit,Cliff Hagan,Slater Martin,Bob Cousy,Bob Cousy,The others are Hawks players,yes
Bill Sharman,Bob Cousy,Sam Jones,Paul Arizin,Paul Arizin,The others are Celtics players,no
George Mikan,Vern Mikkelsen,Slater Martin,Dolph Schayes,Dolph Schayes,The others are Lakers players,yes
Paul Arizin,Neil Johnston,Joe Fulks,George Yardley,George Yardley,The others are Warriors players,no
Bob Cousy,Bill Sharman,George Mikan,Dolph Schayes,George Mikan,The others are guards,yes
Bob Pettit,Paul Arizin,Neil Johnston,Jack Twyman,Neil Johnston,The others are forwards,no
Larry Foust,Ed Macauley,Clyde Lovellette,Bill Russell,Bill Russell,The others are centers,no
Dick McGuire,Bob Davies,Vern Mikkelsen,Slater Martin,Vern Mikkelsen,The others are guards,no
Frank Ramsey,Cliff Hagan,Carl Braun,Harry Gallatin,Carl Braun,The others are forwards,no
Red Kerr,Larry Costello,Kenny Sears,Tom Heinsohn,Larry Costello,The others are forwards,no
Richie Guerin,Hal Greer,Gene Shue,Tom Gola,Tom Gola,The others are guards,no
Jim Pollard,Andy Phillip,Dolph Schayes,Paul Hoffman,Dolph Schayes,The others are guards,yes
Bob Leonard,Dick McGuire,Larry Foust,Bob Davies,Larry Foust,The others are guards,no
Tom Heinsohn,Bill Sharman,Jack Twyman,Paul Arizin,Bill Sharman,The others are forwards,no
Vern Mikkelsen,Larry Foust,Bob Pettit,Harry Gallatin,Larry Foust,The others are forwards,no
Bob Cousy,Bob Davies,Slater Martin,Clyde Lovellette,Clyde Lovellette,The others are guards,no
Paul Arizin,Ed Macauley,Neil Johnston,Bob Pettit,Neil Johnston,The others are forwards,no
Red Kerr,Larry Costello,Frank Ramsey,Tom Heinsohn,Larry Costello,The others are forwards,no
Gene Shue,Hal Greer,Richie Guerin,Tom Gola,Tom Gola,The others are guards,no
Andy Phillip,Jim Pollard,Dolph Schayes,Paul Hoffman,Dolph Schayes,The others are guards,yes
Dick McGuire,Bob Leonard,Bob Davies,Larry Foust,Larry Foust,The others are guards,no
Bill Sharman,Tom Heinsohn,Jack Twyman,Paul Arizin,Bill Sharman,The others are forwards,no
Larry Foust,Vern Mikkelsen,Bob Pettit,Harry Gallatin,Larry Foust,The others are forwards,no
Bob Cousy,Bob Davies,Slater Martin,Clyde Lovellette,Clyde Lovellette,The others are guards,no
Paul Arizin,Ed Macauley,Neil Johnston,Bob Pettit,Neil Johnston,The others are forwards,no
Red Kerr,Larry Costello,Frank Ramsey,Tom Heinsohn,Larry Costello,The others are forwards,no
Gene Shue,Hal Greer,Richie Guerin,Tom Gola,Tom Gola,The others are guards,no
Andy Phillip,Jim Pollard,Dolph Schayes,Paul Hoffman,Dolph Schayes,The others are guards,yes
Dick McGuire,Bob Leonard,Bob Davies,Larry Foust,Larry Foust,The others are guards,no
Bill Sharman,Tom Heinsohn,Jack Twyman,Paul Arizin,Bill Sharman,The others are forwards,no
Larry Foust,Vern Mikkelsen,Bob Pettit,Harry Gallatin,Larry Foust,The others are forwards,no
Bob Cousy,Bob Davies,Slater Martin,Clyde Lovellette,Clyde Lovellette,The others are guards,no
Paul Arizin,Ed Macauley,Neil Johnston,Bob Pettit,Neil Johnston,The others are forwards,no
Red Kerr,Larry Costello,Frank Ramsey,Tom Heinsohn,Larry Costello,The others are forwards,no
Bill Russell,Wilt Chamberlain,Jerry West,Elgin Baylor,Jerry West,The others are centers,no
Oscar Robertson,Jerry Lucas,Sam Jones,John Havlicek,Jerry Lucas,The others are guards,no
Bob Cousy,K.C. Jones,Tom Heinsohn,Red Auerbach,Red Auerbach,The others are players,yes
Jerry West,Elgin Baylor,Gail Goodrich,Pat Riley,Pat Riley,The others are players,no
Wilt Chamberlain,Bill Russell,Nate Thurmond,Willis Reed,Willis Reed,The others are centers,no
Dave Bing,Earl Monroe,Walt Frazier,Hal Greer,Hal Greer,The others are point guards,no
John Havlicek,Don Nelson,Bill Bridges,Tom Sanders,Bill Bridges,The others are Celtics,no
Walt Frazier,Willis Reed,Dave DeBusschere,Bill Bradley,Walt Frazier,The others are forwards,no
Elgin Baylor,Jerry West,Rudy LaRusso,Wilt Chamberlain,Rudy LaRusso,The others are Lakers,no
Sam Jones,Bill Russell,K.C. Jones,Bob Pettit,Bob Pettit,The others are Celtics,yes
Wilt Chamberlain,Bill Russell,Nate Thurmond,Jerry Lucas,Jerry Lucas,The others are centers,no
Dave DeBusschere,Willis Reed,Bill Bradley,Walt Frazier,Walt Frazier,The others are forwards,no
Jerry West,Elgin Baylor,Wilt Chamberlain,Rudy LaRusso,Rudy LaRusso,The others are Lakers,no
Hal Greer,Billy Cunningham,Wilt Chamberlain,Jerry Lucas,Jerry Lucas,The others are 76ers,yes
John Havlicek,Bill Russell,Sam Jones,Jerry West,Jerry West,The others are Celtics,no
Oscar Robertson,Jerry West,Elgin Baylor,Bill Russell,Bill Russell,The others are guards,no
Bob Pettit,Jerry West,Elgin Baylor,Wilt Chamberlain,Bob Pettit,The others are Lakers,no
Willis Reed,Walt Frazier,Dave DeBusschere,Bill Bradley,Willis Reed,The others are forwards,no
Bill Russell,Wilt Chamberlain,Nate Thurmond,Jerry Lucas,Jerry Lucas,The others are centers,yes
Jerry West,Elgin Baylor,Gail Goodrich,Pat Riley,Pat Riley,The others are players,no
Oscar Robertson,Jerry Lucas,Sam Jones,John Havlicek,Jerry Lucas,The others are guards,no
Bill Russell,Wilt Chamberlain,Jerry West,Elgin Baylor,Jerry West,The others are centers,no
John Havlicek,Don Nelson,Bill Bridges,Tom Sanders,Bill Bridges,The others are Celtics,no
Walt Frazier,Willis Reed,Dave DeBusschere,Bill Bradley,Walt Frazier,The others are forwards,no
Elgin Baylor,Jerry West,Rudy LaRusso,Wilt Chamberlain,Rudy LaRusso,The others are Lakers,no
Sam Jones,Bill Russell,K.C. Jones,Bob Pettit,Bob Pettit,The others are Celtics,no
Wilt Chamberlain,Bill Russell,Nate Thurmond,Jerry Lucas,Jerry Lucas,The others are centers,no
Dave DeBusschere,Willis Reed,Bill Bradley,Walt Frazier,Walt Frazier,The others are forwards,no
Jerry West,Elgin Baylor,Wilt Chamberlain,Rudy LaRusso,Rudy LaRusso,The others are Lakers,no
Hal Greer,Billy Cunningham,Wilt Chamberlain,Jerry Lucas,Jerry Lucas,The others are 76ers,no
Bill Russell,Wilt Chamberlain,Jerry West,John Havlicek,Jerry West,The others are Celtics players,no
Elgin Baylor,Oscar Robertson,Jerry West,Dave DeBusschere,Dave DeBusschere,The others are Hall of Famers,no
Wilt Chamberlain,Bill Russell,Nate Thurmond,Bob Cousy,Bob Cousy,The others are centers,no
Walt Bellamy,Jerry Lucas,Dave Bing,Willis Reed,Dave Bing,The others are centers,no
Sam Jones,K.C. Jones,Hal Greer,Tom Heinsohn,Hal Greer,The others are Celtics players,no
Jerry Lucas,Willis Reed,Elgin Baylor,Bill Bradley,Bill Bradley,The others are Hall of Famers,no
Bill Russell,Sam Jones,K.C. Jones,Oscar Robertson,Oscar Robertson,The others are Celtics players,yes
Bob Pettit,Dolph Schayes,Jerry Lucas,Rick Barry,Rick Barry,The others are 1960s players,yes
Jerry West,Oscar Robertson,Elgin Baylor,Wes Unseld,Wes Unseld,The others are guards,no
Hal Greer,Dave Bing,Bill Russell,John Havlicek,Bill Russell,The others are guards,no
Willis Reed,Nate Thurmond,Walt Bellamy,Rick Barry,Rick Barry,The others are centers,no
Bob Cousy,Bill Sharman,K.C. Jones,Wilt Chamberlain,Wilt Chamberlain,The others are guards,no
Elgin Baylor,Jerry West,Gail Goodrich,Bill Russell,Bill Russell,The others are Lakers players,yes
Bill Russell,Wilt Chamberlain,Nate Thurmond,Jerry Lucas,Jerry Lucas,The others are centers,no
Sam Jones,K.C. Jones,John Havlicek,Elgin Baylor,Elgin Baylor,The others are Celtics players,no
Jerry West,Oscar Robertson,Walt Frazier,Bill Russell,Bill Russell,The others are guards,no
Willis Reed,Nate Thurmond,Walt Bellamy,Jerry Lucas,Jerry Lucas,The others are centers,no
Bob Pettit,Dolph Schayes,Jerry Lucas,Bill Russell,Bill Russell,The others are forwards,yes
Elgin Baylor,Jerry West,Gail Goodrich,Dave Bing,Dave Bing,The others are Lakers players,yes
Bill Russell,Wilt Chamberlain,Nate Thurmond,Bob Pettit,Bob Pettit,The others are centers,yes
Sam Jones,K.C. Jones,John Havlicek,Walt Frazier,Walt Frazier,The others are Celtics players,yes
Jerry West,Oscar Robertson,Walt Frazier,Elgin Baylor,Elgin Baylor,The others are guards,no
Willis Reed,Nate Thurmond,Walt Bellamy,Jerry West,Jerry West,The others are centers,no
Bob Pettit,Dolph Schayes,Jerry Lucas,Elgin Baylor,Elgin Baylor,The others are forwards,yes
Elgin Baylor,Jerry West,Gail Goodrich,Bill Sharman,Bill Sharman,The others are Lakers players,no
Bill Russell,Wilt Chamberlain,Nate Thurmond,Walt Frazier,Walt Frazier,The others are centers,yes
Sam Jones,K.C. Jones,John Havlicek,Jerry Lucas,Jerry Lucas,The others are Celtics players,yes
Jerry West,Oscar Robertson,Walt Frazier,Rick Barry,Rick Barry,The others are guards,no
Willis Reed,Nate Thurmond,Walt Bellamy,Elgin Baylor,Elgin Baylor,The others are centers,no
Bob Pettit,Dolph Schayes,Jerry Lucas,Oscar Robertson,Oscar Robertson,The others are forwards,yes
Bill Russell,Wilt Chamberlain,Jerry West,Elgin Baylor,Wilt Chamberlain,The others are Celtics players,no
Oscar Robertson,Jerry West,John Havlicek,Elgin Baylor,Elgin Baylor,The others are Hall of Famers,no
Bill Russell,Sam Jones,K.C. Jones,Jerry Lucas,Jerry Lucas,The others are Celtics players,yes
Walt Frazier,Willis Reed,Dave DeBusschere,Jerry West,Jerry West,The others are Knicks players,yes
Elgin Baylor,Jerry West,Gail Goodrich,Nate Thurmond,Nate Thurmond,The others are Lakers players,no
Bob Cousy,Bill Russell,John Havlicek,Jerry West,Jerry West,The others are Celtics players,yes
Nate Thurmond,Wilt Chamberlain,Bill Russell,Walt Frazier,Walt Frazier,The others are centers,yes
Jerry Lucas,Bill Russell,Wilt Chamberlain,Willis Reed,Jerry Lucas,The others are centers,no
Dave DeBusschere,Walt Frazier,Willis Reed,Bill Bradley,Bill Bradley,The others are Knicks players,no
Sam Jones,K.C. Jones,John Havlicek,Jerry Lucas,Jerry Lucas,The others are Celtics players,no
Elgin Baylor,Jerry West,Gail Goodrich,Bill Bradley,Bill Bradley,The others are Lakers players,no
Oscar Robertson,Jerry Lucas,Bill Russell,Jerry West,Bill Russell,The others are guards,no
Wilt Chamberlain,Bill Russell,Nate Thurmond,Jerry Lucas,Jerry Lucas,The others are centers,no
Dave DeBusschere,Walt Frazier,Willis Reed,Elgin Baylor,Elgin Baylor,The others are Knicks players,no
Bill Russell,Sam Jones,K.C. Jones,Jerry West,Jerry West,The others are Celtics players,yes
Jerry West,Oscar Robertson,Elgin Baylor,Nate Thurmond,Nate Thurmond,The others are guards,no
Wilt Chamberlain,Bill Russell,Nate Thurmond,Walt Frazier,Walt Frazier,The others are centers,no
Jerry Lucas,Bill Russell,Wilt Chamberlain,Willis Reed,Jerry Lucas,The others are centers,no
Bill Bradley,Walt Frazier,Willis Reed,Dave DeBusschere,Bill Bradley,The others are Knicks players,no
Sam Jones,K.C. Jones,John Havlicek,Bill Russell,Bill Russell,The others are guards,no
Elgin Baylor,Jerry West,Gail Goodrich,Bill Bradley,Bill Bradley,The others are Lakers players,no
Oscar Robertson,Jerry Lucas,Bill Russell,Jerry West,Bill Russell,The others are guards,no
Wilt Chamberlain,Bill Russell,Nate Thurmond,Jerry Lucas,Jerry Lucas,The others are centers,no
Dave DeBusschere,Walt Frazier,Willis Reed,Elgin Baylor,Elgin Baylor,The others are Knicks players,no
Bill Russell,Sam Jones,K.C. Jones,Jerry West,Jerry West,The others are Celtics players,yes
Jerry West,Oscar Robertson,Elgin Baylor,Nate Thurmond,Nate Thurmond,The others are guards,no
Wilt Chamberlain,Bill Russell,Nate Thurmond,Walt Frazier,Walt Frazier,The others are centers,no
Jerry Lucas,Bill Russell,Wilt Chamberlain,Willis Reed,Jerry Lucas,The others are centers,no
Bill Bradley,Walt Frazier,Willis Reed,Dave DeBusschere,Bill Bradley,The others are Knicks players,no
Sam Jones,K.C. Jones,John Havlicek,Bill Russell,Bill Russell,The others are guards,no
Bill Russell,Wilt Chamberlain,Jerry West,Elgin Baylor,Elgin Baylor,The others are centers,no
Bob Cousy,Oscar Robertson,Jerry West,John Havlicek,John Havlicek,The others are point guards,no
Walt Bellamy,Willis Reed,Dave DeBusschere,John Havlicek,John Havlicek,The others are centers,no
Elgin Baylor,Jerry West,Wilt Chamberlain,Sam Jones,Sam Jones,The others are Lakers,no
Bill Russell,Sam Jones,K.C. Jones,Jerry Lucas,Jerry Lucas,The others are Celtics,yes
Jerry Lucas,Oscar Robertson,Jerry West,John Havlicek,John Havlicek,The others are MVP winners,no
Walt Frazier,Willis Reed,Dave DeBusschere,Jerry West,Jerry West,The others are Knicks,yes
Bob Pettit,Bill Russell,Wilt Chamberlain,Jerry West,Jerry West,The others are MVP winners,yes
Lenny Wilkens,Jerry Lucas,Oscar Robertson,Jerry West,Jerry West,The others are Hall of Famers,no
Bill Russell,Sam Jones,K.C. Jones,Jerry West,Jerry West,The others are Celtics,no
Wilt Chamberlain,Oscar Robertson,Jerry West,Hal Greer,Hal Greer,The others are MVP winners,no
Bill Russell,Wilt Chamberlain,Jerry West,Bob Pettit,Bob Pettit,The others are centers,no
Bob Cousy,Bill Russell,Wilt Chamberlain,Jerry Lucas,Jerry Lucas,The others are MVP winners,yes
Bill Russell,Wilt Chamberlain,Jerry West,Elgin Baylor,Elgin Baylor,The others are MVP winners,no
Bill Russell,Sam Jones,K.C. Jones,Elgin Baylor,Elgin Baylor,The others are Celtics,yes
Walt Bellamy,Willis Reed,Dave DeBusschere,Jerry Lucas,Jerry Lucas,The others are Knicks,no
Bill Russell,Wilt Chamberlain,Jerry West,Oscar Robertson,Oscar Robertson,The others are centers,no
Elgin Baylor,Jerry West,Wilt Chamberlain,Bob Pettit,Bob Pettit,The others are Lakers,no
Bill Russell,Wilt Chamberlain,Jerry West,John Havlicek,John Havlicek,The others are MVP winners,no
Kareem Abdul-Jabbar,Wilt Chamberlain,Bill Russell,Elvin Hayes,Elvin Hayes,The others are centers,yes
Jerry West,Oscar Robertson,John Havlicek,Walt Frazier,Walt Frazier,The others are guards,no
Bob Lanier,Dave Cowens,Willis Reed,Julius Erving,Julius Erving,The others are centers,no
Rick Barry,George Gervin,Pete Maravich,Nate Archibald,Nate Archibald,The others are forwards,no
Wes Unseld,Elvin Hayes,Bob McAdoo,Walt Frazier,Walt Frazier,The others are forwards,yes
Bill Walton,Jack Sikma,Artis Gilmore,Dave Bing,Dave Bing,The others are centers,no
Earl Monroe,Clyde Frazier,Hal Greer,Elvin Hayes,Elvin Hayes,The others are guards,yes
Paul Silas,Spencer Haywood,Maurice Lucas,Nate Thurmond,Nate Thurmond,The others are forwards,no
Gail Goodrich,Jerry West,Lenny Wilkens,Wes Unseld,Wes Unseld,The others are guards,no
Bob Dandridge,Jamaal Wilkes,Bobby Jones,Walt Frazier,Walt Frazier,The others are forwards,no
Sidney Wicks,Rudy Tomjanovich,Bob Love,Bob Lanier,Bob Lanier,The others are forwards,no
Dan Issel,Bob McAdoo,Elvin Hayes,Paul Westphal,Paul Westphal,The others are forwards,yes
Norm Van Lier,Don Chaney,Fred Brown,Dave Cowens,Dave Cowens,The others are guards,no
Connie Hawkins,John Havlicek,Rick Barry,Gus Williams,Gus Williams,The others are forwards,no
Jo Jo White,Tiny Archibald,Walt Frazier,Bill Walton,Bill Walton,The others are guards,no
Phil Chenier,Lou Hudson,Calvin Murphy,Dave Cowens,Dave Cowens,The others are guards,no
Bill Bradley,Bobby Jones,Jamaal Wilkes,Dave Bing,Dave Bing,The others are forwards,no
Walt Bellamy,Jack Sikma,Artis Gilmore,Rick Barry,Rick Barry,The others are centers,no
Bob Lanier,Willis Reed,Bill Walton,Paul Westphal,Paul Westphal,The others are centers,no
Paul Silas,Elvin Hayes,Spencer Haywood,Pete Maravich,Pete Maravich,The others are forwards,yes
Nate Thurmond,Bill Walton,Dave Cowens,Gail Goodrich,Gail Goodrich,The others are centers,yes
Dave Bing,Earl Monroe,Hal Greer,Jack Sikma,Jack Sikma,The others are guards,no
Rick Barry,John Havlicek,George Gervin,Wes Unseld,Wes Unseld,The others are forwards,no
Bob Love,Paul Silas,Rudy Tomjanovich,Walt Frazier,Walt Frazier,The others are forwards,no
Spencer Haywood,Maurice Lucas,Bob Dandridge,Walt Bellamy,Walt Bellamy,The others are forwards,no
