obj_1,obj_2,obj_3,obj_4,odd,reason_for_similarity,valid
Christy Mathewson,Ty Cobb,Harry Heilmann,Sam Crawford,Christy Mathewson,The others are outfielders,
Bob Feller,Eddie Collins,Walter Johnson,Cy Young,Eddie Collins,The others are pitchers,
Chief Bender,Eddie Plank,Jack Coombs,Nap Lajoie,Nap Lajoie,The others are Philadelphia Athletics players,
Mordecai Brown,Ty Cobb,Grover Cleveland Alexander,John McGinnity,Ty Cobb,The others are pitchers,
Sam Crawford,Eddie Plank,Ty Cobb,Hughie Jennings,Eddie Plank,The others are managers,
Eddie Collins,Harry Heilmann,Sam Crawford,Ty Cobb,Eddie Collins,The others are Detroit Tigers outfielders,
Bob Meusel,Elmer Miller,Waite Hoyt,Babe Ruth,Waite Hoyt,The others are New York Yankees outfielders,
Joe Wood,Eddie Cicotte,Urban Shocker,Smoky Joe Wood,Urban Shocker,The others are pitchers with 20-win seasons in 1912,
Tris Speaker,Bill Wambsganns,Harry Hooper,Larry Gardner,Bill Wambsganns,The others are Boston Red Sox World Series champions,
Jack Barry,Frank Baker,Home Run Baker,Eddie Collins,Home Run Baker,The others are Philadelphia Athletics infielders,
Wally Pipp,Herb Pennock,Christy Mathewson,Waite Hoyt,Wally Pipp,The others are Hall of Fame pitchers,
Dolf Luque,Grover Cleveland Alexander,Rube Marquard,Eddie Plank,Dolf Luque,The others are pitchers with 300 wins,
Ty Cobb,George Sisler,Wally Gerber,Sam Rice,Wally Gerber,The others are hitting champions,
Bob Shawkey,Ping Bodie,Carl Mays,Herb Thacker,Ping Bodie,The others are Yankee pitchers in 1916,
Lefty Williams,Joe Jackson,Red Faber,Eddie Cicotte,Joe Jackson,The others are Black Sox pitchers,
Frank Baker,Eddie Collins,Home Run Baker,Wally Pipp,Wally Pipp,The others are Philadelphia Athletics power hitters,
Bullet Joe Bush,Urban Shocker,Carl Mays,Wally Schang,Wally Schang,The others are Yankees pitchers in 1916,
Tris Speaker,Ty Cobb,Eddie Plank,Sam Crawford,Eddie Plank,The others are outfielders,
Joe Wood,Dickie Kerr,Eddie Cicotte,Smoky Joe Wood,Eddie Cicotte,The others are pitchers with 20-strikeout games,
Tris Speaker,Harry Hooper,Larry Gardner,Stuffy McInnis,Stuffy McInnis,The others are Boston Red Sox position players,
Wally Pipp,Bob Meusel,Babe Ruth,Lou Gehrig,Wally Pipp,The others are New York Yankees sluggers,
Tris Speaker,Eddie Collins,Joe Wood,Ty Cobb,Tris Speaker,The others are MVPs,
Grover Cleveland Alexander,Rogers Hornsby,Eddie Plank,Christy Mathewson,Rogers Hornsby,The others are pitchers in the Hall of Fame,
Ty Cobb,Hughie Jennings,Sam Crawford,Harry Heilmann,Hughie Jennings,The others are Detroit Tigers legends,
Red Faber,Buck Weaver,Joe Jackson,Happy Felsch,Red Faber,The others are Black Sox position players,
Bob Meusel,Ping Bodie,Elmer Miller,Wally Schang,Ping Bodie,The others are New York Yankees outfielders,
Grover Cleveland Alexander,Joe Wood,Christy Mathewson,Eddie Plank,Joe Wood,The others are pitchers with 300 wins,
Harry Heilmann,Ty Cobb,Sam Crawford,Eddie Cicotte,Eddie Cicotte,The others are Detroit Tigers Hall of Famers,
Joe Wood,Bill Carrigan,Larry Gardner,Tris Speaker,Bill Carrigan,The others are Boston Red Sox managers,
Herb Pennock,Lou Gehrig,Bob Meusel,Babe Ruth,Herb Pennock,The others are New York Yankees World Series champions,
Eddie Collins,Sam Crawford,Ty Cobb,Ray Chapman,Ray Chapman,The others are batting champions,
John McGraw,Christy Mathewson,Grover Cleveland Alexander,Eddie Plank,John McGraw,The others are pitchers in the Hall of Fame,
Eddie Collins,Home Run Baker,George Sisler,Frank Baker,George Sisler,The others are power hitters,
Ty Cobb,Sam Crawford,Eddie Plank,Harry Heilmann,Eddie Plank,The others are Detroit Tigers legends,
Wally Pipp,Sad Sam Jones,Elmer Miller,Bob Meusel,Sad Sam Jones,The others are New York Yankees position players,
Lefty Williams,Smoky Joe Wood,Eddie Cicotte,Joe Wood,Lefty Williams,The others are pitchers with 20-win seasons,
Harry Hooper,Bill Wambsganns,Larry Gardner,Tris Speaker,Bill Wambsganns,The others are Boston Red,
Ty Cobb,Grover Cleveland Alexander,Sam Crawford,Harry Heilmann,Grover Cleveland Alexander,The others are Detroit Tigers players,
Home Run Baker,Walter Johnson,Jack Barry,Eddie Collins,Walter Johnson,The others are Philadelphia Athletics players,
Bob Meusel,Urban Shocker,Wally Pipp,Babe Ruth,Urban Shocker,The others are New York Yankees players,
Addie Joss,Cy Young,Shoeless Joe Jackson,Stan Coveleski,Shoeless Joe Jackson,The others are Cleveland Indians players,
Jeff Tesreau,Rube Marquard,Gavvy Cravath,Christy Mathewson,Gavvy Cravath,The others are New York Giants players,
Nap Lajoie,Elmer Flick,Joe Jackson,Eddie Plank,Eddie Plank,The others are Cleveland Naps players,
Hippo Vaughn,Frank Chance,Mordecai Brown,Johnny Evers,Hippo Vaughn,The others are Chicago Cubs players,
Harry Hooper,Smoky Joe Wood,Tris Speaker,Duffy Lewis,Smoky Joe Wood,The others are Boston Red Sox outfielders,
Red Faber,Eddie Cicotte,Urban Faber,Buck Weaver,Buck Weaver,The others are Chicago White Sox pitchers,
Pete Alexander,Milt Stock,Grover Cleveland Alexander,Eppa Rixey,Milt Stock,The others are Philadelphia Phillies players,
Elmer Flick,Nap Lajoie,Terry Turner,Bill Bradley,Bill Bradley,The others are Cleveland Naps players,
Bob Groom,Doc Ayers,Ray Morgan,Walter Johnson,Ray Morgan,The others are Washington Senators pitchers,
Sam Crawford,Hughie Jennings,Ty Cobb,Harry Heilmann,Hughie Jennings,The others are Detroit Tigers players,
Ray Caldwell,Babe Ruth,Wally Pipp,Bob Meusel,Ray Caldwell,The others are New York Yankees players,
Hippo Vaughn,Roger Bresnahan,Claude Hendrix,Mordecai Brown,Roger Bresnahan,The others are Chicago Cubs pitchers,
Elmer Flick,Vean Gregg,Nap Lajoie,Joe Jackson,Vean Gregg,The others are Cleveland Naps players,
Jack Barry,Home Run Baker,Eddie Collins,Stuffy McInnis,Stuffy McInnis,The others are Philadelphia Athletics players,
Cy Young,Addie Joss,George Uhle,Stan Coveleski,George Uhle,The others are Cleveland Indians players,
Duffy Lewis,Tris Speaker,Harry Hooper,Ernie Shore,Ernie Shore,The others are Boston Red Sox outfielders,
Bill Doak,Christy Mathewson,Rube Marquard,Jeff Tesreau,Bill Doak,The others are New York Giants players,
Pat Moran,Frank Chance,Johnny Evers,Mordecai Brown,Pat Moran,The others are Chicago Cubs players,
Red Faber,Byrd Lynn,Urban Faber,Eddie Cicotte,Byrd Lynn,The others are Chicago White Sox pitchers,
Eddie Ainsmith,Walter Johnson,Bob Groom,Doc Ayers,Eddie Ainsmith,The others are Washington Senators pitchers,
Bob Shawkey,Wally Pipp,Babe Ruth,Bob Meusel,Bob Shawkey,The others are New York Yankees players,
Sam Crawford,Ira Thomas,Harry Heilmann,Ty Cobb,Ira Thomas,The others are Detroit Tigers players,
Dave Bancroft,Eppa Rixey,Pete Alexander,Grover Cleveland Alexander,Dave Bancroft,The others are Philadelphia Phillies players,
Elmer Flick,Nap Lajoie,Bill Wambsganss,Joe Jackson,Bill Wambsganss,The others are Cleveland Naps players,
Mordecai Brown,Claude Hendrix,Phil Douglas,Hippo Vaughn,Phil Douglas,The others are Chicago Cubs pitchers,
Rube Oldring,Jack Barry,Home Run Baker,Eddie Collins,Rube Oldring,The others are Philadelphia Athletics players,
Addie Joss,Cy Young,Stan Coveleski,Jim Bagby,Jim Bagby,The others are Cleveland Indians players,
Carl Mays,Tris Speaker,Duffy Lewis,Harry Hooper,Carl Mays,The others are Boston Red Sox players,
Ferdie Schupp,Rube Marquard,Jeff Tesreau,Christy Mathewson,Ferdie Schupp,The others are New York,
Red Faber,Ed Walsh,Eddie Cicotte,Ty Cobb,Ty Cobb,The others are pitchers,
Sam Crawford,Home Run Baker,Ty Cobb,Eddie Plank,Eddie Plank,The others are hitters,
Nap Lajoie,Walter Johnson,Cy Young,Christy Mathewson,Nap Lajoie,The others are pitchers,
Addie Joss,Ty Cobb,Tris Speaker,Eddie Collins,Addie Joss,The others are position players,
Shoeless Joe Jackson,Happy Felsch,Ed Cicotte,Buck Weaver,Ed Cicotte,The others are outfielders,
Waite Hoyt,Babe Ruth,Bob Meusel,Lou Gehrig,Waite Hoyt,The others are position players,
Christy Mathewson,Cy Young,Eddie Plank,Nap Lajoie,Nap Lajoie,The others are pitchers,
Home Run Baker,Tris Speaker,Eddie Collins,Ed Walsh,Ed Walsh,The others are position players,
Sam Crawford,Ty Cobb,Ed Cicotte,Harry Heilmann,Ed Cicotte,The others are outfielders,
Walter Johnson,Cy Young,Ed Walsh,Babe Ruth,Babe Ruth,The others are pitchers,
Ty Cobb,Home Run Baker,Cy Young,Tris Speaker,Cy Young,The others are position players,
Tony Lazzeri,Herb Pennock,Babe Ruth,Lou Gehrig,Herb Pennock,The others are position players,
Ty Cobb,Cy Young,Addie Joss,Ed Walsh,Ty Cobb,The others are pitchers,
Walter Johnson,Christy Mathewson,Home Run Baker,Eddie Plank,Home Run Baker,The others are pitchers,
Tris Speaker,Ed Cicotte,Sam Crawford,Ty Cobb,Ed Cicotte,The others are outfielders,
Red Faber,Buck Weaver,Happy Felsch,Shoeless Joe Jackson,Red Faber,The others are outfielders,
Waite Hoyt,Babe Ruth,Bob Meusel,Lou Gehrig,Waite Hoyt,The others are position players,
Christy Mathewson,Tris Speaker,Eddie Plank,Cy Young,Tris Speaker,The others are pitchers,
Ty Cobb,Eddie Collins,Home Run Baker,Ed Walsh,Ed Walsh,The others are position players,
Ty Cobb,Sam Crawford,Ed Cicotte,Harry Heilmann,Ed Cicotte,The others are outfielders,
Ed Walsh,Babe Ruth,Walter Johnson,Cy Young,Babe Ruth,The others are pitchers,
Tris Speaker,Cy Young,Ty Cobb,Home Run Baker,Cy Young,The others are position players,
Lou Gehrig,Tony Lazzeri,Babe Ruth,Herb Pennock,Herb Pennock,The others are position players,
Ed Walsh,Ty Cobb,Addie Joss,Cy Young,Ty Cobb,The others are pitchers,
Walter Johnson,Eddie Plank,Christy Mathewson,Home Run Baker,Home Run Baker,The others are pitchers,
Sam Crawford,Ed Cicotte,Ty Cobb,Tris Speaker,Ed Cicotte,The others are outfielders,
Red Faber,Shoeless Joe Jackson,Happy Felsch,Buck Weaver,Red Faber,The others are outfielders,
Waite Hoyt,Lou Gehrig,Babe Ruth,Bob Meusel,Waite Hoyt,The others are position players,
Christy Mathewson,Eddie Plank,Tris Speaker,Cy Young,Tris Speaker,The others are pitchers,
Ty Cobb,Ed Walsh,Home Run Baker,Eddie Collins,Ed Walsh,The others are position players,
Sam Crawford,Ed Cicotte,Harry Heilmann,Ty Cobb,Ed Cicotte,The others are outfielders,
Cy Young,Ed Walsh,Babe Ruth,Walter Johnson,Babe Ruth,The others are pitchers,
Ty Cobb,Tris Speaker,Home Run Baker,Cy Young,Cy Young,The others are position players,
Babe Ruth,Herb Pennock,Lou Gehrig,Tony Lazzeri,Herb Pennock,The others are position players,
Lou Gehrig,Babe Ruth,Eddie Collins,Ty Cobb,Eddie Collins,The others are Yankees,
Walter Johnson,Honus Wagner,Addie Joss,Cy Young,Cy Young,The others are pitchers,
Nap Lajoie,Joe Jackson,Tris Speaker,Eddie Collins,Eddie Collins,The others played for Cleveland,
Christy Mathewson,Grover Cleveland Alexander,Johnny Evers,Eppa Rixey,Johnny Evers,The others are Hall of Fame pitchers,
Sam Crawford,Connie Mack,Eddie Collins,Home Run Baker,Connie Mack,The others played for Philadelphia,
Tony Lazzeri,Lou Gehrig,George Sisler,Babe Ruth,George Sisler,The others are Yankees infielders,
Sam Crawford,Ty Cobb,Hughie Jennings,Harry Heilmann,Hughie Jennings,The others played for Detroit,
Cy Young,Jimmy Dykes,Stan Coveleski,Addie Joss,Jimmy Dykes,The others are Native American pitchers,
Chief Bender,Eddie Plank,Rube Waddell,Pie Traynor,Pie Traynor,The others are Philadelphia Athletics pitchers,
Harry Frazee,Bob Fothergill,Tris Speaker,Joe Jackson,Harry Frazee,The others played for Boston,
Elmer Flick,Terry Turner,Bill Wambsganss,Nap Lajoie,Bill Wambsganss,The others played for Cleveland,
Fred Clarke,Deacon Phillippe,Honus Wagner,Tommy Leach,Deacon Phillippe,The others played for Pittsburgh,
Iron Joe McGinnity,John McGraw,Christy Mathewson,Red Ames,John McGraw,The others played for New York Giants,
Mike Donlin,Bob Shawkey,Stan Coveleski,Walter Johnson,Mike Donlin,The others are pitchers with 300+ wins,
Joe Wood,Stuffy McInnis,Babe Ruth,Harry Hooper,Stuffy McInnis,The others played for Boston Red Sox,
Grover Cleveland Alexander,Bill Dinneen,Eddie Plank,Cy Young,Bill Dinneen,The others won 300+ games,
Home Run Baker,Jack Barry,Eddie Collins,Ira Thomas,Ira Thomas,The others played for Philadelphia Athletics,
Harry Heilmann,Wally Pipp,Sam Crawford,Ty Cobb,Wally Pipp,The others played for Detroit Tigers,
Joe Jackson,Ray Schalk,Eppa Rixey,Tris Speaker,Ray Schalk,"The others are members of the 3,000 hit club",
Tony Lazzeri,Lou Gehrig,Mark Koenig,Babe Ruth,Mark Koenig,The others are Yankees infielders,
Cy Young,Stan Coveleski,Addie Joss,Herb Pennock,Herb Pennock,The others are Cleveland Indians pitchers,
Eddie Plank,Waite Hoyt,Rube Waddell,Chief Bender,Waite Hoyt,The others are Philadelphia Athletics pitchers,
Terry Turner,Nap Lajoie,Elmer Flick,George Uhle,George Uhle,The others played for Cleveland Indians,
Fred Clarke,Max Carey,Honus Wagner,Tommy Leach,Max Carey,The others played for Pittsburgh Pirates,
Red Ames,Christy Mathewson,Art Devlin,Iron Joe McGinnity,Art Devlin,The others played for New York Giants,
Bob Shawkey,Stan Coveleski,Walter Johnson,Urban Shocker,Urban Shocker,The others are pitchers with 200+ wins,
Babe Ruth,Harry Hooper,Everett Scott,Joe Wood,Everett Scott,The others played for Boston Red Sox,
Dazzy Vance,Eddie Plank,Cy Young,Grover Cleveland Alexander,Dazzy Vance,The others won the MVP award,
Stuffy McInnis,Eddie Collins,Jack Barry,Home Run Baker,Jack Barry,The others played for Philadelphia Athletics,
Sam Crawford,Ty Cobb,Harry Heilmann,Bob Veach,Sam Crawford,The others played for Detroit Tigers,
Joe Jackson,Elmer Smith,Tris Speaker,Eppa Rixey,Joe Jackson,"The others are members of the 3,000 hit club",
Lou Gehrig,Babe Ruth,Mark Koenig,Tony Lazzeri,Babe Ruth,The others are Yankees infielders,
Stan Coveleski,Addie Joss,Earl Whitehill,Cy Young,Addie Joss,The others are Cleveland Indians pitchers,
Eddie Collins,Christy Mathewson,Nap Lajoie,Ty Cobb,Christy Mathewson,The others are position players,
Walter Johnson,Johnny Evers,Cy Young,Ed Walsh,Johnny Evers,The others are pitchers,
Sam Crawford,Honus Wagner,Tris Speaker,Ty Cobb,Sam Crawford,The others are outfielders,
Shoeless Joe Jackson,Grover Cleveland Alexander,Eddie Cicotte,Urban Shocker,Shoeless Joe Jackson,The others are pitchers,
Babe Ruth,Harry Heilmann,Eddie Collins,Bob Meusel,Eddie Collins,The others are power hitters,
Sam Crawford,Joe Jackson,Tris Speaker,Mordecai Brown,Mordecai Brown,The others are outfielders,
Ty Cobb,Chief Bender,Eddie Collins,Nap Lajoie,Chief Bender,The others are infielders,
Walter Johnson,Christy Mathewson,Cy Young,Eddie Plank,Walter Johnson,The others are Hall of Fame pitchers,
Frank Baker,Honus Wagner,Johnny Evers,Ed Walsh,Ed Walsh,The others are infielders,
Eddie Cicotte,Grover Cleveland Alexander,Urban Shocker,Ray Schalk,Ray Schalk,The others are pitchers,
Tris Speaker,Ty Cobb,Shoeless Joe Jackson,Nap Lajoie,Nap Lajoie,The others are outfielders,
Harry Heilmann,Sam Crawford,Bob Meusel,Ed Reulbach,Ed Reulbach,The others are outfielders,
Mordecai Brown,Christy Mathewson,Johnny Evers,Cy Young,Johnny Evers,The others are pitchers,
Eddie Collins,Tris Speaker,Ty Cobb,Eddie Plank,Eddie Plank,The others are position players,
Cy Young,Walter Johnson,Ed Walsh,Johnny Kling,Johnny Kling,The others are pitchers,
Eddie Cicotte,Frank Baker,Ty Cobb,Home Run Baker,Eddie Cicotte,The others are third basemen,
Grover Cleveland Alexander,Sam Crawford,Urban Shocker,Eddie Cicotte,Sam Crawford,The others are pitchers,
Babe Ruth,Ed Reulbach,Ty Cobb,Tris Speaker,Ed Reulbach,The others are outfielders,
Honus Wagner,Nap Lajoie,Johnny Evers,Walter Johnson,Walter Johnson,The others are infielders,
Mordecai Brown,Christy Mathewson,Eddie Plank,Cy Young,Mordecai Brown,The others are Hall of Fame pitchers,
Eddie Collins,Tris Speaker,Sam Crawford,Ty Cobb,Eddie Collins,The others are outfielders,
Harry Heilmann,Shoeless Joe Jackson,Bob Meusel,Ed Walsh,Ed Walsh,The others are outfielders,
Ed Walsh,Mordecai Brown,Honus Wagner,Walter Johnson,Honus Wagner,The others are pitchers,
Urban Shocker,Eddie Cicotte,Grover Cleveland Alexander,Ty Cobb,Ty Cobb,The others are pitchers,
Frank Baker,Ed Reulbach,Eddie Collins,Home Run Baker,Ed Reulbach,The others are infielders,
Cy Young,Christy Mathewson,Walter Johnson,Sam Crawford,Sam Crawford,The others are pitchers,
Johnny Evers,Ty Cobb,Joe Jackson,Tris Speaker,Johnny Evers,The others are outfielders,
Harry Heilmann,Babe Ruth,Eddie Plank,Bob Meusel,Eddie Plank,The others are power hitters,
Mordecai Brown,Ty Cobb,Nap Lajoie,Eddie Collins,Mordecai Brown,The others are infielders,
Ed Walsh,Cy Young,Christy Mathewson,Honus Wagner,Honus Wagner,The others are pitchers,
Urban Shocker,Eddie Cicotte,Tris Speaker,Grover Cleveland Alexander,Tris Speaker,The others are pitchers,
Johnny Evers,Frank Baker,Honus Wagner,Walter Johnson,Walter Johnson,The others are infielders,
Eddie Collins,Ty Cobb,Shoeless Joe Jackson,Tris Speaker,Eddie Collins,The others are outfielders.,
Home Run Baker,Chief Bender,Jack Coombs,Eddie Plank,Home Run Baker,The others are pitchers.,
Eddie Collins,Buck Herzog,Frank Baker,Home Run Baker,Home Run Baker,The others are third basemen.,
Iron Man McGinnity,Joe McGinnity,Johnny Evers,Christy Mathewson,Johnny Evers,The others are New York Giants players.,
Lefty Tyler,Dick Rudolph,Eppa Rixey,Rabbit Maranville,Rabbit Maranville,The others are pitchers.,
Joe Tinker,Johnny Evers,Honus Wagner,Mordecai Brown,Mordecai Brown,The others are infielders.,
Ty Cobb,Ed Walsh,Tris Speaker,Sam Crawford,Ed Walsh,The others are American League players.,
Nap Lajoie,Cy Young,Bob Feller,Addie Joss,Bob Feller,The others are Cleveland players.,
Johnny Evers,Mordecai Brown,Jimmy Sheckard,Joe Tinker,Mordecai Brown,The others are Chicago Cubs players.,
Buck Herzog,Urban Shocker,Eddie Cicotte,Red Faber,Buck Herzog,The others are pitchers.,
Sam Crawford,Ty Cobb,Eddie Collins,Tris Speaker,Eddie Collins,The others are outfielders.,
Eddie Plank,Chief Bender,Home Run Baker,Jack Coombs,Home Run Baker,The others are Philadelphia Athletics players.,
Nap Lajoie,Cy Young,Ed Walsh,Addie Joss,Nap Lajoie,The others are pitchers.,
Joe Tinker,Johnny Evers,Mordecai Brown,Honus Wagner,Mordecai Brown,The others are infielders.,
Tris Speaker,Shoeless Joe Jackson,Ty Cobb,Eddie Cicotte,Eddie Cicotte,The others are American League players.,
Ty Cobb,Urban Shocker,Sam Crawford,Tris Speaker,Urban Shocker,The others are outfielders.,
Home Run Baker,Christy Mathewson,Buck Herzog,Eddie Collins,Christy Mathewson,The others are infielders.,
Eddie Plank,Iron Man McGinnity,Joe McGinnity,Johnny Evers,Johnny Evers,The others are pitchers.,
Ed Walsh,Addie Joss,Cy Young,Honus Wagner,Honus Wagner,The others are pitchers.,
Eddie Cicotte,Nap Lajoie,Tris Speaker,Ty Cobb,Eddie Cicotte,The others are American League players.,
Home Run Baker,Christy Mathewson,Eddie Plank,Joe McGinnity,Home Run Baker,The others are pitchers.,
Johnny Evers,Eddie Collins,Joe Tinker,Honus Wagner,Eddie Collins,The others are infielders.,
Ty Cobb,Tris Speaker,Urban Shocker,Shoeless Joe Jackson,Urban Shocker,The others are outfielders.,
Johnny Evers,Eddie Plank,Chief Bender,Jack Coombs,Johnny Evers,The others are Philadelphia Athletics players.,
Ed Walsh,Eddie Cicotte,Mordecai Brown,Cy Young,Eddie Cicotte,The others are pitchers.,
Eddie Collins,Buck Herzog,Home Run Baker,Christy Mathewson,Christy Mathewson,The others are infielders.,
Tris Speaker,Sam Crawford,Ty Cobb,Eddie Plank,Eddie Plank,The others are outfielders.,
Cy Young,Joe Tinker,Honus Wagner,Johnny Evers,Cy Young,The others are infielders.,
Eddie Plank,Iron Man McGinnity,Joe McGinnity,Buck Herzog,Buck Herzog,The others are pitchers.,
Cy Young,Addie Joss,Ed Walsh,Home Run Baker,Home Run Baker,The others are pitchers.,
Mordecai Brown,Nap Lajoie,Ty Cobb,Tris Speaker,Mordecai Brown,The others are American League players.,
Nap Lajoie,Eddie Collins,Ty Cobb,Christy Mathewson,Christy Mathewson,The others are position players,
Home Run Baker,Shoeless Joe Jackson,Sam Crawford,Mordecai Brown,Mordecai Brown,The others are outfielders,
Johnny Evers,Walter Johnson,Cy Young,Grover Cleveland Alexander,Johnny Evers,The others are pitchers,
Tris Speaker,Eddie Collins,Eddie Plank,Ty Cobb,Eddie Plank,The others are everyday players,
Eddie Collins,Christy Mathewson,Ty Cobb,Nap Lajoie,Christy Mathewson,The others are position players,
Babe Ruth,Walter Johnson,Grover Cleveland Alexander,Cy Young,Babe Ruth,The others are pitchers from the 1910s,
Ty Cobb,Mordecai Brown,Home Run Baker,Eddie Collins,Mordecai Brown,The others are position players,
Shoeless Joe Jackson,Tris Speaker,Sam Crawford,Eddie Plank,Eddie Plank,The others are outfielders,
Johnny Evers,Walter Johnson,Cy Young,Grover Cleveland Alexander,Johnny Evers,The others are pitchers,
Nap Lajoie,Christy Mathewson,Ty Cobb,Eddie Collins,Christy Mathewson,The others are position players,
Mordecai Brown,Home Run Baker,Tris Speaker,Sam Crawford,Mordecai Brown,The others are position players,
Eddie Collins,Lou Gehrig,Babe Ruth,Cy Young,Cy Young,The others are Yankees,
Ty Cobb,Eddie Collins,Tris Speaker,Mordecai Brown,Mordecai Brown,The others are position players,
Cy Young,Grover Cleveland Alexander,Walter Johnson,Johnny Evers,Johnny Evers,The others are pitchers,
Shoeless Joe Jackson,Eddie Collins,Christy Mathewson,Home Run Baker,Christy Mathewson,The others are position players,
Eddie Plank,Nap Lajoie,Tris Speaker,Ty Cobb,Eddie Plank,The others are position players,
Walter Johnson,Babe Ruth,Cy Young,Grover Cleveland Alexander,Babe Ruth,The others are pitchers from the 1910s,
Mordecai Brown,Eddie Collins,Ty Cobb,Tris Speaker,Mordecai Brown,The others are position players,
Shoeless Joe Jackson,Sam Crawford,Eddie Plank,Home Run Baker,Eddie Plank,The others are outfielders,
Johnny Evers,Walter Johnson,Grover Cleveland Alexander,Cy Young,Johnny Evers,The others are pitchers,
Ty Cobb,Nap Lajoie,Christy Mathewson,Eddie Collins,Christy Mathewson,The others are position players,
Tris Speaker,Sam Crawford,Mordecai Brown,Home Run Baker,Mordecai Brown,The others are position players,
Lou Gehrig,Babe Ruth,Cy Young,Ty Cobb,Cy Young,The others are Yankees,
Nap Lajoie,Tris Speaker,Eddie Collins,Eddie Plank,Eddie Plank,The others are position players,
Walter Johnson,Grover Cleveland Alexander,Johnny Evers,Cy Young,Johnny Evers,The others are pitchers,
Home Run Baker,Ty Cobb,Shoeless Joe Jackson,Christy Mathewson,Christy Mathewson,The others are position players,
Tris Speaker,Mordecai Brown,Eddie Collins,Nap Lajoie,Mordecai Brown,The others are position players,
Walter Johnson,Cy Young,Grover Cleveland Alexander,Babe Ruth,Babe Ruth,The others are pitchers from the 1910s,
Eddie Collins,Home Run Baker,Eddie Plank,Ty Cobb,Eddie Plank,The others are position players,
Home Run Baker,Eddie Plank,Sam Crawford,Tris Speaker,Eddie Plank,The others are outfielders,
Cy Young,Walter Johnson,Johnny Evers,Grover Cleveland Alexander,Johnny Evers,The others are pitchers,
Eddie Collins,Nap Lajoie,Mordecai Brown,Ty Cobb,Mordecai Brown,The others are position players,
Lou Gehrig,Eddie Collins,Cy Young,Babe Ruth,Cy Young,The others are Yankees,
Nap Lajoie,Tris Speaker,Eddie Collins,Eddie Plank,Eddie Plank,The others are position players,
Johnny Evers,Grover Cleveland Alexander,Cy Young,Walter Johnson,Johnny Evers,The others are pitchers,
Tris Speaker,Ty Cobb,Eddie Collins,Christy Mathewson,Christy Mathewson,The others are position players.,
Frank Baker,Gavvy Cravath,Eddie Plank,Home Run Baker,Gavvy Cravath,The others are power hitters.,
Eddie Plank,Cy Young,Ty Cobb,Walter Johnson,Ty Cobb,The others are pitchers.,
Johnny Evers,Joe Tinker,Mordecai Brown,Frank Chance,Mordecai Brown,The others are infielders.,
Joe Tinker,Honus Wagner,Christy Mathewson,Johnny Evers,Christy Mathewson,The others are middle infielders.,
