obj_1,obj_2,obj_3,obj_4,odd,reason_for_similarity,valid
-1 (Integer),0 (Whole Number),1/2 (Fraction),1 (Natural Number),1/2,The others are types of numbers,
1/4 + 3/4,1/2 + 1/4,1/2 + 1/3,2/3 + 1/3,1/2 + 1/4,The others add up to 1,
"1, 1/3, 1/9, 1/27","1, 2, 4, 8","1/2, 1/4, 1/8, 1/16","1, 1/2, 1/4, 1/8","1, 2, 4, 8",The others are geometric sequences with a common ratio less than 1,
"1/3, 2/6, 3/9","1/5, 2/10, 3/15","1/2, 2/4, 3/6","1/4, 2/8, 3/12","1/5, 2/10, 3/15",The others are sets of equivalent fractions,
1/3 as a decimal,2/3 as a fraction,1/4 as a decimal,1/2 as a decimal,2/3 as a fraction,The others are fractions represented as decimals,
1/5 as a decimal is 0.2,1/2 as a decimal is 0.5,1/4 as a decimal is 0.25,1/3 as a decimal is 0.33,1/3 as a decimal is 0.33,The others are correct fraction to decimal conversions,
1/5 in decimal is 0.22,1/2 in decimal is 0.5,1/4 in decimal is 0.25,1/3 in decimal is 0.33,1/5 in decimal is 0.22,The others are correct fraction to decimal conversions,
1/4 + 1/4 = 1/2,1/5 + 4/5 = 1,1/6 + 1/6 = 1/3,1/3 + 2/3 = 1,1/6 + 1/6 = 1/3,The others are correct fraction addition problems,
π/4 radians,45 degrees,1/6 of a full turn,1/8 of a full turn,1/6 of a full turn,The others are equivalent to 45 degrees,
4^3 (Cube of a number),3^2 (Square of a number),1^2 (Square of a number),2^2 (Square of a number),4^3,The others are squares of numbers,
4^3 (Cube of a number),3^2 (Square of a number),1^2 (Square of a number),2^2 (Square of a number),4^3,The others are squares of numbers,
180/π°,57.3°,1°,1 rad,1°,The others are equal to 1 radian,
2+2,2*2,1+1,3+3,2*2,The others involve addition,
2+2,3+3,1+1,4+4,1+1,The others result in an even number,
1^2,2^1,1+1,2*1,1^2,The others equal 2,
2+2,4/4,1+1,3+3,4/4,The others are addition problems,
1+2+4,2+3+4,1+2+3,3+4+5,1+2+4,The others are consecutive sums,
3+6+9+12+15,2+4+6+8+10,1+3+5+7+9,1+2+3+4+5,1+3+5+7+9,The others are arithmetic series with common difference other than 2,
A (Number in hexadecimal),1010 (Number in binary),10 (Number in base 10),1000 (Number in base 10),1000,The others are represented in different number systems,
2 in a pair,12 in a dozen,10 in a decade,20 in a score,10 in a decade,The others are quantities greater than 10,
20 in a score,2 in a couple,10 in a decade,12 in a dozen,10 in a decade,The others are quantities greater than 10,
5*2=10,10+5=15,10-5=5,10/2=5,10+5=15,The others result in 5,
30% of 100,20% of 100,10% of 100,50% of 50,50% of 50,The others equal 20,
20% of 50,40% of 100,10% of 50,30% of 50,40% of 100,The others are percentages of 50,
40% of 80,20% of 100,10% of 50,30% of 150,40% of 80,The others are operations resulting in 10,
10^1,10^2,10^0,2^3,2^3,The others are powers of 10,
30^2=900,40^2=1600,10^2=100,20^2=400,40^2=1600,The others are correct square calculations,
10^2,1000^1/3,10^3,√100,10^3,The others are equal to 10,
A (Number in hexadecimal),1010 (Number in binary),1000 (Number in base 10),10 (Number in base 10),1000,The others are represented in different number systems,
10 (Base 10 Number),A (Hexadecimal Number),1001 (Palindrome Number),1010 (Binary Number),1001,The others are represented in different number systems,
15x,5x,10x,5y,5y,The others are multiples of x,
x^2+2x+2,5x^2+10x+3,10x^2+20x+6,2x^2+4x+1,x^2+2x+2,The others have a constant term divisible by 2,
123 (Number with three different digits),1 (Number with one digit),111 (Number with three equal digits),11 (Number with two equal digits),123,The others have all equal digits,
10 (Even Number),14 (Even Number),12 (Even Number),15 (Odd Number),15,The others are even numbers,
270°,180°,120°,90°,120°,The others are multiples of 90,
270° angle,90° angle,120° angle,180° angle,120° angle,The others are right angles or multiples of right angles,
11 (Number with two equal digits),111 (Number with three equal digits),123 (Number with three different digits),1 (Number with one digit),123,The others have all equal digits,
5*5,25+5,125/5,25/1,25+5,The others equal 25,
11 prime,7 prime,13 prime,15 composite,15 composite,The others are prime numbers,
5% of 100 = 5,20% of 100 = 25,15% of 100 = 15,10% of 100 = 10,20% of 100 = 25,The others are correct percentage calculations,
16/1,64/4,16+4,4*4,16+4,The others equal 16,
360 degree angle,45 degree angle,180 degree angle,90 degree angle,360 degree angle,The others are common angles in a triangle,
90 degrees,Pi radians,180 degrees,1 radian,90 degrees,The others equal Pi/2,
1 radian,90 degrees,180 degrees,45 degrees,1 radian,The others are in degrees,
90 degrees,360 degrees,180 degrees,270 degrees,270 degrees,The others are angles that form a straight line or a circle,
90 degrees,200 degrees,180 degrees,270 degrees,200 degrees,The others are multiples of 90,
90 degrees in a rectangle,30 degrees in a triangle,180 degrees in a straight line,360 degrees in a circle,360 degrees in a circle,The others are angles less than 180,
100 degrees angle,90 degrees right angle,180 degrees straight line,360 degrees circle,100 degrees angle,The others are standard geometric angles,
45-degree angle (Acute Angle),90-degree angle (Right Angle),180-degree angle (Straight Angle),360-degree angle (Full Rotation),45-degree angle,The others are standard angles in geometry,
360°,270°,180°,90°,360°,The others are not complete rotations,
270°,90°,180°,45°,45°,The others are multiples of 90,
90°,270°,180°,360°,360°,The others are not complete circles,
4D,3D,1D,2D,1D,The others are dimensions greater than 2,
2D,3D,1D,4D,4D,The others are commonly used dimensions in geometry,
3D,2D,1D,4D,1D,The others have more than one dimension,
Median,3rd quartile,1st quartile,Mode,Mode,The others are quartiles,
2x2,4/4,1x1,3x3,4/4,The others are multiplication problems,
4-4,2x2,1x1,3x3,4-4,The others are multiplication problems,
4 (Even Number),7 (Odd Number),2 (Even Number),6 (Even Number),7,The others are even numbers,
5 (Prime Number),3 (Prime Number),2 (Prime Number),9 (Non-Prime Number),9,The others are prime numbers,
3 (Prime Number),4 (Composite Number),2 (Prime Number),1 (Number with no prime factors),4,The others have no composite factors,
1 (Number with no prime factors),4 (Number with prime factors),2 (Prime Number),3 (Prime Number),4,The others have no prime factors,
3 (Single Digit Number),10 (Two Digit Number),2 (Single Digit Number),1 (Single Digit Number),10,The others are single digit numbers,
10 in decimal,8 in octal,2 in binary,16 in hexadecimal,16 in hexadecimal,The others are numbers in base systems less than 10,
3 in ternary,1 in unary,2 in binary,4 in quaternary,4 in quaternary,The others are numbers in base systems less than 4,
3 in ternary,1 in unary,2 in binary,4 in quaternary,4 in quaternary,The others are numbers in base systems less than 4,
"2, 3, 5, 7","3, 6, 9, 12","2, 4, 6, 8","1, 2, 3, 4","2, 3, 5, 7",The others are arithmetic sequences,
3,0!,2!,1!,3,The others are factorials,
1+2*3,48/2(9+3),2(2+2),6/2(1+2),1+2*3,The others follow the order of operations,
3+3,2+2,2*2,4+4,2*2,The others are addition problems,
5*5 = 20,4*4 = 16,2*2 = 4,3*3 = 9,5*5 = 20,The others are correct multiplication equations,
3^2,4^2,2*3,2^3,2*3,The others are exponentiations,
4^0,0^0,2^0,3^0,0^0,The others equal 1,
3^2,4^2,2^2,2x,2x,The others are squares of numbers,
4^2,5,2^2,3^2,5,The others are squares,
2^0,2^1,2^2,2^3,2^0,The others are powers of 2 greater than 0,
3^3,4^4,2^2,5^6,5^6,The others are numbers raised to their own power,
3^2,4^2,2^2,5^2,5^2,The others have even bases,
8% of 100,√8,2^3,log2(8),8% of 100,The others equal 8,
5^3,4^2,2^3,3^2,5^3,The others are squares,
4^2,3^2,2^3,5^3,5^3,The others are squares,
3^2,4^2,2^3,5^3,5^3,The others are squares,
4^2,3^2,2^3,2^2,2^2,The others are squares or cubes of their root,
3^3,4^3,2^3,5,5,The others are cube numbers,
2^2,3^2,2^3,4^2,2^3,The others are squares,
2*3,3^2,2^3,4^2,2*3,The others are exponentiations,
3^2=9,5^3=125,2^3=8,4^2=16,3^2=9,The others are correct cube calculations,
3^3,4^2,2^5,5!,5!,The others are powers of their base,
4+4,2x2,2+2,3+3,2x2,The others are sums,
4x4,1+1,2+2,3+3,4x4,The others are addition problems,
3+3,1+1,2+2,4x4,4x4,The others are addition problems,
3+3,1+1,2+2,4+4,1+1,The others have results that are even numbers,
3+3,2*2,2+2,4+4,2*2,The others are addition problems,
3+3 = 6,4+4 = 8,2+2 = 4,5+5=11,5+5=11,The others are correct arithmetic equations,
4+4=8,5+5=11,2+2=4,3+3=6,5+5=11,The others are correct arithmetic equations,
5+5=10,4+4=8,2+2=4,3+3=6,5+5=10,The others are correct arithmetic equations,
8-3,5*1,2+3,1^5,8-3,The others equal 5,
2x3,4+5,2+3,3+4,2x3,The others are sums,
5-2=3,3+2=5,2+3=5,5+0=5,5-2=3,The others result in 5,
3+3i,1+1i,2+3i,2+2i,2+3i,The others have equal real and imaginary parts,
3+2,4+3,2+4,2+3,2+4,The others have a sum of 5,
30 cm line,10 cm line,20 cm line,40 cm square,40 cm square,The others are linear measurements,
60/3,5*4,20/1,20+4,20+4,The others equal 20,
10% of 100,40% of 80,20% of 100,30% of 100,40% of 80,The others result in a multiple of 10,
5% of 100,15% of 40,20% of 25,10% of 50,15% of 40,The others are equal to 5,
30% of 50,10% of 150,20% of 40,15% of 100,20% of 40,The others result in 15,
10% of 50,30% of 50,20% of 50,40% of 100,40% of 100,The others are percentages of 50,
30-20=10,10+20=30,20+10=30,30+0=30,30-20=10,The others result in 30,
10x,10y,20x,30x,10y,The others are multiples of x,
3³,4³,2³,5,5,The others are cubes,
12 in a year,7 in a week,24 in a day,60 in an hour,60 in an hour,The others are time measurements with less than 30 units,
180 degrees,360 degrees,270 degrees,90 degrees,360 degrees,The others are not complete rotations,
45 degrees,180 degrees,270 degrees,90 degrees,45 degrees,The others are multiples of 90,
360,90°,270°,180°,360,The others are acute and obtuse angles,
3D,4D,2D,5D,5D,The others are commonly used in math and physics,
4i,3i,2i,5,5,The others are imaginary numbers,
6x,4x,2x,x^3,x^3,The others are linear equations,
4x,3x,2x,5,5,The others are algebraic expressions,
x^2,3x,2x,4x,x^2,The others are linear functions,
5,4x,2x,3x,5,The others are algebraic expressions,
0,x,2x^2,3x^3,0,The others are not zero,
1,x,2x^2,3x^3,1,The others are not constants,
3x^2,4x^5,2x^3,x^4,3x^2,The others have their exponent equal to their coefficient,
4x^3,3x^3,2x^3,2x^2,2x^2,The others are cubic equations,
2x^4,4x^4,2x^3,3x^4,2x^3,The others are quartic equations,
5x^2,3x^2,2x^3,4x^2,2x^3,The others are quadratic equations,
5x^2,4x^2,2x^3,3x^2,2x^3,The others are quadratic equations,
3x^2,2x^2,2x^3,4x^2,2x^3,The others are quadratic expressions,
4x+5y,3x+4y,2x+3y,2x+3,2x+3,The others are equations in two variables,
4x-5y=20,x^2+y^2=25,2x+3y=6,3x+2y=12,x^2+y^2=25,The others are linear equations,
4x=16,3x=9,2x=6,5x=15,5x=15,The others are correct algebraic equations,
3x3,1x1,2x2,4+4,4+4,The others are multiplication problems,
3x,2x,2y,4x,2y,The others have 'x' as variable,
3x - 1 = 8,2x + 3 = 5,2y + 5 = 7,4x + 2 = 10,2y + 5 = 7,The others are equations with x as a variable,
3x - 1 = 8,5x + 3 = 23,2y + 5 = 7,4x + 2 = 10,2y + 5 = 7,The others are equations with x as a variable,
π,π/2,2π,3π/2,π/2,The others are multiples of π,
180 degrees,360 degrees,2π,1 revolution,180 degrees,The others represent a full circle,
2πr (Circumference of a circle),πr^2 (Area of a circle),2π (360 degrees in radian),πd (Circumference of a circle),2π (360 degrees in radian),The others are formulas for circumference of a circle,
4πr²,πr²,2πr,2πr³,2πr³,The others are formulas for circle,
4/3πr^3,2πr,2πr^2,πr^2,2πr^2,The others are formulas for circles or spheres,
4πr²,2πr,2πrh,πr²,2πrh,The others are formulas for circle properties,
2πr,4πr²,2πrh,πr²,2πrh,The others are formulas for circle properties,
4πr^2 (Surface area of a sphere),πd (Circumference of a circle),2πrh (Surface area of a cylinder),4πr^2 (Surface area of a hemisphere),πd (Circumference of a circle),The others are formulas for surface area,
1 (Fibonacci Number),6 (Non-Fibonacci Number),3 (Fibonacci Number),2 (Fibonacci Number),6,The others are Fibonacci numbers,
4 (Number with prime factors),1 (Number with no prime factors),3 (Prime Number),2 (Prime Number),4,The others have no prime factors,
5 corners in a pentagon,4 corners in a square,3 corners in a triangle,6 corners in a hexagon,6 corners in a hexagon,The others are shapes with odd number of corners,
1 radian,180 degrees,3 radians,2 radians,180 degrees,The others are in radians,
6 sides in a hexagon,4 sides in a square,3 sides in a triangle,5 sides in a pentagon,6 sides in a hexagon,The others are shapes with odd number of sides,
5!,2!,3!,10!,2!,The others are greater than 10,
0!,1!,3!,2!,3!,The others equal 1,
2*3=6,1*6=6,3*2=6,6/2=3,6/2=3,The others are multiplication,
2*2,4*4,3*3,2+2,2+2,The others involve multiplication,
4*4,2*2,3*3,5*6,5*6,The others are squares of numbers,
"4^0, 4^1, 4^2, 4^3","2, 4, 6, 8","3^0, 3^1, 3^2, 3^3","2^0, 2^1, 2^2, 2^3","2, 4, 6, 8",The others are geometric sequences,
5^2,4^1,3^1,2^1,5^2,The others are operations resulting in their own value,
9!,log9(81),3^2,√9,9!,The others equal 9,
5^3,4^2,3^2,2^2,5^3,The others are squares,
5^3,4^2,3^2,2^3,5^3,The others are squares,
4^2,6^2,3^2,5^2,3^2,The others are perfect squares of even numbers,
2^1,2^2,3^2,2^0,3^2,The others are powers of 2,
4^4,2^2,3^2,3^3,3^2,The others are numbers raised to their own powers,
2^2,5^3,3^2,4^2,5^3,The others are squares,
2^3,4^2,3^2,5^2,2^3,The others are squares,
4^2,2^3,3^2,5^2,2^3,The others are squares,
2^2,1^2,3^2,4^3,4^3,The others are squares,
4^2 = 16,5^2 = 20,3^2 = 9,2^3 = 8,5^2 = 20,The others are correct exponentiation equations,
4^2=16,5^2=20,3^2=9,2^2=4,5^2=20,The others are correct exponent calculations,
27% of 100,log3(27),3^3,√27,27% of 100,The others equal 27,
5!,3!,3^3,4!,3^3,The others are factorials,
4^4,2^2,3^3,1^1,1^1,The others are numbers raised to their own power resulting in more than 1,
4^4,2^2,3^3,5^5,5^5,The others have base and exponent as the same number,
4^2 (Square of a number),1^3 (Cube of a number),3^3 (Cube of a number),2^3 (Cube of a number),4^2,The others are cubes of numbers,
3^2=9,2^3=8,3^3=27,4^2=16,3^3=27,The others are squares,
5^2=25,4^3=64,3^4=81,2^5=32,2^5=32,The others are squares and cubes,
2+2,4*1,3+1,3*1,3*1,The others sum up to 4,
2+2,1+3,3+1,2*2,2*2,The others involve addition,
2+2,5+6,3+3,4+4,5+6,The others are additions of the same numbers,
2+2,4+4i,3+3i,2+2i,2+2,The others are complex numbers,
2+2i,4+4i,3+3i,2+2,2+2,The others are complex numbers,
20+10=30,30+0=30,30-10=20,10+20=30,30-10=20,The others result in 30,
40% of 200,10% of 50,30% of 150,20% of 100,10% of 50,The others give the same result,
10% of 50,20% of 100,30% of 150,50% of 200,50% of 200,The others give the same result,
20% of 100,25% of 200,30% of 150,10% of 50,25% of 200,The others give the same result,
20% of 100 = 20,40% of 200 = 90,30% of 150 = 45,10% of 50 = 5,40% of 200 = 90,The others are correct percentage calculations,
50% of 200,25% of 50,30% of 300,25% of 100,25% of 50,The others result in 50,
10% of 100,20% of 200,30% of 300,40% of 400,10% of 100,The others are operations resulting in 60,
40% of 100,10% of 50,30% of 50,20% of 50,40% of 100,The others are percentages of 50,
50% of 10,20% of 50,30% of 50,10% of 50,50% of 10,The others are percentages of 50,
4²,5³,3²,2²,5³,The others are squares of numbers,
5²,6,3²,4²,6,The others are squares,
100% in a whole,50% in a half,33.33% in a third,25% in a quarter,33.33% in a third,The others are percentages that are multiples of 25,
75% of 33.33,25% of 100,33.33% of 75,50% of 50,75% of 33.33,The others result in 25,
45 degree angle,90 degree angle,360 degree angle,180 degree angle,360 degree angle,The others are angles less than 180,
180 degrees,1 full turn,360 degrees,2π,180 degrees,The others are a full circle,
90°,270°,360°,180°,360°,The others are not complete rotations,
90° complementary angle,180° supplementary angle,360° full angle,45° acute angle,45° acute angle,The others are angles greater than 90°,
90° in a right angle,180° in a triangle,360° in a circle,180° in a straight line,180° in a straight line,The others are maximum degrees in shapes,
4D,1D,3D,2D,1D,The others have more than one dimension,
2D,4D,3D,1D,1D,The others have more than one dimension,
4D,2D,3D,1D,4D,The others are commonly used dimensions,
2D circle,3D cone,3D sphere,2D square,2D square,The others are 3D shapes,
2y,4x,3x,2x,2y,The others are multiples of x,
5x + 2 = 7,x^2 + 3 = 7,3x - 2 = 7,2x + 3 = 7,x^2 + 3 = 7,The others are linear equations,
x^2=4,5x=5,3x-1=5,2x+3=5,x^2=4,The others have x=1,
x^2+y^2=1,4x+3y=7,3x-2y=4,2x+3y=6,x^2+y^2=1,The others are linear equations,
4x^2,2x,3x^2,2x^2,2x,The others are quadratic equations,
2x^2,2x^3,3x^2,4x^2,2x^3,The others are quadratic expressions,
4x^2,2x^3,3x^2,5x^2,2x^3,The others are quadratic equations,
4x^2,2x^2,3x^2,5x,5x,The others are quadratic expressions,
5x^2+3=28,4x+3=11,3x+2=8,2x+3=5,5x^2+3=28,The others are linear equations,
5x^2+3=28,4x+3=11,3x+2=8,2x+3=5,5x^2+3=28,The others are linear equations,
2x+3=7,5x+0=9,3x+2=8,4x+1=9,5x+0=9,The others have a constant addition,
x^2+y^2=25,3x+2y=6,3x+2y=12,4x-5y=20,x^2+y^2=25,The others are linear equations,
3x+2y=12,x^2+y^2=25,3x+2y=6,4x-5y=20,x^2+y^2=25,The others are linear equations,
2x+3y=6,5x+y=5,3x+2y=6,4x+y=4,4x+y=4,The others are systems of equations with two variables,
4-4,1x1,3x3,2x2,4-4,The others are multiplication problems,
π,4,3π,2π,4,The others are multiples of π,
2π,π,3π,4,4,The others are multiples of π,
π,π/2,3π/2,2π,π/2,The others are multiples of π,
3 (Prime Number),2 (Prime Number),4 (Composite Number),5 (Prime Number),4,The others are prime numbers,
5 (Prime Number),3 (Prime Number),4 (Composite Number),2 (Prime Number),4,The others are prime numbers,
5 corners in a pentagon,3 corners in a triangle,4 corners in a square,6 corners in a hexagon,6 corners in a hexagon,The others are shapes with odd number of corners,
5-4 = 2,2-1 = 1,4-3 = 1,3-2 = 1,5-4 = 2,The others are correct subtraction equations,
"2, 4, 6, 8","3, 6, 9, 12","4, 8, 16, 32","1, 2, 3, 4","4, 8, 16, 32",The others are arithmetic sequences,
3!,6^2,4!,5!,6^2,The others are factorials,
4^1,√4,4^0,2^2,4^0,The others equal 4,
3^0 * 3^1 * 3^2 * 3^3,2^0 * 2^1 * 2^2 * 2^3,4^0 * 4^1 * 4^2 * 4^3,2 * 4 * 6 * 8,2 * 4 * 6 * 8,The others are products of geometric sequences,
5^2,3^2,4^2,2^3,2^3,The others are square numbers,
5^2,2^3,4^2,6^2,2^3,The others are square numbers,
3^3,5^2,4^2,3^2,3^3,The others are perfect squares,
5^2,6^3,4^2,3^2,6^3,The others are squares,
3^2,5^2,4^2,6^3,6^3,The others are squares,
5!,4!,4^2,3!,4^2,The others are factorials,
2^2 = 4,3^2 = 9,4^2 = 16,5^2 = 20,5^2 = 20,The others are correct exponentiation equations,
2^3=8,3^2=9,4^2=16,2^2=4,2^3=8,The others are squares,
5,3^3,4^3,2^3,5,The others are cubes,
2^2 (Square of a number),3^2 (Square of a number),4^3 (Cube of a number),1^2 (Square of a number),4^3,The others are squares of numbers,
2^5=31,5^2=25,4^3=64,3^4=81,2^5=31,The others are squares and cubes,
2^4,3^4,4^4,5^2,5^2,The others are powers of 4,
2^2,5^5,4^4,3^3,2^2,The others are numbers raised to their own power resulting in more than 4,
3^3,2^2,4^4,2*2,2*2,The others are numbers raised to their own power,
2+2,5+5,4+4,3+3,5+5,The others have duplicate addends,
2+2=4,5+5=11,4+4=8,3+3=6,5+5=11,The others are correct arithmetic equations,
6+6i,2+2i,4+4i,2+4i,2+4i,The others have equal real and imaginary parts,
2x4,3+5,4+6,2+4,2x4,The others are sums,
30% of 150,10% of 50,40% of 250,20% of 100,40% of 250,The others give the same result,
30% of 600,10% of 200,40% of 800,20% of 400,10% of 200,The others are operations resulting in 80,
90 degrees,60 degrees,45 degrees,30 degrees,90 degrees,The others are angles of a 30-60-90 triangle,
15/1,5*3,45/3,15+3,15+3,The others equal 15,
180°,90°,45°,360°,360°,The others are angles of a triangle,
120°,π/2 rad,45°,2π/3 rad,π/2 rad,The others are equal to 120°,
120°,π/2 rad,45°,2π/3 rad,45°,The others equal 120°,
360°,90°,45°,180°,45°,The others are angles that can form a circle,
90° complementary angle,360° full angle,45° acute angle,180° supplementary angle,45° acute angle,The others are angles greater than 90°,
3D,2D,4D,1D,1D,The others have more than one dimension,
2D,1D,4D,3D,4D,The others represent dimensions that are commonly used in geometry,
3D,2D,4D,1D,1D,The others have more than one dimension,
2x,x^2,4x,3x,x^2,The others are linear equations,
5,2x^3,4x,3x^2,5,The others are not constants,
2y,3x,4x,2x,2y,The others are in terms of x,
3x,2x,4x,2y,2y,The others are in terms of x,
2x,3x,4x,5x,2x,The others are multiples of x greater than 2,
2x,3x,4x,5,5,The others are algebraic expressions,
2x + 3 = 5,2y + 5 = 7,4x + 2 = 10,3x - 1 = 8,2y + 5 = 7,The others are linear equations in one variable,
3x = 6,2x = 4,4x = 8,x = 2,x = 2,The others are in the form of ax = b,
x^2+4x+4=0,2x+7=9,4x-1=7,5x+3=8,x^2+4x+4=0,The others are linear equations,
2x,3x^2,4x^2,5x^2,2x,The others are quadratic terms,
3x^2,2x,4x^2,5x^2,2x,The others are quadratic terms,
5x,3x^3,4x^4,2x^2,5x,The others have their exponent equal to their coefficient,
3x+2=8,2x+3=7,4x+1=9,5x+5=15,5x+5=15,The others are correct linear equations,
5x-3 = 20,2x+3 = 7,4x+2 = 14,3x-1 = 8,5x-3 = 20,The others are correct linear equations,
2x-3y=4,x^2-y^2=1,4x+2y=8,3x+2y=6,x^2-y^2=1,The others are linear equations,
3x+4,2x^2+3,4x+5,2x+3,2x^2+3,The others are linear equations,
3x+6=12,2x+5=10,4x+8=16,5x+10=20,5x+10=20,The others have solutions that are even numbers,
3x=15,5x=30,4x=20,2x=10,5x=30,The others result in x=5,
2x=4,5x=10,4x=8,3x=6,5x=10,The others are correct algebraic equations,
2πr,πr^2,4πr^2,2πr^2,2πr^2,The others are formulas for circle,
4 sides square,3 sides triangle,5 sides pentagon,6 sides hexagon,3 sides triangle,The others have more than 4 sides,
3 vertices in a triangle,4 vertices in a square,5 vertices in a pentagon,6 vertices in a hexagon,6 vertices in a hexagon,The others are shapes with odd number of vertices,
3-4-5 triangle,7-24-25 triangle,5-12-13 triangle,3-4-7 triangle,3-4-7 triangle,The others are Pythagorean triples,
2+3=5,3+2=5,5-3=2,5+0=5,5-3=2,The others result in 5,
"12, 24, 36, 48","2, 4, 8, 16","5, 10, 15, 20","3, 6, 9, 12","2, 4, 8, 16",The others are arithmetic sequences,
log5(25),√25,5!,5^2,5!,The others equal 25,
6,3!,5!,4!,6,The others are factorials,
7,4!,5!,6!,7,The others are factorials,
4!,3!,5!,5^3,5^3,The others are factorials,
4!,3!,5!,5^2,5^2,The others are factorials,
5^2,4!,5!,3!,5^2,The others are factorials,
7!,6!,5!,8^2,8^2,The others are factorials,
6^2,3!,5!,4!,6^2,The others are factorials,
8,6!,5!,7!,8,The others are factorials,
6!,8,5!,7!,8,The others are factorials,
5^2,3! (factorial),5! (factorial),4! (factorial),5^2,The others are factorials,
