"obj_1","obj_2","obj_3","obj_4","odd","reason_for_similarity"
"Angelfish","Goldfish","Guppy","Seahorse","Seahorse","The others are freshwater fish"
"Lemur, Monkey, Ape, Kangaroo, Kangaroo, The others are primates.",,,,,
"Lobster","Crab","Shrimp","Squid","Squid","The others have claws."
"Lavender","Rosemary","Basil","Sunflower","Sunflower","The others are herbs"
"Moth","Butterfly","Bee","Dragonfly","Dragonfly","The others are Lepidoptera."
"Iguana, Chameleon, Snake, Frog, Frog, The others are reptiles.",,,,,
"Basilisk, Gecko, Salamander, Komodo Dragon, Komodo Dragon, The others are mythological creatures.",,,,,
"Tarantula","Black Widow","Scorpion","Cobra","Cobra","The others are arachnids."
"Barracuda","Eel","Dolphin","Penguin","Penguin","The others are fish"
"Squid","Octopus","Lobster","Crab","Lobster","The others are Cephalopods"
"Kiwi","Emu","Parrot","Apple","Apple","The others are birds"
"Amethyst","Citrine","Ruby","Pearl","Pearl","The others are types of quartz."
"Bison","Buffalo","Antelope","Elk","Elk","The others are bovines."
"Chimpanzee","Gorilla","Orangutan","Dolphin","Dolphin","The others are primates"
"Maple","Birch","Palm","Fern","Fern","The others are trees that produce wood"
"Leek","Shallot","Carrot","Potato","Potato","The others are part of the Allium genus"
"Heron","Goose","Eagle","Bat","Bat","The others are birds"
"Viola","Double Bass","Flute","Saxophone","Flute","The others are string instruments"
"Saturn","Jupiter","Venus","Mars","Venus","The others are gas giants"
"Battleship, Risk, Skip-Bo, Monopoly, Skip-Bo, The others are war strategy games.",,,,,
"Crayon","Pastel","Glue","Pencil","Glue","The others are used for drawing."
"Hamster","Mouse","Canary","Dolphin","Dolphin","The others are small terrestrial mammals"
"Ladle","Skimmer","Peeler","Knife","Knife","The others are used for serving food."
"Tablet, Smartwatch, Laptop, Toaster, Toaster, The others are portable devices.",,,,,
"Frost","Dew","Wind","Flame","Flame","The others are forms of condensation."
"Coat, Hoodie, Gloves, Boots, Boots, The others are worn on the upper body.",,,,,
"obj_3: Garlic",,,,,
"obj_4: Potato",,,,,
"odd: Potato",,,,,
"reason_for_similarity: The others are nightshades.",,,,,
"Rhodium","Iridium","Zinc","Aluminum","Zinc","The others are precious metals."
"Osprey","Condor","Peacock","Penguin","Peacock","The others are birds of prey"
"Yogurt","Sour Cream","Jam","Cheese","Jam","The others are dairy products"
"Maple","Birch","Palm","Oak","Palm","The others are deciduous trees"
"Viola","Double Bass","Flute","Clarinet","Flute","The others are string instruments"
"Tram","Trolley","Plane","Submarine","Submarine","The others are transportation means that operate above ground."
"Battleship","Risk","Solitaire","Chess","Solitaire","The others are board games"
"Crayon","Pastel","Pencil","Ruler","Ruler","The others are used for coloring."
"Latte","Mocha","Espresso","Soda","Soda","The others are types of coffee"
"Hamster","Gerbil","Canary","Python","Python","The others are small mammals"
"Wardrobe","Cupboard","Bookshelf","Clock","Clock","The others are furniture used for storage"
"Frost","Dew","Wind","Rain","Wind","The others are forms of condensation"
"Coat","Hoodie","Gloves","Shoes","Shoes","The others are worn on the upper body"
"Eggplant","Bell Pepper","Radish","Strawberry","Strawberry","The others are vegetables."
"Owl","Falcon","Peacock","Penguin","Penguin","The others are capable of flight"
"Yogurt","Sour Cream","Honey","Jam","Jam","The others are fermented"
"Maple, Birch, Palm, Pine, Palm, The others are deciduous trees.",,,,,
"Heron","Stork","Eagle","Parrot","Parrot","The others are wading birds"
"Viola","Double Bass","Flute","Trumpet","Flute","The others are string instruments"
"Saturn","Jupiter","Pluto","Sun","Pluto","The others are gas giants"
"Battleship","Risk","Solitaire","Chess","Solitaire","The others are war strategy games"
"obj_3: Hot Chocolate",,,,,
"obj_4: Green Tea",,,,,
"odd: Green Tea",,,,,
"reason_for_similarity: The others are made with milk.",,,,,
"Carnation","Marigold","Ivy","Orchid","Ivy","The others are annual plants"
"Hamster","Mouse","Canary","Elephant","Elephant","The others are small pets"
"Wardrobe, Cupboard, Bookshelf, Rug, Rug, The others are furniture for storage.",,,,,
"Tablet","Smartwatch","Toaster","Laptop","Toaster","The others are portable devices"
"Frost","Ice","Mist","Steam","Steam","The others are forms of water in solid or liquid state."
"Owl","Hawk","Kiwi","Penguin","Kiwi","The others can fly."
"Yogurt","Sour Cream","Jam","Cheese","Jam","The others are dairy products"
