obj_name,img_link,obj_image_name,obj_name_alt,obj_name_ext
Green Lantern,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/ee561fad-1bd0-4bee-29e4-8cc8df642300/public,green_lantern,Image of green_lantern,green_lantern.png
Wilbur Wright,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/c05fcaf3-710f-45d1-a682-8f9146c32c00/public,wilbur_wright,Image of wilbur_wright,wilbur_wright.png
Dwight D. Eisenhower,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/9cb2f2ac-bb7e-4dfd-1705-bd9bf3828500/public,dwight_d__eisenhower,Image of dwight_d__eisenhower,dwight_d__eisenhower.png
Thanos,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/930a79ac-06ee-4b44-6cca-e67b51f65400/public,thanos,Image of thanos,thanos.png
Marjoram,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/cb83f5e5-b1b1-426d-bd13-6715d2c35600/public,marjoram,Image of marjoram,marjoram.png
Spiderman,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/b0e326dd-1a81-47ea-972e-839d6213b500/public,spiderman,Image of spiderman,spiderman.png
Ant,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/36a007ae-7463-40bd-5171-43961cc08200/public,ant,Image of ant,ant.png
Quicksilver,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/2d104996-f4b4-4eab-b2ff-50dce5f47000/public,quicksilver,Image of quicksilver,quicksilver.png
Parsley,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/9aa8786c-cb48-4d49-6353-0bb2cba40800/public,parsley,Image of parsley,parsley.png
Ulna,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/fd0ff1bd-74b0-44f2-349b-54ef2c33aa00/public,ulna,Image of ulna,ulna.png
Silver (metal),https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/72c687dc-43a5-4323-6104-3c2372ab9600/public,silver__metal_,Image of silver__metal_,silver__metal_.webp
Thunderstorm,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/70fa90ed-a533-47f6-8ed9-6a64e9ae6a00/public,thunderstorm,Image of thunderstorm,thunderstorm.png
Iron,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/bc64de64-2ca0-4a1f-5bb8-457290c53600/public,iron,Image of iron,iron.webp
Chalk,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/2339ebc9-3cf7-4f15-c12e-096864c46400/public,chalk,Image of chalk,chalk.png
Hanbok,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/aa4af45b-282e-4a8e-e823-d48b11cc3e00/public,hanbok,Image of hanbok,hanbok.png
Gulf Stream,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/43c7157c-2e8c-489d-1736-8adc473e7a00/public,gulf_stream,Image of gulf_stream,gulf_stream.png
Light Bulb,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/7663bc8c-7888-45aa-bf62-5026aab86e00/public,light_bulb,Image of light_bulb,light_bulb.png
Orchid,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/81d60e11-854c-4d70-6b7e-7c592a7f3f00/public,orchid,Image of orchid,orchid.png
Cactus,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/968b8fea-4ef9-4420-10a9-39f25cf85b00/public,cactus,Image of cactus,cactus.png
Rhyolite,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/dd9e8c1e-88d5-45f8-4f0d-7f6113de9500/public,rhyolite,Image of rhyolite,rhyolite.png
Coconut,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/3ec1d638-b628-4cd4-8d54-bd756d92a500/public,coconut,Image of coconut,coconut.webp
Brachiosaurus,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/2ca8a054-99b7-4d56-3114-70569daa0500/public,brachiosaurus,Image of brachiosaurus,brachiosaurus.png
Charles Darwin,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/c72ea566-bfbb-4da7-2b81-9eb085468800/public,charles_darwin,Image of charles_darwin,charles_darwin.png
Scallions,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/4e9cedfe-09d0-4c74-7ec5-524b7c776200/public,scallions,Image of scallions,scallions.png
Zorbing,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/b5220c58-1a97-4caf-1e2a-1792c687d300/public,zorbing,Image of zorbing,zorbing.png
Transcription,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/b6c8afac-7a38-42ac-579d-14e9a5194f00/public,transcription,Image of transcription,transcription.png
Malta,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/3f39464b-6371-4b90-157e-287f7c647400/public,malta,Image of malta,malta.png
Lipid,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/add52338-aff3-448f-740f-dac445ba6600/public,lipid,Image of lipid,lipid.png
Black Pudding,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/cc53d5e3-cdf0-4022-fac9-fb8c89e4fe00/public,black_pudding,Image of black_pudding,black_pudding.png
Marigold,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/487cbe38-2eba-43bd-0a10-920cc81b7100/public,marigold,Image of marigold,marigold.png
Sandstone,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/1ed02fbf-130a-43a0-8ec3-ea2981228500/public,sandstone,Image of sandstone,sandstone.png
Tiger,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/d8de5524-3236-41ea-97cb-d5ade6248d00/public,tiger,Image of tiger,tiger.png
Alain Ducasse,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/3b8292c2-efaf-4e01-adb9-d83ff4c76a00/public,alain_ducasse,Image of alain_ducasse,alain_ducasse.png
Pigeon,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/60d0fc34-5eb8-4c32-b207-9d0cc3981700/public,pigeon,Image of pigeon,pigeon.png
Poaching,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/c3930c42-01b9-499e-37c7-ddd3c5584500/public,poaching,Image of poaching,poaching.webp
Phosphorus,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/8c690db4-af1c-47be-706c-317a83f71d00/public,phosphorus,Image of phosphorus,phosphorus.png
Mars,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/dfa3367d-70e0-4fa5-b53b-72be05273200/public,mars,Image of mars,mars.png
Sibylline Oracle,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/a407ab97-f41b-4d0f-25f4-902615b15400/public,sibylline_oracle,Image of sibylline_oracle,sibylline_oracle.png
Palm,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/306f55d4-23d7-4a05-90d1-91845a7c7700/public,palm,Image of palm,palm.png
Osiris,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/bab3304c-ea1c-4355-4c39-404324ccce00/public,osiris,Image of osiris,osiris.png
Champagne,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/c1dcf7be-f5ed-4bba-90eb-720d0bd7ba00/public,champagne,Image of champagne,champagne.png
Bach,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/fbb4993e-0dff-4090-0629-5dde6187c800/public,bach,Image of bach,bach.png
Pulsar,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/142303f1-1900-4305-6e70-6ad52dd8e000/public,pulsar,Image of pulsar,pulsar.png
Ahmed Zewail,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/faaaf0ff-824c-4c09-fa32-b8b46a039b00/public,ahmed_zewail,Image of ahmed_zewail,ahmed_zewail.webp
Birch,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/a1310bef-feba-49ca-1e49-507d69fd1c00/public,birch,Image of birch,birch.webp
Storm,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/261987e9-c17f-4769-6ca1-63c3084cfc00/public,storm,Image of storm,storm.png
Dante,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/8c40f2a5-9bef-490a-8b33-fa45d31bf200/public,dante,Image of dante,dante.png
Avenue Montaigne,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/8b43211a-58b3-468f-57c0-1d2315342b00/public,avenue_montaigne,Image of avenue_montaigne,avenue_montaigne.png
Cicero,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/89dc1669-4ce3-453b-644c-47c07b2bad00/public,cicero,Image of cicero,cicero.png
Pteranodon,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/5a4f7e39-57a2-4920-177a-b1a876e3cc00/public,pteranodon,Image of pteranodon,pteranodon.png
Sparrow,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/264aa798-7389-4dc1-5edd-c15a065c9800/public,sparrow,Image of sparrow,sparrow.png
Tyrannosaurus Rex,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/48433dd3-da71-48ec-6f56-427fc30d8b00/public,tyrannosaurus_rex,Image of tyrannosaurus_rex,tyrannosaurus_rex.png
Tehran,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/e68eb31d-b28e-40d7-e6c3-0d96a700da00/public,tehran,Image of tehran,tehran.png
AT-AT (All Terrain Armored Transport),https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/c2439080-ed96-47bf-c65b-b3bd521de600/public,at_at__all_terrain_armored_transport_,Image of at_at__all_terrain_armored_transport_,at_at__all_terrain_armored_transport_.png
Daredevil,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/f36997f2-3614-4acb-efa5-8b2690cee400/public,daredevil,Image of daredevil,daredevil.png
Cotton Gin,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/51b63e47-d1c9-441c-4085-f82822e20f00/public,cotton_gin,Image of cotton_gin,cotton_gin.png
Sputnik Launch,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/5fac331a-24c2-4001-8acc-ecdf088d2100/public,sputnik_launch,Image of sputnik_launch,sputnik_launch.png
Fyodor Dostoevsky,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/41d6a872-02e4-40e2-7ee9-10f8d7d49b00/public,fyodor_dostoevsky,Image of fyodor_dostoevsky,fyodor_dostoevsky.png
Mona Lisa,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/07b679ae-c7d6-4e84-9337-cbf4f719cc00/public,mona_lisa,Image of mona_lisa,mona_lisa.png
Kepler-22b,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/5cd425be-f158-4412-eff3-8a5a2b0ab100/public,kepler_22b,Image of kepler_22b,kepler_22b.webp
Gandalf,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/8d0ae8e0-9708-41e9-ca2f-367ee90c5600/public,gandalf,Image of gandalf,gandalf.png
Owl,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/c0776fb6-3d66-4aa4-d830-199f53664200/public,owl,Image of owl,owl.png
Probus,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/4565bcd9-0935-4efc-331f-c2e328390600/public,probus,Image of probus,probus.png
Nirvana,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/853bee56-ab26-4f43-5524-e93030f6ed00/public,nirvana,Image of nirvana,nirvana.png
Mickey Mouse,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/dab76388-e05b-434d-d550-9cbd453adb00/public,mickey_mouse,Image of mickey_mouse,mickey_mouse.png
George Frideric Handel,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/3bee7dc2-c0c7-4ab9-4fc0-cf3c9771bb00/public,george_frideric_handel,Image of handel,handel.png
Knight,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/68c80ad9-105d-470e-0213-434085d41200/public,knight,Image of knight,knight.png
Balance Beam,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/dddc7cc4-6fee-4ce0-1e62-bc7ea7525a00/public,balance_beam,Image of balance_beam,balance_beam.png
Fort McHenry,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/c73e162a-ec8e-49dd-4fa3-b03aa9c2fc00/public,fort_mchenry,Image of fort_mchenry,fort_mchenry.png
Bessemer Process,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/f42ad8c8-03a4-4558-1bcc-6b2e0b780800/public,bessemer_process,Image of bessemer_process,bessemer_process.png
Churros,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/fa0c891d-7470-4014-143e-0a07ea7cde00/public,churros,Image of churros,churros.png
Gothic Column,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/5ece8052-86e8-44a3-c645-cb0a91423600/public,gothic_column,Image of gothic_column,gothic_column.png
Romulus,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/4438442e-c609-411b-b768-b301ed4ebb00/public,romulus,Image of romulus,romulus.png
Madagascar,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/d967249a-f2c6-4fb0-adc4-0e11ae061000/public,madagascar,Image of madagascar,madagascar.png
Achilles,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/6d73465f-d6e4-4752-885e-614bd550d200/public,achilles,Image of achilles,achilles.png
Black Sabbath,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/dca07741-01ed-4f63-b385-4168c8b21e00/public,black_sabbath,Image of black_sabbath,black_sabbath.png
The Behistun Inscription,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/6bd578a9-d76d-4de4-301a-7ece6c0ea300/public,the_behistun_inscription,Image of the_behistun_inscription,the_behistun_inscription.png
The Lewis Chessmen,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/f54ed890-578b-4e75-fd7e-32dea63f9700/public,the_lewis_chessmen,Image of the_lewis_chessmen,the_lewis_chessmen.png
Mint,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/64db2e8a-17d1-45c5-5f3b-4b09401d4700/public,mint,Image of mint,mint.png
Bird,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/286f6365-2179-4ca2-0211-a079e7dca900/public,bird,Image of bird,bird.png
Souvlaki,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/09ed544f-c253-45f3-d5d7-c0e23dd27e00/public,souvlaki,Image of souvlaki,souvlaki.png
Proxima Centauri,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/8683a561-bce1-4689-1fba-a921fdcd0a00/public,proxima_centauri,Image of proxima_centauri,proxima_centauri.png
Europe,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/8cc47e27-0f28-40e5-a1e9-42fb97b3c700/public,europe,Image of europe,europe.png
Anemometer,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/cc4c1e70-4b6c-4edc-2ee1-31a0bbc2a000/public,anemometer,Image of anemometer,anemometer.png
Eiffel Tower,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/78ee5ca1-004e-4a32-8722-2b5206548e00/public,eiffel_tower,Image of eiffel_tower,eiffel_tower.png
Aloe Vera,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/e08d89cd-49f0-416b-e175-249e999caa00/public,aloe_vera,Image of aloe_vera,aloe_vera.png
50%,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/8fcfd0d2-883b-4b0d-7b9e-66e80c077000/public,50_,Image of 50_,50_.png
12.50%,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/012b1175-9fa5-4ad2-1998-b6e8812e3400/public,12_50_,Image of 12_50_,12_50_.png
10%,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/43ec5c38-bbe6-4eb3-05c8-0b429dbb0f00/public,10_,Image of 10_,10_.png
0.5,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/941ea3e7-9b7b-443f-8e4e-471065876000/public,0_5,Image of 0_5,0_5.png
3.14,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/e8701d4c-9d20-4587-d1c9-cf2124606a00/public,3_14,Image of 3_14,3_14.png
6,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/f3d8d81c-9be8-4c5e-fee6-ffc06392a300/public,6,Image of 6,6.png
3,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/002f342a-9fd4-46e0-e29c-104f33f9d500/public,3,Image of 3,3.png
4,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/87762082-d5cd-45db-b4b3-3ba668372500/public,4,Image of 4,4.png
81,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/e3170d88-2ecc-4d82-3113-06edc731f100/public,81,Image of 81,81.png
48,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/b9797f19-89f3-472b-722a-5956e28b6e00/public,48,Image of 48,48.png
9,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/4c62b4af-69ab-4878-ca61-02763b16fb00/public,9,Image of 9,9.png
121,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/c1d7a304-c688-4435-5601-6018cb9ae500/public,121,Image of 121,121.png
143,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/f27f8677-1bcf-4a66-6622-38e53363b300/public,143,Image of 143,143.png
61,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/e5d74fde-41b7-46b0-329b-b422c48aad00/public,61,Image of 61,61.png
2/3,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/1e9a21b2-cf60-4633-4a30-bb834f85d700/public,2_3,Image of 2_3,2_3.png
2/4,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/4bab8e4f-2729-459d-37cd-8b7d1ebd1900/public,2_4,Image of 2_4,2_4.png
1/3,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/83456756-dfae-4598-b42c-e7870521f500/public,1_3,Image of 1_3,1_3.png
1/2,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/7506de3e-6226-4f72-acd6-36945d908d00/public,1_2,Image of 1_2,1_2.png
2*2,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/ec6d66a1-757a-4b6b-203f-cb3709f81500/public,2_times_2,Image of 2_times_2,2_times_2.png
5/6,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/aebab5f0-3de6-4db5-6100-4e5e4ad14500/public,5_6,Image of 5_6,5_6.png
8/10,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/b793784e-4c45-4486-6035-31cda8cc2400/public,8_10,Image of 8_10,8_10.png
7/2,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/f46dcb00-da3e-40c6-e80b-8b84f1a9e700/public,7_2,Image of 7_2,7_2.png
√9,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/95f8afa1-ee96-47cf-0fdc-239580240d00/public,_9,Image of _9,_9.png
√2,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/a4c09e64-2712-4d48-8e73-ecb1bc517900/public,_2,Image of _2,_2.png
1/5*50,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/1102c2c6-c7cd-4750-0133-c5aa930b7300/public,1_5_50,Image of 1_5_50,1_5_50.png
π/4 radians,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/af615ac2-b1c3-4f69-986a-c989814a0a00/public,__4_radians,Image of __4_radians,__4_radians.png
1^2,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/2ca725a6-3f77-4c41-c5f3-4b5c13726c00/public,1_expo_2,Image of 1_expo_2,1_expo_2.png
30% of 100,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/56a9c8b5-3d15-4da4-5f8c-936aebfa1d00/public,30__of_100,Image of 30__of_100,30__of_100.png
3-4-5 triangle,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/1ffa7d12-c4ac-4d87-b459-03f6423a4a00/public,3_4_5_triangle,Image of 3_4_5_triangle,3_4_5_triangle.png
Oval,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/8e8a8dff-9eef-47f2-ffcc-9ae37fc0d300/public,oval,Image of oval,oval.png
Hexagon,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/211fc1b2-5d9d-4cda-94a9-ce2806a99f00/public,hexagon,Image of hexagon,hexagon.png
3^2,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/dbcf564a-4db6-4fec-0e2d-c00e059f2300/public,3_2,Image of 3_2,3_2.png
386,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/971da090-68ba-4d50-3f44-497a7724da00/public,386,Image of 386,386.png
390,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/d66d2a8f-58cf-4ef9-a8a3-e2d8d6e04300/public,390,Image of 390,390.png
985,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/68a8a7b3-04f3-41ab-3f14-b7b23b1bff00/public,985,Image of 985,985.png
201,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/71aae756-6ea6-42ce-6f81-9ce03a037f00/public,201,Image of 201,201.png
Tan(45),https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/2aa0ea18-91c2-4f26-fe37-89d04017a200/public,tan_45_,Image of tan_45_,tan_45_.png
Friction,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/55e74bde-9159-4955-0004-4fe928d11300/public,friction,Image of friction,friction.png
Drawbridge,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/73eb8fb7-9179-40c9-5b36-0bc41ef9cb00/public,drawbridge,Image of drawbridge,drawbridge.png
Himalayas,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/714ebe45-cc23-4c3d-4bb1-0171241d8900/public,himalayas,Image of himalayas,himalayas.png
William Shakespeare,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/bd829af0-5f5e-4ef0-d0e9-9d3d2781d200/public,william_shakespeare,Image of william_shakespeare,william_shakespeare.png
Woodrow Wilson,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/c54ab4aa-abff-4fe9-1c40-4e66c17a5800/public,woodrow_wilson,Image of woodrow_wilson,woodrow_wilson.png
Ankh,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/7f1fe202-01a8-43a2-a415-13f4ec0c6500/public,ankh,Image of ankh,ankh.png
Falconry,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/b1df726a-58ef-4071-71ea-ab2f380d0600/public,falconry,Image of falconry,falconry.png
