"obj_1","obj_2","obj_3","obj_4","odd","reason_for_similarity"
"reason_for_similarity: The others are made of glass or ceramic.",,,,,
"Marc Maron","Adam Sandler","George Lopez","Steve Martin","Steve Martin","The others are Jewish"
"obj_3: Panda Bear",,,,,
"obj_4: Koala",,,,,
"odd: Koala",,,,,
"reason_for_similarity: The others are true bears.",,,,,
"Mike Tyson","Muhammad Ali","David Beckham","Tom Brady","Tom Brady","The others are professional boxers"
"Bushmaster","Fer-de-lance","Python","Mamba","Mamba","The others are non-venomous snakes."
"Gyrfalcon","Peregrine Falcon","Bald Eagle","Red Kite","Red Kite","The others are Falcons."
"Northern Harrier","White-tailed Hawk","Ferruginous Hawk","Red-shouldered Hawk","Red-shouldered Hawk","The others are birds of the open country"
"Dolphin Skin","Dolphin Blubber","Dolphin Fin","Shark Fin","Shark Fin","The others are from Dolphin"
"Saw-scaled Viper","Russell's Viper","Boa Constrictor","Eastern Coral Snake","Eastern Coral Snake","The others are Vipers"
"1968 Ford Mustang GT","1968 Dodge Charger R/T","1968 Chevrolet Camaro SS","1968 Volkswagen Beetle","1968 Volkswagen Beetle","The others are American muscle cars."
"Peregrine Falcon","Kestrel","Osprey","Bald Eagle","Bald Eagle","The others are not the national bird of any country"
"Harpy Eagle","Philippine Eagle","White-tailed Eagle","Peregrine Falcon","Peregrine Falcon","The others are eagles."
"Maradona","Pelé","Michael Jordan","Michael Schumacher","Michael Schumacher","The others are former football players."
"Autographed Baseball, Signed Jersey, Autographed Football, Handwritten Letter, Handwritten Letter, The others are signed sports memorabilia.",,,,,
"African Dwarf Frog","African Clawed Frog","American Green Tree Frog","European Tree Frog","European Tree Frog","The others are from Africa"
"Dolphin Play","Dolphin Hunt","Dolphin Fly","Dolphin Jump","Dolphin Fly","The others are physical actions dolphins perform."
"Rufous Owl","Masked Owl","Barn Owl","Snowy Owl","Snowy Owl","The others are nocturnal"
"Silvertip Shark, Lemon Shark, Cookiecutter Shark, Great White Shark, Great White Shark, The others are bioluminescent.",,,,,
"Firefly","Star Trek","The Wheel of Time","The Hobbit","The Hobbit","The others are television series"
"Goji Berries","Blueberries","Quinoa","Almonds","Quinoa","The others are berries"
"Othello","King Lear","The Tempest","A Midsummer Night's Dream","A Midsummer Night's Dream","The others are tragedies."
"Cooper's Hawk","Sharp-shinned Hawk","Swainson's Hawk","Red-tailed Hawk","Red-tailed Hawk","The others are Accipiter Hawks"
"Cetirizine","Loratadine","Vitamin B2","Ibuprofen","Ibuprofen","The others are antihistamines"
"Philly Shell","Peek-a-Boo","Brawler","Out-Boxer","Out-Boxer","The others are defensive boxing styles."
"Dorian Mode","Phrygian Mode","Harmonic Major Scale","Mixolydian Mode","Harmonic Major Scale","The others are modes of the diatonic scale"
"Passover","Shavuot","Hanukkah","Sabbath","Sabbath","The others are Jewish holidays commemorating historical events."
"Brownie","Cupcake","Donut","Bagel","Bagel","The others are desserts"
"Blueberry","Huckleberry","Raspberry","Tomato","Tomato","The others are berries"
"Satellite Cell","Myoblast","Adipocyte","Neuron","Neuron","The others are types of cells involved in muscle formation and maintenance."
"Bacchus","Ceres","Neptune","Jupiter","Jupiter","The others are names of asteroids."
"Columbia University","Brown University","University of California","Harvard College","Harvard College","The others are Ivy League schools."
"Machu Picchu","Pompeii Ruins","Venus of Willendorf","Pyramids of Giza","Venus of Willendorf","The others are archaeological sites of ancient civilizations."
"Manatee","Dugong","Fin Whale","Dolphin","Dolphin","The others are herbivores."
"Perseus","Andromeda","Taurus","Orion","Orion","The others are not hunters."
"Horus","Ra","Anubis","Thor","Thor","The others are Egyptian gods"
"Durga","Kali","Hanuman","Ganesha","Ganesha","The others are not sons of Shiva."
"Wax","Resin","Amber","Wood","Wood","The others are natural polymers"
"Jade Plant","Echeveria","String of Dolphins","Aloe Vera","Aloe Vera","The others are types of succulents that are not medicinal"
"Bedbug","Tick","Moth","Butterfly","Butterfly","The others are parasites"
"Sonnet","Villanelle","Limerick","Haiku","Haiku","The others are European"
"Madeleine","Palmier","Beignet","Croissant","Croissant","The others are fried pastries"
"Escarole","Frisee","Spinach","Basil","Basil","The others are types of lettuce."
"Ushanka","Trapper Hat","Boater","Fedora","Boater","The others are winter hats"
"Max Planck","Werner Heisenberg","Rachel Carson","Isaac Newton","Rachel Carson","The others are German."
"Croissant","Brioche","Baguette","Lentils","Lentils","The others are types of French bread"
"Buddhism","Jainism","Christianity","Atheism","Atheism","The others are religions with deities"
"Cleopatra","Nefertiti","Joan of Arc","William Shakespeare","William Shakespeare","The others are female historical figures"
"Icelandic","Faroese","Spanish","Swahili","Swahili","The others are Indo-European languages"
"Arabic","Hebrew","Hindi","Spanish","Spanish","The others are non-Latin scripts."
"Nietzsche","Schopenhauer","Locke","Descartes","Descartes","The others are Empiricists."
"Margarine","Lard","Coconut Oil","Butter","Butter","The others are non-dairy."
"Word Ladder","Anagram","Rubik's Cube","Sudoku","Sudoku","The others are word-based games"
"Hydrangea, Forsythia, Juniper, Lavender, Lavender, The others are flowering in spring.",,,,,
"Dionysus","Bacchus","Freya","Mars","Freya","The others are Roman Gods."
"Sweet Potato, Yam, Daikon, Beetroot, Daikon, The others are tuberous roots.",,,,,
"Pinto Beans","Navy Beans","Hazelnuts","Almonds","Almonds","The others are types of beans"
"Black Widow, Hawkeye, Aquaman, Superman, Aquaman, The others are members of the Avengers.",,,,,
"Mollie","Guppy","Angelfish","Eagle","Eagle","The others are fishes"
"Flag of Austria, Flag of Latvia, Flag of Poland, Flag of Monaco, Flag of Monaco, The others are flags of landlocked countries.",,,,,
"Daffodil","Tulip","Orchid","Sunflower","Sunflower","The others are spring-blooming flowers"
"Termite","Ant","Bee","Spider","Spider","The others are social insects."
"Lemon Balm","Peppermint","Basil","Rosemary","Rosemary","The others are members of the mint family"
"Poaching","Sous-vide","Baking","Grilling","Grilling","The others are cooking methods using liquid"
"Rabbi","Cantor","Priest","Doctor","Doctor","The others are religious leaders"
"Walrus","Seal","Rhino","Dolphin","Rhino","The others are marine mammals"
"Doctor Doom","Kingpin","Sinestro","Tony Stark","Tony Stark","The others are supervillains"
"Soybean","Peanut","Wheat","Almond","Almond","The others are not tree nuts"
"Varuna","Indra","Parvati","Apollo","Apollo","The others are Hindu deities."
"Alfred Stieglitz","Edward Steichen","Helmut Newton","Ansel Adams","Ansel Adams","The others are European photographers."
"obj_3: Foghorn Leghorn",,,,,
"obj_4: Bugs Bunny",,,,,
"odd: Bugs Bunny",,,,,
"reason_for_similarity: The others are characters who do not speak.",,,,,
"Kitchen Island","Bar Cart","Armoire","Bookshelf","Bookshelf","The others are for storage"
"Green Goblin","Doctor Octopus","Bane","Iron Man","Iron Man","The others are Spider-Man's foes"
"Turkish","Finnish","Korean","Swahili","Swahili","The others are agglutinative languages"
"Johann Strauss II","Johann Sebastian Bach","Ludwig van Beethoven","Wolfgang Amadeus Mozart","Wolfgang Amadeus Mozart","The others are German composers"
"Pac-Man","Space Invaders","Grand Theft Auto","Super Mario","Grand Theft Auto","The others are arcade games."
"Whittling","Carving","Painting","Sculpting","Painting","The others are subtractive art techniques"
"Robert Frank","William Klein","Helmut Newton","Albert Einstein","Albert Einstein","The others are famous photographers."
"Goji Berries","Acai Berries","Chia Seeds","Flax Seeds","Flax Seeds","The others are Superfruits"
"Morphine","Codeine","Folic Acid","Aspirin","Folic Acid","The others are Opioids"
"Sumo","Judo","Kickboxing","Chess","Chess","The others are martial arts."
"Lithuanian","Latvian","English","Japanese","English","The others are Baltic languages."
"Venus","Cupid","Mercury","Apollo","Apollo","The others are Roman gods of love"
"Vault","Pommel Horse","Uneven Bars","Javelin","Javelin","The others are gymnastic apparatus"
"Wisdom","Insight","Honesty","Strength","Strength","The others are mental attributes."
"Amber","Obsidian","Jasper","Diamond","Diamond","The others are organic minerals"
"Jasmine Tea","Hibiscus Tea","Chai Tea","Ice Tea","Ice Tea","The others are hot teas."
"Goku","Vegeta","Scooby Doo","Spiderman","Scooby Doo","The others are superheroes."
"Better Call Saul","Breaking Bad","Friends","The Simpsons","The Simpsons","The others are live-action series."
"Johannes Brahms","Richard Wagner","Johann Sebastian Bach","Claude Debussy","Claude Debussy","The others are German composers"
"Jean-Baptiste Greuze","Jean-Honoré Fragonard","Pablo Picasso","Leonardo da Vinci","Pablo Picasso","The others are French Painters."
"Cotton","Flax","Kiwi","Silk","Kiwi","The others are types of fibers"
"Black Russian","White Russian","Daiquiri","Martini","Martini","The others are rum-based cocktails"
"Oxeye Daisy","English Daisy","Gerbera Daisy","Daisy Duck","Daisy Duck","The others are types of Daisy flowers."
"Solo Concert","Group Concert","Art Exhibition","Book Reading","Book Reading","The others are types of performances."
"obj_3: Tomato",,,,,
"obj_4: Apple",,,,,
"odd: Apple",,,,,
"reason_for_similarity: The others are root vegetables.",,,,,
"Trustworthiness","Honesty","Integrity","Gratitude","Gratitude","The others are virtues related to truthfulness."
"Puffin","Penguin","Sparrow","Kangaroo","Kangaroo","The others are birds"
"Nikola Tesla, Michael Faraday, Eli Whitney, Isaac Newton, Eli Whitney, The others are physicists.",,,,,
"Pictionary","Charades","Monopoly","Chess","Monopoly","The others are non-board games"
"Triggerfish","Filefish","Mackerel","Seahorse","Seahorse","The others are types of fish that have flat bodies."
"Athena","Hestia","Hermes","Poseidon","Hermes","The others are Olympians."
"Oder","Vistula","Zambezi","Amazon","Zambezi","The others are in Europe"
"Nickel","Cobalt","Silver","Helium","Helium","The others are Transition Metals"
"Barley","Rye","Wheat","Cherry","Cherry","The others are types of grains"
"Redwood","Cedar","Apple","Pineapple","Pineapple","The others are types of trees."
"Hawk","Eagle","Ostrich","Penguin","Penguin","The others are capable of flight"
"obj_3: Grapefruit",,,,,
"obj_4: Tomato",,,,,
"odd: Tomato",,,,,
"reason_for_similarity: The others are drupes.",,,,,
"Green Anole, Gecko, Chameleon, Crocodile, Crocodile, The others are types of lizards.",,,,,
"The Witcher","Game of Thrones","The Bachelor","Breaking Bad","The Bachelor","The others are based on books."
"obj_3: Buddhism",,,,,
"obj_4: Christianity",,,,,
"odd: Christianity",,,,,
"reason_for_similarity: The others are non-Abrahamic religions.",,,,,
"Cypress","Sequoia","Peach","Maple","Peach","The others are types of conifers"
"Mixolydian","Ionian","Aeolian","Dorian","Dorian","The others are major scale modes"
"Romeo and Juliet","Cinderella","The Sleeping Beauty","Macbeth","Macbeth","The others are love stories"
"Green Lantern","Flash","Spiderman","Wonder Woman","Wonder Woman","The others are male heroes."
"Holi","Diwali","Christmas","Thanksgiving","Thanksgiving","The others are religious festivals"
"Mosquito, Flea, Fruit fly, Butterfly, Butterfly, The others are blood-sucking insects.",,,,,
"Satire","Parody","Romance","Tragedy","Tragedy","The others are forms of humor"
"Harmonica","Piccolo","Tambourine","Violin","Tambourine","The others are wind instruments"
"Magnolia tree","Dogwood tree","Juniper tree","Rubber tree","Rubber tree","The others are native to North America"
"Sangiovese","Nebbiolo","Cabernet Franc","Chardonnay","Chardonnay","The others are red wine grapes."
"Auguste Rodin","Pablo Picasso","Alberto Giacometti","Salvador Dali","Salvador Dali","The others are sculptors."
"Ostrich","Emu","Seagull","Penguin","Seagull","The others are flightless birds"
"Halloween","Easter","Labor Day","Christmas","Labor Day","The others are associated with candy"
"Juniper","Privet","Hydrangea","Oak","Oak","The others are shrubs."
"Tomato","Bell Pepper","Potato","Carrot","Carrot","The others are nightshades."
"Actin","Myosin","Albumin","Hemoglobin","Albumin","The others are contractile proteins"
"Zucchini","Yellow Squash","Eggplant","Cucumber","Cucumber","The others are nightshades"
"Hyacinth","Tulip","Dandelion","Maple Leaf","Maple Leaf","The others are flowers"
"Canary","Parrot","Hawk","Shark","Shark","The others are birds."
"White Pepper","Black Pepper","Saffron","Cinnamon","Cinnamon","The others are peppers."
"obj_3: Baguette",,,,,
"obj_4: Pizza Dough",,,,,
"odd: Pizza Dough",,,,,
"reason_for_similarity: The others are types of bread.",,,,,
"Mount Vinson","Mount Tyree","Mount Etna","Mount Fuji","Mount Etna","The others are in Antarctica"
"Judaism, Christianity, Taoism, Scientology, Taoism, The others are Abrahamic religions.",,,,,
"Tin","Lead","Nickel","Iron","Iron","The others are post-transition metals"
"Saraswati","Lakshmi","Hanuman","Apollo","Apollo","The others are Hindu deities."
"Sriracha","Tabasco","Salsa","Mustard","Mustard","The others are hot sauces"
"Boxwood","Privet","Hydrangea","Rosemary","Rosemary","The others are flowering plants"
"Pique","Jete","Glissade","Pirouette","Jete","The others are ballet moves involving a turn."
"obj_3: Pumpkin Pie",,,,,
"obj_4: Chicken Pot Pie",,,,,
"odd: Chicken Pot Pie",,,,,
"reason_for_similarity: The others are sweet pies.",,,,,
"Marwari","Kathiawari","Haflinger","Mustang","Mustang","The others are Asian horse breeds."
"Black Widow","Hawkeye","Batman","Iron Man","Batman","The others are Marvel characters"
"Grass Snake","King Cobra","Adder","Sea Krait","Sea Krait","The others are terrestrial snakes."
"Anubis","Cerberus","Apollo","Hercules","Hercules","The others are not demigods"
"Hat","Gloves","Cane","Shoes","Shoes","The others are typically held in hand."
"Shiraz","Beaujolais","Burgundy","Rioja","Rioja","The others are French wine regions."
"Cherry","Peach","Lime","Walnut","Walnut","The others are fruits"
"Loki","Ultron","Poison Ivy","Tony Stark","Tony Stark","The others are supervillains."
"Saint Luke","Saint Matthew","Saint Christopher","Saint Nicholas","Saint Nicholas","The others are Evangelists."
"Aikido","Judo","Fencing","Swimming","Fencing","The others are Japanese-origin martial arts."
"Sweetgum","Liquidambar","Cedar elm","Japanese Maple","Japanese Maple","The others are native to North America"
"Islam, Christianity, Taoism, Buddhism, Buddhism, The others are Abrahamic religions.",,,,,
"American Alligator","Chinese Alligator","Freshwater Crocodile","Komodo Dragon","Komodo Dragon","The others are part of the Alligatoridae family"
"King Midas","Narcissus","Orpheus","Perseus","Perseus","The others are characters who had tragic ends due to their own actions or desires."
"Princeton University","Columbia University","NYU","University of Oxford","University of Oxford","The others are in the United States."
"Pretzel","Bagel","Tart","Pizza","Tart","The others are types of bread"
"Plaster","Bronze","Wax","Leather","Leather","The others are materials commonly used in sculpture."
"Reggaeton","Dancehall","Tango","Jazz","Jazz","The others are Latin dance styles."
"Betta","Gourami","Plecostomus","Clownfish","Clownfish","The others are freshwater fish."
"March","May","December","Monday","Monday","The others are months"
"Peacefulness","Calmness","Determination","Excitement","Excitement","The others are states of tranquility"
"Tortoise","Box Turtle","Loggerhead Sea Turtle","Leatherback Sea Turtle","Tortoise","The others are sea turtles."
"Thor","Poseidon","Isis","Hercules","Hercules","The others are gods of a pantheon"
"Mercury","Mars","Jupiter","Moon","Moon","The others are planets"
"Multi-tool","Knife","Headlamp","Screwdriver","Headlamp","The others are hand tools."
"Aphrodite","Ares","Hades","Hermes","Hermes","The others are Olympian Gods of War"
"PTSD","Panic Disorder","Bipolar Disorder","Hypertension","Hypertension","The others are mental disorders"
"1984","2001","2010","1492","1492","The others are titles of Sci-Fi novels or films"
"Dionysus","Demeter","Hestia","Hercules","Hercules","The others are Olympian Deities"
"Chimichurri","Pesto","Alfredo Sauce","Soy Sauce","Soy Sauce","The others are Italian sauces."
"Architecture","Design","Economics","Psychology","Economics","The others are related to visual aesthetics."
"Tetra","Neon Tetra","Swordfish","Guppy","Swordfish","The others are Tetras"
"Flash","Quicksilver","Green Lantern","Batman","Batman","The others have superhuman speed."
"Birch","Cedar","Spruce","Maple","Maple","The others are conifers"
"Limoncello","Curaçao","Amaretto","Tequila","Tequila","The others are liqueurs originating from Italy"
"Whale","Bat","Falcon","Shark","Shark","The others are mammals"
"Diamond","Graphite","Sapphire","Sunflower","Sunflower","The others are forms of carbon"
"Wheat","Barley","Rice","Potato","Potato","The others are cereals"
"Crocodile","Alligator","Lizard","Turtle","Turtle","The others are part of the Crocodilia order"
"Quartz","Feldspar","Granite","Marble","Marble","The others are minerals"
"Jupiter","Saturn","Mercury","Mars","Mars","The others are gas giants."
"Frog","Toad","Turtle","Sparrow","Sparrow","The others are amphibians."
"Maple","Oak","Pine","Rose","Rose","The others are types of trees"
"Cheetah","Jaguar","Lion","Bison","Bison","The others are big cats"
"Gold","Copper","Aluminum","Iron","Iron","The others are noble metals"
"Ruby","Garnet","Emerald","Diamond","Diamond","The others are birthstones of the summer months"
"Penguin","Ostrich","Hawk","Salmon","Salmon","The others are birds"
"Python","Anaconda","Cobra","Java","Java","The others are types of snakes"
"Silk","Wool","Cotton","Denim","Denim","The others are natural fibers"
"Iron","Cobalt","Nickel","Silver","Silver","The others are ferromagnetic."
"Birch","Spruce","Cedar","Bamboo","Bamboo","The others are Coniferous trees"
"Mule","Hinny","Horse","Zebra","Zebra","The others are domesticated"
"Marble","Limestone","Basalt","Oak","Oak","The others are types of rocks."
"Teak","Mahogany","Birch","Rubber","Rubber","The others are types of wood used in furniture making"
"Barracuda, Pike, Salmon, Puma, Puma, The others are types of fish.",,,,,
"Rye","Wheat","Oats","Apple","Apple","The others are types of grains"
"Elk","Moose","Deer","Whale","Whale","The others are land-dwelling animals"
"Platinum","Palladium","Silver","Iron","Iron","The others are precious metals"
"Birch","Aspen","Cedar","Maple","Maple","The others are not deciduous trees"
"Angelfish, Goldfish, Guppy, Penguin, Penguin, The others are freshwater fish.",,,,,
"Lavender","Rosemary","Basil","Mint","Mint","The others are flowers."
"Porcupine","Hedgehog","Beaver","Platypus","Beaver","The others are spiny mammals."
"Moth","Butterfly","Bee","Dragonfly","Dragonfly","The others are pollinators"
"Iguana","Chameleon","Snake","Penguin","Penguin","The others are reptiles."
"Tarantula","Black Widow","Scorpion","Honey Bee","Honey Bee","The others are venomous arachnids"
"Albatross","Seagull","Penguin","Sparrow","Penguin","The others can fly"
"Squid","Octopus","Lobster","Crab","Lobster","The others are Decapods"
"Amethyst","Citrine","Ruby","Pearl","Pearl","The others are minerals."
"Chimpanzee","Gorilla","Orangutan","Human","Human","The others are not Homo Sapiens."
"Mango","Peach","Apple","Carrot","Carrot","The others are fruits."
"Tarantula","Scorpion","Ant","Sparrow","Sparrow","The others are arachnids."
"Cheetah","Leopard","Tiger","Lion","Lion","The others are spotted"
"Oak","Maple","Pine","Bamboo","Bamboo","The others are types of deciduous trees"
"Salmon","Trout","Catfish","Eagle","Eagle","The others are types of fish"
"Rattlesnake","Cobra","Python","Salamander","Salamander","The others are venomous snakes"
"Eagle","Hawk","Penguin","Ostrich","Eagle","The others are flightless birds."
"Butterfly","Moth","Bee","Penguin","Penguin","The others are insects"
"Pine, Spruce, Oak, Maple, Maple, The others are types of conifers.",,,,,
"Tulip","Daffodil","Orchid","Oak","Oak","The others are flowering plants"
"Shark","Dolphin","Whale","Penguin","Penguin","The others are mammals"
"obj_3: Cheetah",,,,,
"obj_4: Whale Shark",,,,,
"odd: Whale Shark",,,,,
"reason_for_similarity: The others are big cats.",,,,,
"Potato","Tomato","Carrot","Mushroom","Mushroom","The others are root vegetables"
"Almond","Peanut","Walnut","Coconut","Coconut","The others are tree nuts"
"Rabbit, Hare, Squirrel, Kangaroo, Kangaroo, The others are rodents.",,,,,
"Pineapple","Cactus","Rose","Apple","Apple","The others have thorns"
"Lime","Lemon","Orange","Apple","Apple","The others are citrus fruits"
"Coyote","Wolf","Fox","Hyena","Hyena","The others are native to North America."
"Knitting","Crocheting","Painting","Sculpting","Painting","The others are yarn-based crafts."
"Marjoram","Oregano","Cilantro","Basil","Cilantro","The others are native to the Mediterranean region."
"Catwoman","Poison Ivy","Galactus","Hulk","Hulk","The others are primarily Batman villains."
"Peacock","Turkey","Owl","Sparrow","Sparrow","The others are galliformes"
"Taekwondo","Hapkido","Boxing","Chess","Chess","The others are martial arts."
"Mount Fuji","Mount Vesuvius","Mount McKinley","River Thames","River Thames","The others are mountains."
"To Kill a Mockingbird, Go Set a Watchman, The Great Gatsby, Pride and Prejudice, The Great Gatsby, The others are novels by Harper Lee.",,,,,
"Altruism, Egoism, Utilitarianism, Nihilism, Nihilism, The others are philosophical theories related to ethics.",,,,,
"Mangosteen","Passionfruit","Banana","Pineapple","Pineapple","The others are berries"
"Spinach","Lettuce","Asparagus","Watermelon","Watermelon","The others are leafy greens"
"Emerald","Sapphire","Topaz","Pearl","Pearl","The others are minerals."
"Artemis","Diana","Osiris","Hercules","Osiris","The others are gods/goddesses of the moon"
"obj_3: Kumquat",,,,,
"obj_4: Kiwi",,,,,
"odd: Kiwi",,,,,
"reason_for_similarity: The others are citrus fruits.",,,,,
"The Sims","Minecraft","Call of Duty","Candy Crush","Candy Crush","The others are not mobile games"
"Merlin","Gandalf","Dracula","Sherlock Holmes","Dracula","The others are characters who are not known for their supernatural abilities."
"Carboniferous","Permian","Triassic","Jurassic","Jurassic","The others are Paleozoic epochs"
"The Shawshank Redemption","Forrest Gump","The Green Mile","Saving Private Ryan","Saving Private Ryan","The others are based on Stephen King novels."
"Loneliness","Isolation","Solitude","Joy","Joy","The others are states of being alone"
"Schindler's List","Jaws","Saving Private Ryan","The Godfather","The Godfather","The others are directed by Steven Spielberg"
"Bronchi","Alveoli","Heart","Kidney","Kidney","The others are part of the respiratory system."
"Dnieper","Dniester","Yukon","Amazon","Amazon","The others are in the Northern Hemisphere"
"""I miss you""","""I love you""","""I hate you""","""You are awesome""","""You are awesome""","The others are expressing personal feelings"
"Bluegrass","Country","Electronica","Jazz","Electronica","The others are forms of American music"
"Earth","Neptune","Mars","Moon","Moon","The others are planets"
"Viognier","Marsanne","Cabernet Sauvignon","Chardonnay","Cabernet Sauvignon","The others are white wine grape varieties."
"Parrot","Parakeet","Falcon","Kiwi","Kiwi","The others can fly"
"Forgiveness","Mercy","Determination","Resilience","Resilience","The others are virtues of the heart"
"obj_3: Pepper",,,,,
"obj_4: Cinnamon",,,,,
"odd: Cinnamon",,,,,
"reason_for_similarity: The others are crystalline in form.",,,,,
"Pigeon, Dove, Hawk, Penguin, Penguin, The others can fly.",,,,,
"Plato","Aristotle","Derrida","Shakespeare","Shakespeare","The others are philosophers"
"French Green Lentils","Spanish Pardina Lentils","Soybeans","Red Kidney Beans","Soybeans","The others are types of lentils"
"Mount Elbrus","Mont Blanc","Mauna Kea","Mount Everest","Mauna Kea","The others are in Eurasia."
"Descartes","Pascal","Heraclitus","Newton","Heraclitus","The others are mathematicians."
"KenKen","Killer Sudoku","3D Puzzle","Crossword","3D Puzzle","The others are number-based puzzles"
"Saint Benedict","Saint Scholastica","Saint Jerome","Saint Nicholas","Saint Nicholas","The others are Doctors of the Church"
"Arthur Conan Doyle","Agatha Christie","J.K. Rowling","Dan Brown","Arthur Conan Doyle","The others are still alive"
"St. Basil's Cathedral","St. Mark's Basilica","Notre-Dame Cathedral","Westminster Abbey","Notre-Dame Cathedral","The others are in the UK."
"Byzantine Period","Roman Period","Eocene Epoch","Industrial Revolution","Eocene Epoch","The others are periods in human history."
"Sylph","Pixie","Gnome","Dwarf","Dwarf","The others are mythological creatures associated with air elements."
"Eocene","Oligocene","Devonian","Jurassic","Jurassic","The others are Paleogene periods"
"Pediophobia","Coulrophobia","Arachnophobia","Acrophobia","Acrophobia","The others are phobias related to specific creatures"
"Jasmine","Lilac","Cherry Blossom","Maple Leaf","Maple Leaf","The others are flowers"
"Chives","Garlic","Cumin","Rosemary","Cumin","The others are herbs"
"Mimir","Hodr","Magni","Thor","Mimir","The others are sons of Odin"
"Forgiveness","Mercy","Compassion","Success","Success","The others are virtues."
"Rose","Tulip","Oak Tree","Sunflower","Oak Tree","The others are flowering plants"
"Poodle","Bulldog","Bichon Frise","Siamese","Siamese","The others are dog breeds."
"Benjamin Franklin","John Jay","Henry Laurens","George Washington","George Washington","The others are signatories of the Treaty of Paris 1783"
"Gorilla","Human","Whale","Parrot","Parrot","The others are Mammals."
"Lapsang Souchong Tea","Pu-erh Tea","Lemon Verbena Tea","Coffee","Coffee","The others are types of tea"
"Yellow-Bellied Sea Snake","Beaked Sea Snake","Green Sea Turtle","Blue Whale","Blue Whale","The others are reptiles"
"Cheetah","Gazelle","Lion","Elephant","Elephant","The others are carnivores"
"Spadefoot Toad","American Toad","Mud Puppy","Tree Frog","Tree Frog","The others are non-arboreal"
"Rocky Balboa","Rudy Ruettiger","Michael Jordan","Bill Gates","Bill Gates","The others are athletes."
"Leukemia","Lymphoma","Osteoporosis","Hypertension","Hypertension","The others are types of cancer"
"Bread Maker, Pasta Maker, Hair Dryer, Coffee Maker, Hair Dryer, The others are used for food preparation.",,,,,
"Boat Hook","Anchor","Life Ring","Compass","Compass","The others are used for mooring or safety in water"
"Idaho","Wyoming","Maryland","Hawaii","Hawaii","The others are landlocked states."
"The Dunbar Armored Robbery","The Brink's Garage Heist","The Great Train Robbery","The Mona Lisa Theft","The Mona Lisa Theft","The others are robberies of cash."
"Battle of Gaugamela","Battle of Issus","Battle of Waterloo","Battle of Hastings","Battle of Hastings","The others are battles involving Napoleon Bonaparte."
"Dubai, Singapore, Cairo, Sydney, Sydney, The others are in Asia.",,,,,
"Leek","Onion","Corn","Apple","Corn","The others are alliums"
"Dove","Lamb","Lion","Shark","Shark","The others are mammals"
"Aristotle's Politics","Aristotle's Ethics","Socratic Irony","Plato's Republic","Socratic Irony","The others are works by Greek philosophers"
