"obj_1","obj_2","obj_3","obj_4","odd","reason_for_similarity"
"The Sydney Harbour Bridge, The Sydney Opera House, The Eiffel Tower, The Statue of Liberty, The Eiffel Tower, The others are in Australia.",,,,,
"The Creation of Adam","The Last Judgement","The Persistence of Memory","The Starry Night","The Persistence of Memory","The others are by Michelangelo"
"Treaty of Versailles","Treaty of Brest-Litovsk","Treaty of Tordesillas","The Magna Carta","The Magna Carta","The others are treaties that ended wars."
"Alps","Andes","Ural","Amazon","Amazon","The others are mountain ranges"
"Golden Gate Bridge","Brooklyn Bridge","Sagrada Familia","Eiffel Tower","Sagrada Familia","The others are suspension bridges."
"Constitution","Bill of Rights","Declaration of Independence","Magna Carta","Magna Carta","The others are American documents."
"Piet Mondrian, Kazimir Malevich, Henri Matisse, Claude Monet, Claude Monet, The others are associated with abstract art.",,,,,
"David by Michelangelo","The Thinker by Rodin","The Little Mermaid","The Statue of Liberty","The Little Mermaid","The others are made of Bronze material."
"Borneo","Sumatra","Java","Tasmania","Tasmania","The others are Indonesian islands."
"Snow","Hail","Rain","Comet","Comet","The others are forms of precipitation"
"Self-Actualization","Cognitive Therapy","Client-Centered Therapy","Psychoanalysis","Self-Actualization","The others are forms of therapy"
"Emma Watson","Daniel Radcliffe","Rupert Grint","Tom Felton","Tom Felton","The others are Gryffindor students in Harry Potter."
"obj_3: Protein",,,,,
"obj_4: Lipid",,,,,
"odd: Lipid",,,,,
"reason_for_similarity: The others are involved in genetic information transfer.",,,,,
"Flamingo","Swan","Eagle","Python","Python","The others are birds."
"Detroit Pistons","Miami Heat","LA Lakers","New York Yankees","New York Yankees","The others are NBA teams."
"Boxing","Savate","Jiu Jitsu","Chess","Chess","The others are combat sports"
"Andes","Sierra Nevada","Himalayas","Alps","Alps","The others are located in the Southern Hemisphere"
"Louis XIV","Henry VIII","George Washington","Julius Caesar","Julius Caesar","The others are monarchs who ruled in a constitutional monarchy."
"Rocky Mountains","Andes","Gobi Desert","Himalayas","Gobi Desert","The others are mountain ranges"
"Maurya Empire","Gupta Empire","Roman Empire","British Empire","British Empire","The others are ancient empires."
"Paris","Madrid","Dublin","Tokyo","Tokyo","The others are in Europe"
"Charlie Trotter, Wolfgang Puck, Alain Passard, Julia Child, Julia Child, The others are male chefs.",,,,,
"David Chang","Roy Choi","Lidia Bastianich","Julia Child","Julia Child","The others are Asian-American chefs"
"Ross Geller","Monica Geller","Janice Litman","Chandler Bing","Janice Litman","The others are characters who share the same last name in Friends."
"Psychoanalysis","Defense Mechanisms","Observational Learning","Operant Conditioning","Operant Conditioning","The others are related to Freudian psychology."
"Baseball Field","Baseball Diamond","Baseball Cap","Baseball Glove","Baseball Cap","The others are places."
"Phoenix Suns, Sacramento Kings, Utah Jazz, Dallas Cowboys, Dallas Cowboys, The others are NBA teams.",,,,,
"Socrates","Plato","Albert Einstein","Isaac Newton","Isaac Newton","The others are philosophers"
"Alps","Himalayas","Amazon River","Sahara Desert","Amazon River","The others are mountain ranges"
"Martian Manhunter","Hawkgirl","The Penguin","Wonder Woman","The Penguin","The others are from Justice League."
"Barometer","Thermometer","Anemometer","Altimeter","Altimeter","The others measure atmospheric conditions."
"Ancient Sumer","Ancient Babylon","Ancient Egypt","Ancient Rome","Ancient Rome","The others are Mesopotamian civilizations"
"Tanks","Submarines","Fighter Jets","Space Shuttle","Space Shuttle","The others are military vehicles"
"Golden Snitch","Quaffle","Bludger","Elder Wand","Elder Wand","The others are Quidditch balls."
"Q","Guinan","Wesley Crusher","Captain Picard","Wesley Crusher","The others are immortals in Star Trek."
"Gestalt Therapy","Rational Emotive Behavior Therapy","Humanistic Psychology","Cognitive Behavioral Therapy","Cognitive Behavioral Therapy","The others are humanistic approaches in psychology"
"Gray Matter Technologies","A1A Car Wash","Los Pollos Hermanos","Madrigal Electromotive","Gray Matter Technologies","The others are fronts for illegal activities in Breaking Bad series"
"Civil Constitution of the Clergy","Concordat of 1801","Edict of Nantes","Magna Carta","Magna Carta","The others are French religious legislations"
"JMW Turner","John Constable","James Whistler","Pablo Picasso","Pablo Picasso","The others are British artists"
"Rascal Flatts","Lady A","Maroon 5","Blake Shelton","Blake Shelton","The others are bands."
"The Da Vinci Code","Angels & Demons","The Lord of the Rings","The Catcher in the Rye","The Lord of the Rings","The others are written by Dan Brown"
"Pico della Mirandola","Marsilio Ficino","John Locke","Plato","John Locke","The others are Renaissance philosophers."
"Shale","Mudstone","Granite","Basalt","Basalt","The others are sedimentary rocks."
"Elm","Ash","Spruce","Rose","Rose","The others are types of trees."
"Steam Locomotive","Steamboat","Telephone","Hot Air Balloon","Telephone","The others are powered by steam"
"Morgan Freeman","Jack Nicholson","Brad Pitt","Tom Hanks","Tom Hanks","The others have won Oscars for Best Actor."
"The Office","Parks and Recreation","Breaking Bad","Friends","Breaking Bad","The others are sitcoms"
"Ural","Atlas","Andes","Nile","Nile","The others are mountain ranges"
"The Parthenon","The Acropolis","The Empire State Building","The Great Wall of China","The Empire State Building","The others are ancient structures."
"Bond Street","Via Montenapoleone","The Strip","Champs-Élysées","The Strip","The others are in Europe."
"Marmaduke","Blondie","Garfield","Snoopy","Snoopy","The others are comic strip characters named after their hair color."
"Peppermint","Spearmint","Wintergreen","Curry Powder","Curry Powder","The others are types of mint."
"Symposium, Agora, Forum, Market, Market, The others are places for discussion and debate in ancient societies.",,,,,
"Charles Dickens","Jane Austen","J.D. Salinger","F. Scott Fitzgerald","F. Scott Fitzgerald","The others are British authors"
"Sonoran","Kalahari","Mojave","Sahara","Sahara","The others are deserts in North America"
"Mount Fuji","Mount Everest","Matterhorn","Victoria Falls","Victoria Falls","The others are mountains."
"Earthrise","Tank Man","Moon Landing","The Beatles","The Beatles","The others are significant historical events captured in photographs"
"Synchronized Swimming","Diving","Equestrian","Weightlifting","Weightlifting","The others are judged on artistic impression"
"Orlando Magic","Charlotte Hornets","San Antonio Spurs","Boston Celtics","Boston Celtics","The others are in states that start with the letter 'S'."
"Angel Falls, Niagara Falls, Yellowstone National Park, The Great Barrier Reef, Yellowstone National Park, The others are waterfalls.",,,,,
"The Lusitania","The Titanic","The Dreadnought","The Hindenburg","The Hindenburg","The others are ships."
"Kings","Jets","Wild","Suns","Suns","The others are names of NHL teams"
"Nefertiti","Tutankhamun","Great Pyramid of Giza","Sphinx of Giza","Nefertiti","The others are architectural structures."
"obj_3: Ice Sailing",,,,,
"obj_4: Kite Surfing",,,,,
"odd: Ice Sailing",,,,,
"reason_for_similarity: The others are air sports",,,,,
"The Venus of Willendorf","The Venus de Milo","The Thinker","The Statue of Liberty","The Statue of Liberty","The others are ancient sculptures"
"New Orleans Saints","Atlanta Falcons","Minnesota Vikings","Green Bay Packers","Green Bay Packers","The others are bird-themed teams"
"Oxygen","Sulfur","Selenium","Neon","Neon","The others are Chalcogens"
"Cavendish Banana","Plantain Banana","Monk Fruit","Honeycrisp Apple","Monk Fruit","The others are types of tree fruits."
"Parsley, Dill, Star Anise, Rosemary, Star Anise, The others are leafy herbs.",,,,,
"Venus","Mars","Thor","Jupiter","Thor","The others are planets in our solar system."
"The Hagia Sophia","The Blue Mosque","The Niagara Falls","The Pyramids of Giza","The Niagara Falls","The others are in Turkey"
"obj_3: Milk",,,,,
"obj_4: Apple Juice",,,,,
"odd: Apple Juice",,,,,
"reason_for_similarity: The others are fermented.",,,,,
"Two-Face","The Riddler","Green Arrow","The Flash","Green Arrow","The others are Batman villains"
"Asteroid, Comet, Meteor, Moon, Moon, The others are not natural satellites.",,,,,
"Genghis Khan","Kublai Khan","Cleopatra","Alexander the Great","Cleopatra","The others are Mongolian."
"A$AP Rocky, Tyler the Creator, Nipsey Hussle, Kendrick Lamar, Kendrick Lamar, The others are from Los Angeles.",,,,,
"obj_3: Byzantine Empire",,,,,
"obj_4: Holy Roman Empire",,,,,
"odd: Holy Roman Empire",,,,,
"reason_for_similarity: The others are direct continuations of the same state.",,,,,
"Victoria Falls","Angel Falls","Mount Everest","Great Wall of China","Great Wall of China","The others are natural formations not made by humans."
"Sentinels","Squids","The Keymaker","Agent Smith","Squids","The others are characters from The Matrix."
"Alexandria Safe-Zone, Hilltop Colony, Terminus, Kingdom, Terminus, The others are communities in The Walking Dead that are still functioning and haven't been overrun by walkers.",,,,,
"Blacksmith","Farrier","Baker","Carpenter","Baker","The others work with metal"
"Queen Elizabeth I","Queen Victoria","George Washington","Napoleon Bonaparte","George Washington","The others are European monarchs."
"Nikola Tesla","Thomas Edison","Alexander Graham Bell","Albert Einstein","Albert Einstein","The others are inventors of electrical devices"
"Consonance","Dissonance","Monotone","Harmony","Monotone","The others are musical terms related to the combination of different notes"
"Tweety","Sylvester","Goofy","Tom","Goofy","The others are from Looney Tunes."
"Troy McClure","Krusty the Clown","Marge Simpson","Lisa Simpson","Troy McClure","The others are members of the Simpson family."
"Lightning, Hurricanes, Golden Knights, Red Wings, Lightning, The others are NHL Teams.",,,,,
"King Arthur","Charlemagne","Isaac Newton","Nikola Tesla","Nikola Tesla","The others are historical figures known for their leadership."
"Emmett Till","Four Little Girls","JFK Assassination","Martin Luther King","JFK Assassination","The others are figures related to the Civil Rights Movement"
"Triceratops","Diplodocus","Cave bear skull","Mammoth","Cave bear skull","The others are dinosaurs."
"Binary Tree","Linked List","Hash Table","Array List","Array List","The others are non-linear data structures."
"The Pyramids of Giza","The Sphinx","The Eiffel Tower","The Great Wall of China","The Eiffel Tower","The others are ancient wonders of the world."
"Alexander the Great","Genghis Khan","Abraham Lincoln","Albert Einstein","Albert Einstein","The others are famous military leaders"
"Goblet of Fire, Triwizard Cup, Philosopher's Stone, Elder Wand, Elder Wand, The others are associated with Harry Potter and the Goblet of Fire.",,,,,
"Gold Coast","Ivory Coast","Amalfi Coast","Emerald Coast","Emerald Coast","The others are named after materials."
"Limestone","Dolomite","Obsidian","Granite","Obsidian","The others are sedimentary rocks"
"Zurich","Bern","Geneva","Toronto","Toronto","The others are in Switzerland."
"Raphael","Michelangelo","Titian","Salvador Dali","Salvador Dali","The others are Italian Renaissance artists."
"obj_3: The Persistence of Memory,",,,,,
"obj_4: The Starry Night,",,,,,
"odd: The Last Supper,",,,,,
"reason_for_similarity: The others are not religious-themed.",,,,,
"Java","Sumatra","Borneo","Bali","Bali","The others are not islands in Indonesia."
"Whole Step","Half Step","Leap","Slide","Slide","The others are types of musical intervals"
"Brad Pitt","Leonardo DiCaprio","Johnny Depp","Tom Hanks","Tom Hanks","The others have never won an Academy Award for Best Actor until 2020."
"The Book of the Courtier","The Prince","The Wealth of Nations","The Art of War","The Art of War","The others are related to economics and politics."
"Hickory","Pecan","Maple","Oak","Oak","The others are types of wood used to smoke food"
"obj_3: Judicial Review",,,,,
"obj_4: Legislative Bill",,,,,
"odd: Legislative Bill",,,,,
"reason_for_similarity: The others are powers of the President.",,,,,
"Port (Portugal)","Madeira (Portugal)","Port (Australia)","Port (Computer)","Port (Computer)","The others are types of wine"
"Liu Xiaobo","Shirin Ebadi","Paul L. Modrich","Albert Einstein","Albert Einstein","The others are Nobel Peace Prize laureates."
"Cleopatra","Nefertiti","Joan of Arc","Marie Curie","Marie Curie","The others are ancient figures"
"Melody","Harmony","Rhythm","Tempo","Tempo","The others are elements of music composition."
"Iron Throne","Dragonstone","The Eyrie","Winterfell","Winterfell","The others are seats of power in the Seven Kingdoms that are not in the North."
"The Girl with a Pearl Earring, The Night Watch, The Arnolfini Portrait, The Scream, The Scream, The others are Dutch Golden Age paintings.",,,,,
"obj_3: The Lord of the Rings",,,,,
"obj_4: A Tale of Two Cities",,,,,
"odd: The Lord of the Rings",,,,,
"reason_for_similarity: The others are dystopian novels.",,,,,
"The Naval Treaty","The Greek Interpreter","The Gloria Scott","A Study in Scarlet","A Study in Scarlet","The others are short stories in ""The Memoirs of Sherlock Holmes""."
"Raphael","Donatello","Rembrandt","Michelangelo","Rembrandt","The others are Teenage Mutant Ninja Turtles characters."
"Jay Z","Eminem","Alicia Keys","Taylor Swift","Taylor Swift","The others are from New York."
"obj_3: Pizza Margherita",,,,,
"obj_4: Sushi",,,,,
"odd: Sushi",,,,,
"reason_for_similarity: The others are traditional dishes from Mediterranean countries.",,,,,
"Julian","Jovian","Caligula","Claudius","Claudius","The others are Julian."
"Dill","Fennel","Cayenne","Rosemary","Cayenne","The others are herbs used in European cuisine"
"Mendelssohn","Haydn","Chopin","Picasso","Picasso","The others are classical composers"
"Enchiladas","Tacos","Blini","Pancakes","Blini","The others are Mexican dishes"
"Melbourne","Sydney","Jakarta","Athens","Athens","The others are in Oceania."
"obj_3: Samurai",,,,,
"obj_4: Viking",,,,,
"odd: Samurai",,,,,
"reason_for_similarity: The others are from the Roman Empire.",,,,,
"Mozart","Haydn","Tchaikovsky","Beethoven","Beethoven","The others are not Germans."
"Gettysburg Address","Second Inaugural Address","I Have a Dream speech","Emancipation Proclamation","Emancipation Proclamation","The others are speeches."
"Sputnik","Laika","U-2 Incident","Apollo 11","U-2 Incident","The others are related to space exploration."
"Galapagos Islands, Madagascar, Mount Vesuvius, Amazon Rainforest, Mount Vesuvius, The others are islands.",,,,,
"Silver Surfer","Green Lantern","Iron Fist","Thor","Iron Fist","The others are from space"
"Stokely Carmichael, Huey P. Newton, J. Edgar Hoover, Martin Luther King Jr., J. Edgar Hoover, The others are key figures in the Civil Rights Movement.",,,,,
"Atlantic Ocean","Arctic Ocean","Gulf of Guinea","Sahara Desert","Sahara Desert","The others are bodies of water"
"Senate","House of Representatives","Supreme Court","White House","White House","The others are branches of the U.S. government"
"Better Call Saul","Breaking Bad","The Sopranos","Friends","Friends","The others are crime dramas."
"Botticelli","Titian","Dali","Rembrandt","Rembrandt","The others are Italian."
"Orville Wright","Wilbur Wright","George Eastman","Amelia Earhart","George Eastman","The others are pioneers in aviation"
"Strikeout","Walk","Baseball Bat","Golf Club","Golf Club","The others are associated with Baseball."
"obj_3: Telegraph",,,,,
"obj_4: Steam Engine",,,,,
"odd: Telegraph",,,,,
"reason_for_similarity: The others are related to the textile industry.",,,,,
"Andrew Jackson","Martin Van Buren","Dwight D. Eisenhower","Benjamin Franklin","Benjamin Franklin","The others are U.S. Presidents"
"Nikola Tesla","Michael Faraday","James Watt","Isaac Newton","Isaac Newton","The others are electrical engineers"
"Guy Fieri","Rachael Ray","Ferran Adrià","Wolfgang Puck","Wolfgang Puck","The others are Food Network personalities"
"Sonoran","Mojave","Sahara","Amazon","Amazon","The others are deserts"
"Pacific Ocean","Southern Ocean","Red Sea","Sahara Desert","Sahara Desert","The others are bodies of water"
"Marco Polo, Ibn Battuta, Christopher Columbus, Neil Armstrong, Neil Armstrong, The others are sea explorers.",,,,,
"Zion","The Nebuchadnezzar","The Merovingian","The Oracle","The Oracle","The others are locations in the Matrix universe"
"Saffron","Turmeric","Basil","Rosemary","Rosemary","The others are spices derived from flowers."
"Ancient China","Ancient Japan","Ancient Egypt","Ancient Greece","Ancient Greece","The others are Asian civilizations."
"Leonardo da Vinci","Michelangelo","Isaac Newton","William Shakespeare","William Shakespeare","The others are renowned for their contributions to science."
"Auschwitz","Dachau","Alcatraz","The Louvre","The Louvre","The others are former prisons"
"Mediterranean Sea","Red Sea","Rocky Mountains","Caspian Sea","Rocky Mountains","The others are bodies of water"
"Philadelphia 76ers","Boston Celtics","LA Clippers","Chicago Bulls","LA Clippers","The others are original NBA teams"
"Real numbers","Imaginary numbers","Natural numbers","Fibonacci numbers","Imaginary numbers","The others are types of real numbers"
"Buddha","Confucius","Jesus","Newton","Newton","The others are founders of major world religions."
"The Six Napoleons","The Three Students","The Black Peter","The Blue Carbuncle","The Blue Carbuncle","The others are Sherlock Holmes stories without a color in the title"
"Nuremberg Trials","Tokyo Trials","Geneva Conventions","Versailles Treaty","Versailles Treaty","The others are post-war trials"
"Tammy Wynette","George Jones","Usher","Frank Sinatra","Usher","The others are country singers."
"Athena","Apollo","Thor","Mercury","Thor","The others are Greek Gods."
"Black Mission Fig","Brown Turkey Fig","Green Grapes","Red Apple","Red Apple","The others are types of figs."
"Open Hearth Furnace, Bessemer Process, Sewing Machine, Blast Furnace, Sewing Machine, The others are methods of steel production.",,,,,
"Nazgul","Orcs","Ents","Hobbits","Ents","The others are evil creatures in Tolkien's Middle Earth"
"Capitalism","Socialism","Mercantilism","Democracy","Democracy","The others are economic systems"
"Berlin Wall","Berlin Blockade","Korean War","Cuban Missile Crisis","Cuban Missile Crisis","The others are events related to the Cold War that happened in Berlin."
"Battle of Waterloo, Battle of Hastings, Battle of Normandy, Battle of Gettysburg, Battle of Gettysburg, The others are battles that took place in Europe.",,,,,
"Open Hearth Furnace","Bessemer Process","Steam Engine","Sewing Machine","Sewing Machine","The others are methods of iron and steel production."
"The Hangover","Due Date","The Social Network","The Fighter","The Fighter","The others are movies directed by Todd Phillips."
"Great Wall of China","Forbidden City","Eiffel Tower","Mount Everest","Eiffel Tower","The others are in China"
"Normandy","Iwo Jima","Berlin","London","London","The others are World War II battle sites."
"obj_3: Rose",,,,,
"obj_4: Fern",,,,,
"odd: Rose",,,,,
"reason_for_similarity: The others are trees.",,,,,
"Deja Vu","Glitch in the Matrix","Bullet Time","Time Loop","Time Loop","The others are phenomena from the Matrix film series"
"Pharaoh","Vizier","Obelisk","Sphinx","Vizier","The others are physical structures."
"Estates-General","National Assembly","Jacobin Club","Committee of Public Safety","Committee of Public Safety","The others are French Revolution's political groups formed by the Third Estate."
"Logic","Chance the Rapper","DMX","Mozart","Mozart","The others are hip hop artists"
"Chinese Cultural Revolution","Russian Revolution","Cuban Revolution","American Revolution","American Revolution","The others are Communist Revolutions."
"Groundskeeper Willie","Otto Mann","Principal Skinner","Bart Simpson","Otto Mann","The others are not school bus drivers"
"Market Economy","Command Economy","Mixed Economy","Barter Economy","Barter Economy","The others are monetary economies."
"Pierre-Auguste Renoir, Edgar Degas, Mary Cassatt, Vincent van Gogh, Vincent van Gogh, The others are French Impressionists.",,,,,
"Benin Bronzes","Ife art","Greek sculpture","Egyptian Art","Greek sculpture","The others are African Art."
"Carolina Panthers","Jacksonville Jaguars","San Francisco 49ers","New York Yankees","New York Yankees","The others are NFL teams"
"Star Wars: Episode IV","Jaws","The Exorcist","Godfather","Godfather","The others are directed by Steven Spielberg."
"Catherine the Great","Peter the Great","Martin Luther","Napoleon Bonaparte","Martin Luther","The others are not religious reformers."
"Haydn, Schubert, Brahms, Beethoven, Beethoven, The others are not born in Bonn.",,,,,
"Carmenere (Chile)","Cabernet Sauvignon (Chile)","Carmenere (Italy)","Chardonnay (Chile)","Carmenere (Italy)","The others are from Chile"
"Vodka","Whiskey","Lemonade","Wine","Lemonade","The others are spirits"
"Gamora, Nebula, Star-Lord, Thanos, Star-Lord, The others are related by blood.",,,,,
"The Burj Khalifa","The Petronas Towers","The Great Wall of China","The Sydney Opera House","The Great Wall of China","The others are modern architectural wonders."
"Infinite series","Finite series","Matrix","Vector Space","Matrix","The others are types of series"
"obj_3: Telegraph",,,,,
"obj_4: Steam Locomotive",,,,,
"odd: Telegraph",,,,,
"reason_for_similarity: The others are powered by steam.",,,,,
"Beef Stroganoff","Blini","Chicken Tikka Masala","Ratatouille","Ratatouille","The others are dishes originally from countries that were part of the former Soviet Union."
"Ralph Wiggum","Milhouse","Santa's Little Helper","Bart Simpson","Santa's Little Helper","The others are human characters in The Simpsons"
"Joan of Arc","Boudica","Cleopatra","Benjamin Franklin","Benjamin Franklin","The others are female historical figures"
"obj_3: New York",,,,,
"obj_4: Tokyo",,,,,
"odd: Tokyo",,,,,
"reason_for_similarity: The others are home to the headquarters of the United Nations.",,,,,
"Hundred Years War","Thirty Years War","Cold War","Star Wars","Star Wars","The others are real historical events."
"George Strait","Alan Jackson","Bruno Mars","Elvis Presley","Bruno Mars","The others are country music singers."
"Marjoram","Oregano","Nutmeg","Basil","Nutmeg","The others are herbs"
"The Underground Railroad, The Fugitive Slave Act, The Prohibition Act, The Emancipation Proclamation, The Prohibition Act, The others are directly related to slavery.",,,,,
"Cypress","Cedar","Oak","Maple","Maple","The others are evergreens."
"Meteor Shower","Comet","Asteroid","Gamma Ray Burst","Gamma Ray Burst","The others are solid objects."
"Batman","Robin","Spiderman","Wonder Woman","Spiderman","The others are DC Comics characters"
"Denver Nuggets","Portland Trail Blazers","Miami Heat","Golden State Warriors","Golden State Warriors","The others are teams that have never won an NBA Championship"
"Ra's al Ghul","Scarecrow","Batwoman","Alfred Pennyworth","Alfred Pennyworth","The others are enemies of Batman"
"Lois Lane","Alfred Pennyworth","Poison Ivy","Clark Kent","Clark Kent","The others are not superheroes"
"Ant","Bee","Butterfly","Mosquito","Mosquito","The others are pollinators"
"obj_3: Harry Potter",,,,,
"obj_4: A Song of Ice and Fire",,,,,
"odd: Harry Potter",,,,,
"reason_for_similarity: The others are written by authors from New Zealand or the UK.",,,,,
"Iguazu Falls","Niagara Falls","Angel Falls","Mount Everest","Mount Everest","The others are waterfalls"
"Velocity","Acceleration","Momentum","Energy","Energy","The others are vector quantities."
"Polar Bear","Grizzly Bear","Polar Fox","Red Fox","Red Fox","The others are Arctic animals"
"Bob Dylan","Bruce Springsteen","The Chainsmokers","Elvis Presley","The Chainsmokers","The others are solo artists."
"Khao San Road","Bourbon Street","Hollywood Boulevard","Wall Street","Wall Street","The others are famous for their nightlife"
"obj_3: The Petronas Towers",,,,,
"obj_4: The Great Pyramid of Giza",,,,,
"odd: The Great Pyramid of Giza",,,,,
"reason_for_similarity: The others are modern constructions.",,,,,
"Bacteria","Virus","Fungus","Algae","Virus","The others are multicellular organisms"
"Quicksilver","Flash","Black Canary","Batman","Quicksilver","The others are DC Comics characters."
"Tarragon","Anise","Cumin","Blueberries","Blueberries","The others are spices."
"Patella","Humerus","Femur","Heart","Heart","The others are bones"
"Byzantine Empire","Ottoman Empire","British Empire","Mongol Empire","Mongol Empire","The others are European Empires."
"Nickel","Palladium","Copper","Iron","Iron","The others are transition metals"
"Dolomite","Chert","Rhyolite","Obsidian","Obsidian","The others are sedimentary or metamorphic rocks"
"Ginger, Turmeric, Parsley, Apple, Apple, The others are spices.",,,,,
"Ulna","Radius","Femur","Tibia","Tibia","The others are bones in the arm."
"Copper","Silver","Zinc","Gold","Gold","The others are transition metals"
"The Starry Night","The Scream","American Gothic","The Persistence of Memory","The Persistence of Memory","The others are not painted by Salvador Dali"
"Sine function","Cosine function","Tangent function","Exponential function","Exponential function","The others are trigonometric functions"
"Chandler Bing","Janice Litman","Rachel Green","Ross Geller","Janice Litman","The others are part of the main cast of Friends."
"The Beryl Coronet","The Boscombe Valley Mystery","The Man with the Twisted Lip","A Study in Scarlet","A Study in Scarlet","The others are short stories in The Adventures of Sherlock Holmes"
"Honshu","Shikoku","Crete","Sicily","Sicily","The others are in Japan."
"Via Appia","Via Augusta","Route 66","Silk Road","Silk Road","The others are named with the word ""Via"""
"Ned Stark","Robb Stark","Joffrey Baratheon","Jon Snow","Joffrey Baratheon","The others are legitimate Stark children"
"Bajoran","Vulcan","Borg","Ferengi","Ferengi","The others are species that have been part of the United Federation of Planets."
"Paul Cezanne","Henri Matisse","Wassily Kandinsky","Pablo Picasso","Pablo Picasso","The others are not Spanish artists."
"William Shakespeare","Christopher Marlowe","Virginia Woolf","J.K. Rowling","J.K. Rowling","The others are from the Elizabethan era"
"Sam Smith","Lorde","Linkin Park","Adele","Linkin Park","The others are solo artists"
"James Monroe","John Quincy Adams","William McKinley","Benjamin Harrison","Benjamin Harrison","The others are on $5000 bills"
"Mouse","Tank","Cypher","Rose","Rose","The others are technology related."
"Thunderstorm","Blizzard","Tornado","Earthquake","Earthquake","The others are atmospheric phenomena"
"Banana Split","Banana Cream Pie","Strawberry Shortcake","Banana Bread","Strawberry Shortcake","The others are made with bananas."
"Gallium","Indium","Aluminum","Iron","Iron","The others are post-transition metals."
