Luke Skywalker,Anakin Skywalker,Han Solo
The Da Vinci Code,Angels & Demons,The Lord of the Rings
SZA,Cardi B,Ed Sheeran
Spanish Cuisine,Mexican Cuisine,German Cuisine
Gymnastic Hoop,Gymnastic Rope,Gymnastic Vault
Pico della Mirandola,Marsilio Ficino,John Locke
Nobu Matsuhisa,Masaharu Morimoto,Jamie Oliver
Shortstop,Second Baseman,Baseball Cap
Shale,Mudstone,Granite
Elm,Ash,Spruce
100m Sprint,Marathon,High Jump
Steam Locomotive,Steamboat,Telephone
Wheat,Rice,Apple
Morgan Freeman,Jack Nicholson,Brad Pitt
The Office,Parks and Recreation,Breaking Bad
Appalachian,Alps,Ural
Schizophrenia,Bipolar Disorder,Cognitive Dissonance
Ural,Atlas,Andes
Slate,Schist,Quartzite
Itchy,Scratchy,Lisa Simpson
The Parthenon,The Acropolis,The Empire State Building
Paprika,Cayenne,Saffron
Bond Street,Via Montenapoleone,The Strip
Marmaduke,Blondie,Garfield
Peppermint,Spearmint,Curry Powder
Atmospheric Pressure,Barometric Pressure,Wind Speed
Symposium,Agora,Forum
Charles Dickens,Jane Austen,J.D. Salinger
Sonoran,Kalahari,Mojave
Mount Fuji,Mount Kilimanjaro,Victoria Falls
Earthrise,Tank Man,Moon Landing
Synchronized Swimming,Diving,Equestrian
Orlando Magic,Charlotte Hornets,San Antonio Spurs
Angel Falls,Niagara Falls,Yellowstone National Park
The Lusitania,The Titanic,The Dreadnought
Kings,Jets,Wild
Nightwing,Red Hood,Deathstroke
Nefertiti,Tutankhamun,Great Pyramid of Giza
Speed Flying,Paragliding,Ice Sailing
The Venus of Willendorf,The Venus de Milo,The Thinker
New Orleans Saints,Atlanta Falcons,Minnesota Vikings
Oxygen,Sulfur,Selenium
Cavendish Banana,Plantain Banana,Honeycrisp Apple
Lebanese Cuisine,Greek Cuisine,Japanese Cuisine
Parsley,Dill,Star Anise
Venus,Mars,Thor
The Hagia Sophia,The Blue Mosque,The Niagara Falls
Red Wine,White Wine,Milk
Two-Face,The Riddler,Green Arrow
Thar,Sahara,Gobi
Asteroid,Comet,Meteor
Azkaban,Ministry of Magic,Gringotts
Genghis Khan,Kublai Khan,Cleopatra
A$AP Rocky,Tyler the Creator,Nipsey Hussle
Roman Republic,Roman Empire,Byzantine Empire
Victoria Falls,Angel Falls,Great Wall of China
Sentinels,Squids,The Keymaker
Alexandria Safe-Zone,Hilltop Colony,Terminus
Blacksmith,Farrier,Baker
Queen Elizabeth I,Queen Victoria,George Washington
Nikola Tesla,Thomas Edison,Alexander Graham Bell
Consonance,Dissonance,Monotone
Tweety,Sylvester,Goofy
Troy McClure,Krusty the Clown,Marge Simpson
Lightning,Hurricanes,Golden Knights
King Arthur,Charlemagne,Isaac Newton
Karl Marx,Friedrich Engels,William Shakespeare
Riesling (Germany),Gewürztraminer (Germany),Riesling (New Zealand)
Emmett Till,Four Little Girls,JFK Assassination
Mulan,Mushu,Belle
Triceratops,Diplodocus,Cave bear skull
Centurion,Praetorian,Samurai
Binary Tree,Linked List,Hash Table
The Millau Viaduct,The Vasco da Gama Bridge,The Charles Bridge
The Pyramids of Giza,The Sphinx,The Eiffel Tower
Alexander the Great,Genghis Khan,Abraham Lincoln
Goblet of Fire,Triwizard Cup,Philosopher's Stone
Gold Coast,Ivory Coast,Amalfi Coast
Limestone,Dolomite,Obsidian
Zurich,Geneva,Toronto
Mustard Seeds,Fenugreek Seeds,Bay Leaves
Raphael,Michelangelo,Titian
The Last Supper,The Birth of Venus,The Persistence of Memory
Tom Riddle,Lord Voldemort,Nagini
Java,Sumatra,Borneo
Tempura,Sushi,Chicken Parmesan
Fig,Olive,Maple
Whole Step,Half Step,Leap
Brad Pitt,Leonardo DiCaprio,Johnny Depp
Yoda,Mace Windu,Chewbacca
The Empire Strikes Back,Return of the Jedi,The Terminator
The Book of the Courtier,The Prince,The Wealth of Nations
Hickory,Pecan,Maple
Veto Power,Executive Order,Judicial Review
Port (Portugal),Madeira (Portugal),Port (Australia)
Liu Xiaobo,Shirin Ebadi,Paul L. Modrich
Stinky Tofu,Limburger Cheese,Roquefort Cheese
Cleopatra,Nefertiti,Joan of Arc
Melody,Harmony,Rhythm
Iron Throne,Dragonstone,The Eyrie
The Girl with a Pearl Earring,The Night Watch,The Arnolfini Portrait
Brave New World,1984,The Lord of the Rings
The Naval Treaty,The Greek Interpreter,The Gloria Scott
Raphael,Donatello,Rembrandt
Jay Z,Eminem,Alicia Keys
Gazpacho,Paella,Pizza Margherita
Avalanche,Sabres,Golden Knights
Julian,Jovian,Caligula
Dill,Fennel,Cayenne
Mendelssohn,Haydn,Chopin
Enchiladas,Tacos,Blini
Melbourne,Sydney,Jakarta
Centurion,Legionary,Samurai
Mozart,Haydn,Tchaikovsky
Gettysburg Address,Second Inaugural Address,I Have a Dream speech
Green Lantern,Flash,Lex Luthor
Sputnik,Laika,U-2 Incident
Trajan's Column,Arch of Constantine,Eiffel Tower
Democrat,Republican,Libertarian
Galapagos Islands,Madagascar,Mount Vesuvius
Silver Surfer,Green Lantern,Iron Fist
Peruvian Cuisine,Mexican Cuisine,French Cuisine
Stokely Carmichael,Huey P. Newton,J. Edgar Hoover
Atlantic Ocean,Arctic Ocean,Gulf of Guinea
Senate,House of Representatives,Supreme Court
Better Call Saul,Breaking Bad,Friends
Telephone,Telegraph,Spinning Jenny
Botticelli,Titian,Dali
Orville Wright,Wilbur Wright,George Eastman
Strikeout,Walk,Baseball Bat
Cotton Gin,Spinning Jenny,Telegraph
Andrew Jackson,Martin Van Buren,Dwight D. Eisenhower
Nikola Tesla,Michael Faraday,James Watt
Guy Fieri,Rachael Ray,Ferran Adrià
Sonoran,Mojave,Sahara
Pacific Ocean,Southern Ocean,Red Sea
Marco Polo,Ibn Battuta,Christopher Columbus
Zion,The Nebuchadnezzar,The Merovingian
Saffron,Turmeric,Basil
Ancient China,Ancient Japan,Ancient Egypt
Leonardo da Vinci,Michelangelo,Isaac Newton
Auschwitz,Dachau,Alcatraz
Australia,Antarctica,Nile River
Mediterranean Sea,Red Sea,Rocky Mountains
Philadelphia 76ers,Boston Celtics,LA Clippers
Real numbers,Imaginary numbers,Natural numbers
Buddha,Confucius,Jesus
The Six Napoleons,The Three Students,The Black Peter
Nuremberg Trials,Tokyo Trials,Geneva Conventions
Tammy Wynette,George Jones,Usher
Drogon,Ghost,Nymeria
Athena,Apollo,Thor
Black Mission Fig,Brown Turkey Fig,Green Grapes
Open Hearth Furnace,Bessemer Process,Sewing Machine
Nazgul,Orcs,Ents
Capitalism,Socialism,Mercantilism
Berlin Blockade,Berlin Wall,Korean War
Battle of Waterloo,Battle of Hastings,Battle of Normandy
Open Hearth Furnace,Bessemer Process,Sewing Machine
Eucalyptus,Tea Tree,Palm
Arya Stark,Sansa Stark,Brienne of Tarth
Civet Coffee,Black Ivory Coffee,Matcha Tea
The Hangover,Due Date,The Social Network
Southern Ocean,Arabian Sea,Pacific Ocean
Great Wall of China,Forbidden City,Eiffel Tower
Normandy,Iwo Jima,Berlin
Pine Tree,Oak Tree,Rose
Deja Vu,Glitch in the Matrix,Bullet Time
Bletchley Park,Pentagon,Sydney Opera House
Pharaoh,Vizier,Obelisk
Africa,Europe,Australia
Estates-General,National Assembly,Jacobin Club
Logic,Chance the Rapper,DMX
Chinese Cultural Revolution,Russian Revolution,Cuban Revolution
Groundskeeper Willie,Otto Mann,Principal Skinner
Market Economy,Command Economy,Mixed Economy
Spiderman,Ant-Man,Hulk
American Gothic,The Persistence of Memory,The Girl with a Pearl Earring
Pierre-Auguste Renoir,Edgar Degas,Mary Cassatt
Iguanodon,Parasaurolophus,Fossilized shark tooth
Benin Bronzes,Ife art,Greek sculpture
Carolina Panthers,Jacksonville Jaguars,San Francisco 49ers
The King's Speech (2010),Argo (2012),The Grand Budapest Hotel (2014)
Star Wars: Episode IV,Jaws,The Exorcist
Gneiss,Marble,Shale
Catherine the Great,Peter the Great,Martin Luther
Tempranillo (Spain),Garnacha (Spain),Tempranillo (Portugal)
Haydn,Schubert,Brahms
Carmenere (Chile),Cabernet Sauvignon (Chile),Carmenere (Italy)
Vodka,Whiskey,Lemonade
Rosemary,Thyme,Cardamom
Gamora,Nebula,Star-Lord
The Burj Khalifa,The Petronas Towers,The Great Wall of China
Infinite series,Finite series,Matrix
Nutmeg,Mace,Turmeric
Gymnastic Grips,Gymnastic Chalk,Gymnastic Springboard
Steam Hammer,Steam Engine,Telegraph
Telegraph,Telephone,Power Loom
Beef Stroganoff,Blini,Chicken Tikka Masala
Ralph Wiggum,Milhouse,Santa's Little Helper
Joan of Arc,Boudica,Benjamin Franklin
Jerusalem,Tel Aviv,New York
Trampoline,Pommel Horse,400m Sprint
Hundred Years War,Thirty Years War,Cold War
The Parthenon,The Acropolis,The Great Barrier Reef
Hemlock,Yew,Beech
Winged Victory of Samothrace,The Discobolus,The Statue of Liberty
George Strait,Alan Jackson,Bruno Mars
Marjoram,Oregano,Nutmeg
The Underground Railroad,The Fugitive Slave Act,The Prohibition Act
Cypress,Cedar,Oak
Meteor Shower,Comet,Asteroid
Batman,Robin,Spiderman
Denver Nuggets,Portland Trail Blazers,Miami Heat
Ra's al Ghul,Scarecrow,Batwoman
Lois Lane,Alfred Pennyworth,Poison Ivy
Ant,Bee,Butterfly
The Hobbit,The Lord of the Rings,Harry Potter
Iguazu Falls,Niagara Falls,Mount Everest
Steamboat,Steam Locomotive,Cotton Gin
Velocity,Acceleration,Momentum
Polar Bear,Grizzly Bear,Polar Fox
Bob Dylan,Bruce Springsteen,The Chainsmokers
Daryl's Crossbow,Michonne's Katana,Carl's Hat
Khao San Road,Bourbon Street,Hollywood Boulevard
The Leaning Tower of Pisa,The Eiffel Tower,The Petronas Towers
Bacteria,Virus,Fungus
Quicksilver,Flash,Black Canary
Tarragon,Anise,Cumin
Patella,Humerus,Femur
Byzantine Empire,Ottoman Empire,British Empire
Nickel,Palladium,Copper
Dolomite,Chert,Rhyolite
Root Beer,Cola,Orange Juice
Ginger,Turmeric,Parsley
Ulna,Radius,Femur
Horus,Ra,Hieratic
Copper,Silver,Zinc
The Starry Night,The Scream,American Gothic
Gabbro,Diorite,Flint
Sine function,Cosine function,Exponential function
Chandler Bing,Janice Litman,Rachel Green
Spaghetti Bolognese,Pizza Margherita,Tacos
The Beryl Coronet,The Boscombe Valley Mystery,The Man with the Twisted Lip
Honshu,Shikoku,Crete
Via Appia,Via Augusta,Route 66
Ned Stark,Robb Stark,Joffrey Baratheon
Bajoran,Vulcan,Borg
Paul Cezanne,Henri Matisse,Wassily Kandinsky
William Shakespeare,Christopher Marlowe,Virginia Woolf
Martin Luther King Jr.,Mahatma Gandhi,Adolf Hitler
Machu Picchu,Petra,The Great Barrier Reef
Sam Smith,Lorde,Linkin Park
James Monroe,John Quincy Adams,William McKinley
Mouse,Tank,Cypher
Thunderstorm,Blizzard,Tornado
Banana Split,Banana Cream Pie,Strawberry Shortcake
Gallium,Indium,Aluminum
Woodpecker,Kingfisher,Ostrich
Vixen,Mera,The Joker
Scarlet Witch,Vision,Spiderman
Mastaba,Step Pyramid,Rosetta Stone
Leonardo da Vinci,Michelangelo,Rembrandt
The Anaconda Plan,The March to the Sea,The Manhattan Project
Benjamin Harrison,William McKinley,Thomas Jefferson
Athens,Rome,Ankara
French First Republic,French Second Republic,French Third Republic
Andrew Johnson,Ulysses S. Grant,Richard Nixon
Alcántara Bridge,Ponte Sant'Angelo,Gateshead Millennium Bridge
The Tower of London,The British Museum,The Burj Khalifa
Kitesurfing,Windsurfing,Base Jumping
Pink,Katy Perry,The Weeknd
Eagles,Wargs,Oliphaunts
African elephant,African lion,Siberian tiger
Benjamin Franklin,John Adams,Louis XVI
Brazilian Cuisine,Argentinian Cuisine,Thai Cuisine
Snowkiting,Kitesurfing,Ice Climbing
Gymnastics Leotard,Gymnastics Shoes,Gymnastics Ribbon
Sumo,Judo,Wing Chun
Rockies,Carpathian,Alps
Impressionism,Cubism,Protestant Reformation
Lil Wayne,Snoop Dogg,Dr. Dre
Femur,Tibia,Humerus
Cleopatra,Queen Victoria,George Washington
Zinc,Cadmium,Gallium
Gabbro,Basalt,Marble
The Chesapeake Bay Bridge,The Lake Pontchartrain Causeway,The Royal Gorge Bridge
Stomach,Intestine,Lung
Vision,Scarlet Witch,Cyborg
Sequoia,Oak,Banana
Justin Timberlake,U2,Coldplay
Canberra,Wellington,Jakarta
The Sahara Desert,The Mojave Desert,Mount Kilimanjaro
Roman Senate,Roman Consul,British Parliament
Black Hole,Neutron Star,White Dwarf
Peanuts,Garfield,Family Circus
SSD,HDD,RAM
Bit,Byte,Pixel
Hanbok,Kimono,Sari
Young Thug,DaBaby,T.I.
Dexter,Breaking Bad,How I Met Your Mother
James Clerk Maxwell,Heinrich Hertz,Eli Whitney
Steam Locomotive,Steam Engine,Sewing Machine
Daffy Duck,Porky Pig,Minnie Mouse
Linkin Park,Papa Roach,Fleetwood Mac
Pink Floyd,Led Zeppelin,Foo Fighters
Gratian,Valentinian II,Nero
Taekwondo,Boxing,Kendo
Civil Rights Act of 1957,Civil Rights Act of 1960,Civil Rights Act of 1866
Spleen,Kidney,Liver
Sideshow Mel,Sideshow Bob,Marge Simpson
Enrico Fermi,Marie Curie,Thomas Edison
African Buffalo,Water Buffalo,Buffalo Weaver
The Claimers,The Scavengers,Hilltop Colony
Nelson Mandela,Mother Teresa,Attila the Hun
Potassium,Rubidium,Gallium
Tomato Juice,Carrot Juice,Milk
Sutton Hoo Helmet,Mask of Tutankhamun,Lascaux Cave Paintings
Las Ramblas,Laugavegur,Bourbon Street
The Statue of Liberty,Big Ben,Taj Mahal
Ureter,Urethra,Fallopian Tube
Monsoon,Trade Winds,Jet Stream
The Sphinx,Stonehenge,Christ the Redeemer
Mordor,Isengard,Rohan
Treebeard,Tom Bombadil,Radagast
Europe,Australia,Antarctica
Louis XVIII,Louis XVI,Louis XVII
Jamaican Cuisine,Indian Cuisine,Italian Cuisine
Arrested Development,Brooklyn Nine-Nine,Game of Thrones
Beat Generation,Lost Generation,Industrial Revolution
Chicken Tikka Masala,Tandoori Chicken,Gazpacho
Atlantic Ocean,Arctic Ocean,Sahara Desert
The Avengers,Iron Man,The Dark Knight
Amphora,Kylix,Urn
Gutenberg's Printing Press,The compass,The telescope
Battle of Midway,Battle of Guadalcanal,Battle of Hastings
The White House,The Buckingham Palace,The Burj Khalifa
Albariño (Spain),Tempranillo (Spain),Albariño (Portugal)
Agile,Scrum,Python
Camille Pissarro,Alfred Sisley,Paul Gauguin
Galapagos,Falkland Islands,Bermuda
The Seven Mile Bridge,The Itaipu Dam,The New River Gorge Bridge
Violin,Cocaine,Morphine
Metallica,Slayer,Queen
Cotton Gin,Telegraph,Telephone
Animal Farm,1984,The Great Gatsby
Lyre,Aulos,Harp
Louis XIV,Henry VIII,Leonardo da Vinci
Captain Cold,Reverse Flash,The Flash
Septimius Severus,Caracalla,Trajan
Mr. Burns,Smithers,Chief Wiggum
RV,Pontiac Aztek,Chrysler 300 SRT8
Ashanti Empire,Zulu Kingdom,Roman Empire
Sycamore,London Plane,Pine
North America,South America,Asia
Huell Babineaux,Kuby,Mike Ehrmantraut
Vespasian,Titus,Marcus Aurelius
Titanium,Zirconium,Vanadium
Designated Hitter,Pinch Runner,Baseball Glove
Nile Crocodile,Saltwater Crocodile,Komodo Dragon
Wall-E,Up,Inglourious Basterds
Frances McDormand,Hilary Swank,Nicole Kidman
Orchid,Lily,Pine
Pink Lady Apple,Braeburn Apple,Red Banana
Robert De Niro,Dustin Hoffman,Johnny Depp
The Matrix,The Matrix Revolutions,Speed
Great Barrier Reef,Amazon Rainforest,Lake Baikal
The Birth of Venus,Venus and Mars,The Night Watch
Tom Colicchio,Padma Lakshmi,Martin Yan
Goku,Vegeta,Naruto
Cactus,Fern,Pine Tree
George Orwell,Aldous Huxley,Charles Dickens
Schumann,Beethoven,Vivaldi
Lisbon,Dublin,Madrid
Ernest O. Lawrence,Maria Goeppert-Mayer,Gabriel Garcia Marquez
Heart,Kidney,Liver
The English Patient (1996),Shakespeare in Love (1998),A Beautiful Mind (2001)
French First Republic,French Second Republic,French Consulate
The Pieta by Michelangelo,The Discobolus of Myron,The Starry Night
Central Powers,Allied Powers,Axis Powers
Normandy,Iwo Jima,Sydney
Bangkok,Phuket,Berlin
The Angel of the North,The Ushiku Daibutsu,The Mona Lisa
Bipartisan,Partisan,Nonpartisan
Green Bay Packers,Pittsburgh Steelers,Dallas Cowboys
Heston Blumenthal,Marco Pierre White,Wolfgang Puck
Djoser,Khufu,Hyksos
Tragedy Plays,Comedy Plays,Mystery Plays
Cate Blanchett,Sally Field,Emma Stone
Black Panther,Spiderman,Doctor Strange
Dead Sea Scrolls,Voynich Manuscript,Antikythera Mechanism
The Venus of Willendorf,The Statue of Zeus at Olympia,The Lincoln Memorial
Berlin Wall,Iron Curtain,Eiffel Tower
Rudyard Kipling,Winston Churchill,Ernest O. Lawrence
John F. Kennedy,Lyndon B. Johnson,Richard Nixon
Louis Braille,Alexander Graham Bell,Thomas Edison
NATO,United Nations,World Health Organization
Dacite,Rhyolite,Chert
RAID,SCSI,HDMI
Senate,Consul,Pharaoh
Quark,Lepton,Boson
Gorilla Grodd,Sinestro,Wonder Girl
Nanjing Road,Wangfujing,Grafton Street
The Nazca Lines,The Uffington White Horse,The Voynich Manuscript
Quark,Rom,Data
Ancient Egypt,Roman Empire,Aztec Empire
Mount Rushmore,The Grand Canyon,The Louvre
Justin Bieber,Selena Gomez,Imagine Dragons
Sunflower,Rose,Oak Tree
Gymnastics Bar,Gymnastics Beam,Gymnastics Chalk
Bruins,Sabres,Canucks
Banana,Coconut,Oak
Brachiosaurus,Stegosaurus,Megalodon tooth
4x100m Relay,4x400m Relay,1500m
Skateboarding,Snowboarding,Mountain Biking
Veins,Arteries,Capillaries
Microeconomics,Macroeconomics,Econometrics
Brock Cantillo,Holly White,Walter White Jr.
D-Day,Operation Barbarossa,Manhattan Project
Solvay Conference,A Man on the Moon,The Beatles’ Abbey Road
Vector,Matrix,Set
Ancient Japan,Ancient China,Ancient Greece
Bread,Taxes,Estates
OpenGL,DirectX,Adobe Illustrator
Clavicle,Scapula,Sternum
The Ushiku Daibutsu,The Angel of the North,The Girl with a Pearl Earring
Stockholm Syndrome,Cognitive Dissonance,Bipolar Disorder
Gregor Mendel,James Watson,Nikola Tesla
John Tyler,James K. Polk,Abraham Lincoln
Book of Gates,Book of Caverns,Lotus
The Great Fear,The Thermidorian Reaction,The Reign of Terror
Sea Cucumber,Jellyfish,Lobster
Firebolt,Nimbus 2000,Thestral
Migrant Mother,Lunch Atop a Skyscraper,Afghan Girl
Egyptian Pyramids,Mayan Pyramids,Roman Colosseum
Maurya Empire,Persian Empire,Mayan Civilization
Plesiosaur,Mosasaur,Woolly rhinoceros
Freedom Rides,March on Washington,Bay of Pigs Invasion
John Hancock,Robert Morris,King Louis XVI
Red Raspberry,Black Raspberry,Yellow Peach
Hadrian,Trajan,Constantine
Lemon Tea,Green Tea,Coffee
Hawkman,Cyborg,Black Adam
Lute,Harpsichord,Saxophone
The Sumerian King List,The Code of Hammurabi,The Lion Man of the Hohlenstein Stadel
Alexander the Great,Genghis Khan,Nelson Mandela
The Last Supper,The Arnolfini Portrait,American Gothic
Amazon Rainforest,Sahara Desert,Galapagos Islands
Hershel Greene,Maggie Greene,Daryl Dixon
Phaser,Tricorder,Communicator
Delphi,Olympia,Rome
Emperor Penguin,King Penguin,Arctic Fox
Glorious Revolution,French Revolution,Industrial Revolution
Collective Unconscious,Archetypes,Conditioned Stimulus
John Legend,Ed Sheeran,Maroon 5
The Prison,The Farm,The Sanctuary
The Hunger Games,Divergent,The Catcher in the Rye
Joey Tribbiani,Chandler Bing,Mike Hannigan
Art Deco,Art Nouveau,French Revolution
Baker Street,221B,Scotland Yard
Tom,Jerry,Scooby Doo
Magna Carta,Bill of Rights,Eiffel Tower
Queen Isabella I,Queen Elizabeth I,George Washington
Baseball Cleats,Baseball Helmet,Baseball Bat
The Triple Entente,The Triple Alliance,The Non-Aligned Movement
Ancient Sumer,Ancient Egypt,Ancient China
Venice Canals,Amsterdam Canals,The Sahara Desert
The Persistence of Memory,Guernica,The Arnolfini Portrait
Hurdles,Steeplechase,Javelin Throw
The Velvet Underground,The Stooges,Muse
Nero,Caligula,Marcus Aurelius
Containment,Domino Theory,Sputnik Launch
Valley Forge,Morristown,Versailles
Karl Benz,Henry Ford,Eli Whitney
Heraldry,Coat of Arms,Flag
Seven of Nine,Data,Worf
Toby Keith,Trace Adkins,Katy Perry
Erwin Rommel,George S. Patton,Albert Einstein
Mochi,Tempura Ice Cream,Creme Brulee
Chives,Scallions,Cloves
Valley of the Kings,Valley of the Queens,Cartouche
Ethiopian Christianity,Coptic Christianity,Roman Catholicism
The Doors,The Who,Pearl Jam
Chicken Parmesan,Spaghetti Bolognese,Beef Bourguignon
Caucus,Primary,Referendum
Gerrymandering,Redistricting,Census
Maslow's Hierarchy of Needs,Pavlov's Dogs,Skinner's Box
U-boat,Bismarck,HMS Hood
The Birth of Venus,American Gothic,The Persistence of Memory
Loving v. Virginia,"Heart of Atlanta Motel, Inc. v. United States",Roe v. Wade
The Decameron,The Divine Comedy,Macbeth
Julia Child,Jacques Pepin,Ken Hom
Zorbing,Sphereing,Canoeing
Corn,Wheat,Apple
Booster Gold,Shazam,Solomon Grundy
Chicago Bears,Green Bay Packers,Miami Dolphins
Cincinnati Bengals,Jacksonville Jaguars,Carolina Panthers
War Machine,Iron Man,Hulk
Nile River,Amazon River,Mount Vesuvius
Michael Symon,Bobby Flay,Heston Blumenthal
The Far Side,Doonesbury,Cathy
Pusha T,YG,Ludacris
Savate,Kickboxing,Aikido
Arms Race,Space Race,Bay of Pigs Invasion
War and Peace,Anna Karenina,Pride and Prejudice
Christ the Redeemer,The Great Sphinx,Winged Victory of Samothrace
Wiz Khalifa,Rick Ross,Big Sean
Mitosis,Meiosis,Photosynthesis
Mount Fuji,Mount Kilimanjaro,Sahara Desert
Spongebob,Patrick Star,Dora
The Entombment,The Coronation of the Virgin,The Scream
The Enlightenment,Romanticism,Neoclassicism
The Blue Carbuncle,The Speckled Band,The Red-Headed League
Korean Cuisine,Japanese Cuisine,French Cuisine
Padmé Amidala,Leia Organa,Rey
The Terror of War,The Burning Monk,The Hindenburg Disaster
Pikachu,Charizard,Totoro
Chord Progression,Key Change,Time Change
Arctic Ocean,Tasman Sea,Atlantic Ocean
Grand Canyon,Yellowstone National Park,Mediterranean Sea
African Tribal Wars,Mfecane,World War II
Declaration of the Rights of Man and Citizen,Civil Constitution of the Clergy,Napoleonic Code
Atlantic Ocean,Caribbean Sea,Pacific Ocean
Gymnastic Beam,Gymnastic Bar,Gymnastic Club
Medici Family,Borgia Family,Tudor Family
Fennel Seeds,Caraway Seeds,Black Pepper
The Architect,The Oracle,Agent Smith
Bald Eagle,Golden Eagle,Peregrine Falcon
Martian Manhunter,Superman,Batman
Nerva,Trajan,Nero
Legato,Staccato,Vibrato
Deerstalker hat,Pipe,Magnifying glass
The Clash,Sex Pistols,Radiohead
Concord Grapes,Thompson Seedless Grapes,Watermelon
Linux,Windows,Android
The Reichenbach Fall,The Final Problem,A Scandal in Bohemia
Benjamin Franklin,Thomas Edison,Louis Pasteur
Seattle Seahawks,Philadelphia Eagles,Denver Broncos
Presidential Debate,State of the Union Address,Inauguration Speech
Power Loom,Steam Engine,Telephone
Cyprus,Crete,Malta
Andes,Himalayas,Atlantic Ocean
Treaty of Tordesillas,Treaty of Westphalia,Magna Carta
DNA,Protein,Lipid
Dallas Cowboys,Houston Texans,Philadelphia Eagles
Jackson Pollock,Mark Rothko,Andy Warhol
