"obj_1","obj_2","obj_3","obj_4","odd","reason_for_similarity"
"Via del Corso, Via Veneto, Sunset Strip, Champs-Élysées, Sunset Strip, The others are in Italy.",,,,,
"Colosseum","Pantheon","Eiffel Tower","Sydney Opera House","Eiffel Tower","The others are ancient Roman architectures"
"Luke Bryan","Jason Aldean","Shawn Mendes","Adele","Shawn Mendes","The others are country music artists"
"Huntress, Black Lightning, Killer Croc, Bruce Wayne, Bruce Wayne, The others are characters with superpowers.",,,,,
"Humanism","Individualism","Feudalism","Capitalism","Capitalism","The others are philosophical ideologies"
"Wuthering Heights","Pride and Prejudice","The Great Gatsby","1984","1984","The others are love stories"
"Natalie Portman","Mila Kunis","Keira Knightley","Emma Watson","Emma Watson","The others have played Star Wars characters."
"Cairo","Athens","Pretoria","Sydney","Sydney","The others are capitals of countries in the Eastern Hemisphere"
"Juniper","Cypress","Maple","Pine","Pine","The others are deciduous trees"
"New York Jets","New England Patriots","Green Bay Packers","Buffalo Bills","Buffalo Bills","The others are in the National Football Conference"
"Roman Numerals","Latin Alphabet","Cyrillic Alphabet","Morse Code","Morse Code","The others are writing systems used for languages"
"Tuvok, Spock, Scotty, Jean-Luc Picard, Scotty, The others are Vulcans.",,,,,
"Repression","Projection","Unconditioned Response","Conditioned Response","Unconditioned Response","The others are forms of defense mechanisms in psychology"
"Enterprise-D","Enterprise-E","Voyager","Millennium Falcon","Millennium Falcon","The others are Star Trek ships."
"Baker Street","Abbey Road","Lombard Street","Wall Street","Wall Street","The others are in the UK"
"Toni Morrison","Maya Angelou","Margaret Atwood","J.K. Rowling","J.K. Rowling","The others are American authors."
"Trinity","Oracle","Niobe","Morpheus","Oracle","The others are members of Morpheus's crew"
"Isobar","Isotherm","Anemometer","Barometer","Anemometer","The others are related to atmospheric pressure"
"Nebbiolo (Italy)","Sangiovese (Italy)","Nebbiolo (California)","Pinot Noir (France)","Pinot Noir (France)","The others are types of Nebbiolo."
"Woodrow Wilson","Georges Clemenceau","Vittorio Orlando","Winston Churchill","Winston Churchill","The others signed the Treaty of Versailles."
"Storm","Jean Grey","Robin","Wolverine","Robin","The others are members of X-Men."
"Tennessee Titans","Houston Texans","Arizona Cardinals","New York Giants","New York Giants","The others are located in states that were part of the Confederate States during the American Civil War."
"Buffalo Bills","Detroit Lions","Cleveland Browns","Chicago Bulls","Chicago Bulls","The others are NFL teams"
"Pompeii, Herculaneum, Athens, Machu Picchu, Athens, The others are Roman cities.",,,,,
"obj_3: Grüner Veltliner (California)",,,,,
"obj_4: Chardonnay (California)",,,,,
"odd: Zweigelt (Austria)",,,,,
"reason_for_similarity: The others are white wines",,,,,
"Malbec (France)","Malbec (Argentina)","Torrontés (Argentina)","Chardonnay (Australia)","Chardonnay (Australia)","The others are from countries that speak Spanish."
"The Prince by Machiavelli","The Courtier by Castiglione","The Canterbury Tales by Chaucer","The Art of War by Sun Tzu","The Canterbury Tales by Chaucer","The others are treatises on political and social strategies."
"Ted Beneke","Skyler White","Marie Schrader","Hank Schrader","Ted Beneke","The others are related by marriage."
"Thar","Patagonian","Kalahari","Amazon","Amazon","The others are deserts"
"obj_3: Sewing Machine",,,,,
"obj_4: Steam Iron",,,,,
"odd: Sewing Machine",,,,,
"reason_for_similarity: The others are powered by steam.",,,,,
"NAACP","SNCC","NASA","ACLU","NASA","The others are civil rights organizations"
"Newton's First Law","Newton's Second Law","Ohm's Law","Boyle's Law","Ohm's Law","The others are Newton's Laws of motion"
"Kang","Kodos","Bart Simpson","Lisa Simpson","Bart Simpson","The others are aliens in The Simpsons."
"Beast","Wolverine","Spider-Woman","Iron Man","Iron Man","The others are mutants"
"Pop Art","Op Art","Cubism","Industrial Revolution","Industrial Revolution","The others are art movements."
"Ankylosaurus","Spinosaurus","Woolly mammoth tusk","T-Rex Tooth","Woolly mammoth tusk","The others are dinosaur-related."
"Angkor Wat","Borobudur","Machu Picchu","The Colosseum","The Colosseum","The others are in Asia."
"Voting Rights Act of 1965","Fair Housing Act of 1968","Gulf of Tonkin Resolution","Civil Rights Act of 1964","Gulf of Tonkin Resolution","The others are related to civil rights."
"Perspective","Proportion","Cubism","Impressionism","Impressionism","The others are fundamental concepts in Art and Design."
"Hiroshima","Nagasaki","Berlin","Sydney","Sydney","The others are cities where atomic bombs were dropped."
"The League of Nations","The United Nations","The Red Cross","The World Health Organization","The Red Cross","The others are intergovernmental organizations."
"Sambo, Judo, Karate, Chess, Chess, The others are martial arts.",,,,,
"The Adventures of Tom Sawyer","Adventures of Huckleberry Finn","Pride and Prejudice","Moby Dick","Pride and Prejudice","The others are novels by Mark Twain"
"Petrarch","Dante","Shakespeare","Sophocles","Sophocles","The others are not Greek."
"Petrarch","Dante","Shakespeare","Cervantes","Shakespeare","The others wrote in Romance languages."
"Petrarch","Dante","Shakespeare","Hemingway","Hemingway","The others are pre-19th century authors."
"Petrarch","Dante","Shakespeare","J.K. Rowling","J.K. Rowling","The others are male authors."
"Petrarch","Dante","Shakespeare","Homer","Homer","The others are not blind."
"Petrarch","Dante","Shakespeare","Tolstoy","Tolstoy","The others are not Russian."
"Petrarch","Dante","Shakespeare","Dickens","Dickens","The others are not British."
"Petrarch","Dante","Shakespeare","Kafka","Kafka","The others are not German-speaking authors."
"Petrarch","Dante","Shakespeare","Twain","Twain","The others are not American."
"Petrarch","Dante","Shakespeare","Proust","Proust","The others are not French."
"Hector Salamanca","Tio Salamanca","Don Hector","Gus Fring","Gus Fring","The others are Salamancas."
"Stephen King","J.K. Rowling","Gabriel García Márquez","George Orwell","George Orwell","The others are living authors."
"Climate","Weather","Atmosphere","Geology","Geology","The others are related to meteorology"
"Venus","Mars","Mercury","Jupiter","Jupiter","The others are terrestrial planets"
"Marcus Samuelsson","Carla Hall","René Redzepi","Gordon Ramsay","Gordon Ramsay","The others are American."
"Hoplite","Phalanx","Legionnaire","Samurai","Samurai","The others are from ancient Mediterranean civilizations."
"Vikings","Normans","Celts","Spartans","Spartans","The others are from Northern Europe"
"Cotton Gin","Power Loom","Bessemer Process","Steam Engine","Steam Engine","The others are related to textile industry."
"Passeig de Gràcia","Avenue Montaigne","Michigan Avenue","River Thames","River Thames","The others are famous shopping streets."
"San Antonio Spurs","Miami Heat","LA Lakers","Golden State Warriors","Golden State Warriors","The others are named after elements or weather conditions"
"King Louis XVI","Czar Nicholas II","Mahatma Gandhi","Emperor Hirohito","Mahatma Gandhi","The others are monarchs."
"Socrates","Plato","Cicero","Aristotle","Cicero","The others are Greek philosophers."
"Pteranodon","Quetzalcoatlus","Cave lion skull","Saber-toothed","Cave lion skull","The others are pterosaurs."
"Parakeet","Budgie","Penguin","Sparrow","Penguin","The others are passerine birds"
"Black Forest Cake","German Chocolate Cake","Cannoli","Tiramisu","Cannoli","The others are cakes."
"Queen Elizabeth I","Queen Elizabeth II","Mao Zedong","Napoleon Bonaparte","Napoleon Bonaparte","The others are not French"
"The Creation of Adam","The Last Judgement","The Night Watch","The Mona Lisa","The Night Watch","The others are painted by Michelangelo"
"A Boogie wit da Hoodie","Kodak Black","Pitbull","Taylor Swift","Taylor Swift","The others are rappers."
"Archduke Franz Ferdinand","Gavrilo Princip","Adolf Hitler","Winston Churchill","Winston Churchill","The others are associated with World War I."
"Allosaurus","Carnotaurus","Tyrannosaurus Rex","Giant ground sloth claw","Giant ground sloth claw","The others are carnivorous dinosaurs."
"Riyadh","Abu Dhabi","Tehran","Tokyo","Tokyo","The others are capital cities in the Middle East"
"Estates-General, National Assembly, The Tennis Court Oath, The Bastille, The Bastille, The others are related to the formation of the French Republic.",,,,,
"The Buckingham Palace","The Tower Bridge","The Brandenburg Gate","The Great Wall of China","The Great Wall of China","The others are in Europe"
"Stars","Wild","Senators","Lightning","Lightning","The others are NHL teams"
"TIE Fighter, X-Wing, Star Destroyer, Millennium Falcon, X-Wing, The others are Imperial vehicles.",,,,,
"Reverend Lovejoy","Ned Flanders","Homer Simpson","Marge Simpson","Reverend Lovejoy","The others are members of the Simpson family."
"Eureka Lemon","Meyer Lemon","Key Lime","Black Cherry","Black Cherry","The others are Citrus"
"Bessemer Process","Open Hearth Furnace","Steamboat","Cotton Gin","Steamboat","The others are methods of steel production."
"Brasilia","Buenos Aires","Santiago","Tokyo","Tokyo","The others are in South America."
"Lando Calrissian","Han Solo","Poe Dameron","Anakin Skywalker","Anakin Skywalker","The others are not Force-sensitive"
"Black Bolt","Banshee","Daredevil","Wolverine","Wolverine","The others have sonic-based abilities"
"The Pantheon","The Colosseum","The Roman Forum","The Giza Necropolis","The Giza Necropolis","The others are in Rome."
"Kofi Annan","Henry Kissinger","Toni Morrison","Linus Torvalds","Linus Torvalds","The others are Nobel laureates."
"Weather Balloon, Weather Satellite, Weather Vane, Weather Forecast, Weather Forecast, The others are physical objects.",,,,,
"Red Wings","Capitals","Canucks","Lakers","Lakers","The others are NHL teams"
"Keitt Mango","Ataulfo Mango","Red Plum","Yellow Passionfruit","Red Plum","The others are Mangoes"
"obj_3: Roasting",,,,,
"obj_4: Chopping",,,,,
"odd: Chopping",,,,,
"reason_for_similarity: The others are cooking methods involving heat.",,,,,
"Cersei Lannister","Tyrion Lannister","Bran Stark","Jon Snow","Jon Snow","The others are not Targaryens."
"The White Tree, The Party Tree, The Old Man Willow, The Green Dragon Inn, The Green Dragon Inn, The others are trees.",,,,,
"Chewbacca","Wicket W. Warrick","Jar Jar Binks","C-3PO","C-3PO","The others are non-humanoid aliens"
"Atacama Desert","Sahara Desert","Galapagos Islands","Great Barrier Reef","Great Barrier Reef","The others are located on land."
"Minnesota Timberwolves","Memphis Grizzlies","LA Lakers","New England Patriots","New England Patriots","The others are NBA teams."
"Hagar the Horrible","B.C.","Blondie","Garfield","Garfield","The others are comic strips created before the 1970s"
"Cotton Gin, Spinning Jenny, Telegraph, Sewing Machine, Telegraph, The others are textile machines.",,,,,
"obj_3: Beth Greene",,,,,
"obj_4: Glenn Rhee",,,,,
"odd: Glenn Rhee",,,,,
"reason_for_similarity: The others are female characters from The Walking Dead.",,,,,
"The Great Sphinx of Giza","The Lion Man","The Last Supper","The Venus of Willendorf","The Last Supper","The others are sculptures depicting animals."
"Sewing Machine","Telephone","Steam Engine","Typewriter","Telephone","The others are manually operated."
"Jimmy Carter","Gerald Ford","George H. W. Bush","Richard Nixon","Richard Nixon","The others were never defeated in a Presidential Election"
"Anne Frank","Elie Wiesel","Mark Twain","J.K. Rowling","Mark Twain","The others are Holocaust survivors."
"Rosalind Franklin","Marie Curie","Vera Rubin","Albert Einstein","Albert Einstein","The others are female scientists."
"Bay of Pigs Invasion","Cuban Missile Crisis","Sputnik Launch","Apollo 11 Landing","Apollo 11 Landing","The others are related to the Cold War"
"Leo Tolstoy","Fyodor Dostoevsky","Franz Kafka","William Shakespeare","William Shakespeare","The others are Russian authors."
"Millennium Falcon","X-Wing","Death Star","AT-AT","AT-AT","The others are spacecrafts"
"The Last Supper","Mona Lisa","The Scream","The Persistence of Memory","The Persistence of Memory","The others are oil paintings"
"Ross Geller","Rachel Green","Mike Hannigan","Monica Geller","Mike Hannigan","The others are Gellers"
"Lungs","Heart","Brain","Liver","Liver","The others are in the circulatory system"
"Red Scare","McCarthyism","Sputnik Launch","Bay of Pigs Invasion","Sputnik Launch","The others are related to US domestic politics"
"The Vitruvian Man","David","The Scream","Starry Night","David","The others are paintings"
"Chopin","Schubert","Handel","Picasso","Picasso","The others are composers."
"Badminton","Squash","Archery","Shooting","Shooting","The others are racket sports"
"Manganese","Technetium","Iron","Helium","Helium","The others are transition metals"
"The Grapes of Wrath","Of Mice and Men","Pride and Prejudice","To Kill a Mockingbird","Pride and Prejudice","The others are written by American authors"
"Olympic Games","Pythian Games","Nemean Games","Roman Games","Roman Games","The others are Panhellenic Games"
"Julius Caesar","Augustus","George Washington","Napoleon Bonaparte","Napoleon Bonaparte","The others are not French."
"Irene Adler","Mary Morstan","Inspector Lestrade","John Watson","Irene Adler","The others are Watson's friends."
"The Mandalorian","WandaVision","The Big Bang Theory","Breaking Bad","Breaking Bad","The others are Disney+ productions"
"Indian Ocean","Arctic Ocean","Gulf of Mexico","Lake Superior","Lake Superior","The others are saltwater bodies"
"The Statue of Unity","The Spring Temple Buddha","The Night Watch","The Mona Lisa","The Mona Lisa","The others are outdoor monuments."
"Filibuster, Cloture, Veto, Legislation, Legislation, The others are methods to delay or stop a decision in a legislative process.",,,,,
"The Incredibles","Cars","The Departed","Toy Story","The Departed","The others are Pixar movies."
"Bull Market","Bear Market","Free Market","Black Market","Free Market","The others are types of financial markets"
"The Mask of Agamemnon","The Mask of Tutankhamun","The Rosetta Stone","The Bust of Nefertiti","The Rosetta Stone","The others are masks."
"The CN Tower","The Space Needle","The Pyramids of Giza","The Eiffel Tower","The Pyramids of Giza","The others are modern structures"
"Utah Jazz","Phoenix Suns","LA Lakers","New York Yankees","New York Yankees","The others are NBA teams"
"Iced Coffee","Iced Tea","Hot Tea","Hot Coffee","Hot Tea","The others are served cold."
"Mars","Jupiter","Odin","Neptune","Odin","The others are planets in the solar system."
"Aikido","Jiu Jitsu","Kickboxing","Chess","Chess","The others are Martial Arts"
"Latin","Italian","Greek","Mandarin","Mandarin","The others are Romance Languages"
"Minas Tirith","Rivendell","The Shire","Hogwarts","Hogwarts","The others are locations in Middle Earth."
"Shelob","Smaug","Balrog","Gandalf","Gandalf","The others are villains in Tolkien's universe"
"Gull","Tern","Owl","Bat","Bat","The others are birds"
"Gymnastic Mat, Gymnastic Beam, Gymnastic Leotard, Gymnastic Rings, Gymnastic Leotard, The others are Gymnastic Apparatus.",,,,,
"The Pieta","The Venus de Milo","The Little Mermaid","The Great Sphinx of Giza","The Great Sphinx of Giza","The others are made of marble"
"Milwaukee Bucks","Seattle SuperSonics","Miami Heat","Chicago Bulls","Chicago Bulls","The others are defunct NBA teams."
"Asia","Africa","Europe","Australia","Australia","The others are located in Eurasia."
"Mariana Trench","Great Blue Hole","Amazon River","Mount Everest","Amazon River","The others are underwater geographic features"
"Gymnastic Rope","Gymnastic Club","Gymnastic Beam","Gymnastic Mat","Gymnastic Mat","The others are used in rhythmic gymnastics"
"Egon Schiele","Gustav Klimt","Paul Gauguin","Pablo Picasso","Pablo Picasso","The others are Austrian."
"obj_3: Moroccan Cuisine",,,,,
"obj_4: Italian Art",,,,,
"odd: Italian Art",,,,,
"reason_for_similarity: The others are types of cuisines.",,,,,
"Meryl Streep","Nicole Kidman","Julia Roberts","Tom Hanks","Tom Hanks","The others are female actors"
"Carnaby Street","King's Road","Pennsylvania Avenue","The Shire","The Shire","The others are famous streets."
"obj_3: Apollo 11",,,,,
"obj_4: The Stonewall Riots",,,,,
"odd: Apollo 11",,,,,
"reason_for_similarity: The others are related to the Civil Rights Movement.",,,,,
"Ancient Greece","Roman Empire","Ancient India","French Empire","French Empire","The others are ancient civilizations"
"Cuban Cuisine","Spanish Cuisine","Japanese Cuisine","Italian Cuisine","Japanese Cuisine","The others are Latin based cuisines."
"King Cobra","Indian Cobra","King Penguin","King Salmon","King Penguin","The others are types of snakes."
"Fat Tony","Legs","Barney Gumble","Moe Szyslak","Barney Gumble","The others are members of Mafia."
"Gale Boetticher","Hector Salamanca","Skinny Pete","Walter White","Gale Boetticher","The others are involved in drug dealing"
"Meek Mill","Nicki Minaj","Lil Baby","Drake","Drake","The others are not Canadian"
"Florence","Venice","Paris","Tokyo","Tokyo","The others are in Europe"
"The Alhambra","The Mezquita of Cordoba","The Statue of Liberty","The Parthenon","The Statue of Liberty","The others are UNESCO World Heritage Sites"
"Niagara Falls","Victoria Falls","Angel Falls","The Dead Sea","The Dead Sea","The others are waterfalls"
"Ash Ketchum","Misty","Ben 10","Peter Parker","Ben 10","The others are from Pokemon"
"Black Canary","Bane","Flash","Zatanna","Bane","The others are users of magic."
"The Good","The Bad","The Ugly","A Fistful of Dollars","A Fistful of Dollars","The others are part of the 'Dollars Trilogy'."
"Pinot Gris (Oregon)","Pinot Noir (Oregon)","Pinot Gris (Alsace)","Cabernet Sauvignon (California)","Cabernet Sauvignon (California)","The others are types of Pinot."
"Moe Szyslak","Barney Gumble","Lenny Leonard","Homer Simpson","Homer Simpson","The others are bartenders."
"The Rialto Bridge, The Ponte Vecchio, The Banpo Bridge, The Eiffel Tower, The Eiffel Tower, The others are bridges.",,,,,
"Thomas Edison","Nikola Tesla","William Shakespeare","Albert Einstein","William Shakespeare","The others are inventors."
"Aurelian","Probus","Caligula","Cato","Cato","The others are Roman Emperors."
"Charlemagne","Louis XIV","George Washington","Julius Caesar","Julius Caesar","The others are not Romans."
"Democratic Socialism","Social Democracy","Libertarianism","Fascism","Fascism","The others are forms of political ideologies that advocate for personal freedoms and equality."
"Iliad","Odyssey","Aeneid","Beowulf","Beowulf","The others are Greek or Roman epics"
"obj_3: Consumption",,,,,
"obj_4: Charity",,,,,
"odd: Charity",,,,,
"reason_for_similarity: The others are forms of personal finance management.",,,,,
"Perspective in painting","Chiaroscuro","Cubism","Impressionism","Impressionism","The others are techniques that manipulate the perception of depth and dimension in art."
"Saruman","Sauron","Elrond","Gandalf","Elrond","The others are Istari"
"C++","C#","PHP","Swift","Swift","The others are C-based languages"
"The Motherland Calls","The Statue of Liberty","The Pieta","The Sphinx","The Sphinx","The others are made of metal"
"MySQL","MongoDB","TensorFlow","PostgreSQL","TensorFlow","The others are databases"
"Permutation","Combination","Division","Subtraction","Subtraction","The others are operations in Combinatorics."
"Andrea","Amy","Michonne","Daryl","Daryl","The others are female."
"Boromir","Faramir","Eomer","Gandalf","Eomer","The others are sons of Denethor II"
"Soundgarden","Alice In Chains","Nirvana","The Kinks","The Kinks","The others are grunge bands"
"Snoopy","Charlie Brown","Garfield","Mickey Mouse","Mickey Mouse","The others are comic strip characters"
"obj_3: Word",,,,,
"obj_4: Safari",,,,,
"odd: Word",,,,,
"reason_for_similarity: The others are web browsers.",,,,,
"Cabernet Franc (Loire Valley)","Chenin Blanc (Loire Valley)","Cabernet Franc (Argentina)","Malbec (Mendoza, Argentina)","Malbec (Mendoza, Argentina)","The others are Cabernet Franc."
"Papyrus","Hieroglyphics","Mummy","Rosetta Stone","Rosetta Stone","The others are exclusively Egyptian."
"Viggo Mortensen","Orlando Bloom","Elijah Wood","Ian McKellen","Ian McKellen","The others are members of the Fellowship of the Ring who use a sword."
"Mona Lisa","The Girl with a Pearl Earring","Guernica","The Starry Night","The Starry Night","The others are portraits of people."
"Dew","Frost","Rain","Snow","Snow","The others are forms of precipitation that do not solidify"
"Paris","Rome","Tokyo","Sydney","Tokyo","The others are in the Northern Hemisphere"
"Psychosexual Stages","Psychosocial Stages","Operant Conditioning","Classical Conditioning","Classical Conditioning","The others are theories proposed by Sigmund Freud"
"Doctor Strange","Scarlet Witch","Batgirl","Iron Man","Batgirl","The others are from Marvel Universe"
"Malala Yousafzai","Liu Xiaobo","Richard J. Roberts","Elon Musk","Richard J. Roberts","The others are recipients of the Nobel Peace Prize"
"Potato, Tomato, Banana, Carrot, Banana, The others are root vegetables.",,,,,
"Harpy Eagle","Steller's Sea Eagle","Harp Seal","Golden Eagle","Harp Seal","The others are types of Eagles"
"Mendelssohn","Dvorak","Mozart","Picasso","Picasso","The others are classical composers"
"H.P. Lovecraft","Edgar Allan Poe","Oscar Wilde","J.K. Rowling","J.K. Rowling","The others are 19th century authors"
"The Thinker","The Pieta","The Terracotta Army","The Scream","The Scream","The others are sculptures of humans."
"Simon Bolivar","George Washington","Socrates","Isaac Newton","Socrates","The others are military leaders."
"IPv4","IPv6","MAC","URL","URL","The others are networking hardware addresses."
"1984","Brave New World","The Lord of the Rings","To Kill a Mockingbird","The Lord of the Rings","The others are dystopian novels."
"Vitruvian Man","The Last Supper","Mona Lisa","Guernica","Guernica","The others are works by Leonardo da Vinci"
"Battle of the Bulge","Battle of Guadalcanal","Siege of Leningrad","Battle of Waterloo","Battle of Waterloo","The others are battles from World War II."
"Abstract Expressionism","Minimalism","Protestant Reformation","Cubism","Protestant Reformation","The others are art movements"
"Angelina Jolie","Brad Pitt","Jennifer Aniston","George Clooney","George Clooney","The others were married to each other."
"Akashi Kaikyo Bridge","Vasco da Gama Bridge","Pont du Gard","Eiffel Tower","Eiffel Tower","The others are bridges."
"Romanticism","Neoclassicism","Scientific Revolution","Industrial Revolution","Industrial Revolution","The others are art movements"
"James Joyce","Virginia Woolf","George Orwell","William Shakespeare","William Shakespeare","The others are 20th century authors."
"Handel","Haydn","Mozart","Debussy","Debussy","The others are Classical era composers."
"GitHub","BitBucket","GitLab","Slack","Slack","The others are code repositories"
"Time Signature","Key Signature","Tempo","Pitch","Pitch","The others are parameters that define the structure and speed of a piece of music."
"Carrie Underwood","Taylor Swift","Ariana Grande","Adele","Adele","The others are American"
"The Hound of the Baskervilles","A Study in Scarlet","The Sign of Four","To Kill a Mockingbird","To Kill a Mockingbird","The others are Sherlock Holmes novels."
"King","Queen","Knight","Rook","Rook","The others are human titles"
"Himalayas","Alps","Ural","Andes","Andes","The others are in Eurasia"
"Claudius","Nero","Hadrian","Julius Caesar","Julius Caesar","The others are not founders of the Roman Empire"
"Beetle Bailey","B.C.","Hagar the Horrible","Charlie Brown","Charlie Brown","The others are created by Mort Walker"
"Tibia","Fibula","Radius","Scapula","Scapula","The others are bones in the arm"
"Balance of Payments","Balance of Trade","Fiscal Balance","Balance Beam","Balance Beam","The others are economic indicators"
"Gobi","Patagonian","Mojave","Sahara","Patagonian","The others are deserts in North America."
"Bing Cherry","Rainier Cherry","Bartlett Pear","Granny Smith","Granny Smith","The others are types of stone fruits."
"Linear equation","Quadratic equation","Trigonometric equation","Chemical equation","Chemical equation","The others are mathematical equations"
"Loretta Lynn","Patsy Cline","Rihanna","Elton John","Elton John","The others are female singers."
"Beetle Bailey","Dilbert","Popeye","Charlie Brown","Charlie Brown","The others are military-themed characters."
"Greenland","Iceland","Sri Lanka","New Zealand","New Zealand","The others are islands."
"Ottoman Empire","Roman Empire","German Empire","British Empire","British Empire","The others are landlocked empires."
"obj_3: Friends",,,,,
"obj_4: The Big Bang Theory",,,,,
"odd: The Wire",,,,,
"reason_for_similarity: The others are sitcoms.",,,,,
"Rachel Green","Carol Willick","Monica Geller","Chandler Bing","Chandler Bing","The others are female"
"The Night King","White Walker","Wight","Jon Snow","Jon Snow","The others are beings created by The Night King"
"Merry","Pippin","Frodo","Gandalf","Gandalf","The others are Hobbits"
"Neptune","Uranus","Saturn","Mars","Mars","The others are gas giants."
"Merlot (Bordeaux)","Cabernet Sauvignon (Bordeaux)","Merlot (California)","Chardonnay (Burgundy)","Chardonnay (Burgundy)","The others are types of Merlot wine."
"The Green Mile","The Shawshank Redemption","The Godfather","Jurassic Park","Jurassic Park","The others are movies based on books by American authors."
"Fort Sumter","Fort McHenry","Fort Knox","Fort Collins","Fort Collins","The others are U.S. military forts."
"Lafayette","Napoleon Bonaparte","Louis XVI","Thomas Jefferson","Thomas Jefferson","The others are French."
"The Midnight Ride","The Long March","The March on Washington","The Great Escape","The Great Escape","The others are historical events associated with a March or Ride"
"Travis Scott","Lil Uzi Vert","50 Cent","Taylor Swift","Taylor Swift","The others are rappers"
"Steam Locomotive, Steamboat, Telephone, Steam Iron, Telephone, The others are powered by steam.",,,,,
"Power Loom","Spinning Jenny","Bessemer Process","Morse Code","Morse Code","The others are inventions related to the Industrial Revolution."
"Toga","Stola","Kimono","Poncho","Kimono","The others are of Roman origin"
"Canoe Slalom","Kayaking","Synchronized Swimming","Pole Vault","Pole Vault","The others are water sports"
"Paul Revere","Samuel Adams","Marquis de Lafayette","Benjamin Franklin","Marquis de Lafayette","The others are Founding Fathers of the United States."
"The Leaning Tower of Pisa","The Eiffel Tower","Mount Everest","The Great Wall of China","The Great Wall of China","The others are not man-made structures."
"The Godfather Part II","Apocalypse Now","The Shining","A Clockwork Orange","A Clockwork Orange","The others are based on books."
"Celine Dion","Madonna","Bruno Mars","Beethoven","Beethoven","The others are contemporary pop artists"
"Judo","Sambo","Muay Thai","Fencing","Fencing","The others are martial arts originated from Asia"
"The Pilate Stone","The Rosetta Stone","The Shroud of Turin","The Mona Lisa","The Mona Lisa","The others are historical artifacts with religious significance."
"Comic Book Guy","Milhouse","Bart Simpson","Marge Simpson","Comic Book Guy","The others are children in The Simpsons"
"Swedish Cuisine","Norwegian Cuisine","Chinese Cuisine","Japanese Cuisine","Chinese Cuisine","The others are Scandinavian cuisines."
"Tasmania","Kangaroo Island","New Zealand","Bora Bora","Bora Bora","The others are in Australasia"
"Sewing Machine","Telephone","Steam Engine","Electric Fan","Electric Fan","The others are inventions of the 19th century."
"Guillotine","Firing squad","Hanging","Electric chair","Firing squad","The others are methods of capital punishment that do not involve shooting."
"The Terror","The Directory","The Consulate","The Bastille","The Bastille","The others are forms of government."
"Cheesecake","Carrot Cake","Tiramisu","Baguette","Baguette","The others are cakes."
"Wagner","Dvorak","Vivaldi","Beethoven","Wagner","The others are not German"
"Tower Bridge","Sydney Harbour Bridge","Charles Bridge","Golden Gate Bridge","Charles Bridge","The others are suspension bridges."
"Churros","Empanadas","Baklava","Sushi","Sushi","The others are pastries"
"The Persistence of Memory","Mona Lisa","The Night Watch","Starry Night","Starry Night","The others are not painted by Vincent van Gogh"
"Corinthian Column","Doric Column","Ionic Column","Gothic Arch","Gothic Arch","The others are ancient Greek architectural orders"
"Dahomey Amazons","Zulu Impi","Roman Legion","Navy Seals","Navy Seals","The others are historical military units."
"Tatooine","Hoth","Endor","Coruscant","Coruscant","The others are not city planets"
"Cognitive Bias, Confirmation Bias, Operant Conditioning, Classical Conditioning, Classical Conditioning, The others are types of biases.",,,,,
"Gobi","Atacama","Thar","Amazon","Amazon","The others are Deserts"
"Bart Simpson, Homer Simpson, Peter Griffin, Eric Cartman, Eric Cartman, The others are characters from The Simpsons.",,,,,
