"obj_1","obj_2","obj_3","obj_4","odd","reason_for_similarity"
"Mount Shasta, Mount Hood, Mount Tai, Mount Vesuvius, Mount Vesuvius, The others are in North America.",,,,,
"Bengal","Savannah","Ragamuffin","Poodle","Poodle","The others are breeds of cats"
"Chimpanzee","Human","Banana","Pineapple","Pineapple","The others are primates"
"Mars Pathfinder","Mars Exploration Rover","Hubble Space Telescope","Voyager 1","Hubble Space Telescope","The others are Mars missions."
"Vacuum Cleaner","Carpet Cleaner","Juicer","Hair Dryer","Juicer","The others are used for cleaning."
"Learning to code","Becoming a surgeon","Watching a movie","Running a marathon","Watching a movie","The others require specialized training"
"Lady with an Ermine","Portrait of a Musician","The Last Supper","The Starry Night","The Starry Night","The others are works by Leonardo da Vinci"
"Sausage Pizza","Pepperoni Pizza","Chicken Nuggets","Margherita Pizza","Chicken Nuggets","The others are Pizzas"
"Cornish Rex","Devon Rex","Munchkin","Siamese","Siamese","The others are breeds of cats with a genetic mutation causing short legs"
"Bell Telephone Company","American Telephone & Telegraph Company","Western Union","Google","Google","The others are telecommunication companies founded in the 19th century."
"Analects","Mencius","Tao Te Ching","The Iliad","The Iliad","The others are Chinese texts."
"Canada","Australia","South Africa","Japan","Japan","The others are Commonwealth countries"
"Neverland Ranch","Encino House","Motown Records","Graceland","Motown Records","The others are residences of famous pop musicians."
"Stonefish","Pufferfish","Stingray","Clownfish","Clownfish","The others are venomous."
"Strudel","Turnover","Cinnamon Roll","Baguette","Baguette","The others are pastries with a sweet filling."
"Tennessee","Mississippi","Colorado","Alaska","Alaska","The others are contiguous U.S. states"
"Henry Ford Museum","Greenfield Village","Ford Island","The Louvre","The Louvre","The others are associated with Henry Ford"
"Daffodil","Hyacinth","White Snakeroot","Oak Tree","Oak Tree","The others are flowering plants"
"The Last Supper","The Adoration of the Magi","Vitruvian Man","The Birth of Venus","Vitruvian Man","The others are religious themed paintings"
"Margarita","Mojito","Milkshake","Martini","Milkshake","The others are alcoholic drinks"
"Guadalupe Mountains National Park","Carlsbad Caverns National Park","Everglades National Park","Statue of Liberty National Monument","Statue of Liberty National Monument","The others are National Parks located in the mainland United States"
"Marie Curie","Nikola Tesla","Thomas Edison","Isaac Newton","Isaac Newton","The others are inventors of electricity"
"Eclair","Profiterole","Sorbet","Baguette","Sorbet","The others are pastries"
"Planer","Chisel","Hammer","Screwdriver","Screwdriver","The others are striking tools"
"Dill","Basil","Saffron","Coriander","Saffron","The others are green herbs."
"Marie Curie","Wilhelm Conrad Röntgen","Antoine Henri Becquerel","Nikola Tesla","Nikola Tesla","The others are Nobel laureates in Physics."
"obj_3: Reading a magazine",,,,,
"obj_4: Running a marathon",,,,,
"odd: Running a marathon",,,,,
"reason_for_similarity: The others are creative activities",,,,,
"Continental Army","British Army","French Army","Roman Legion","Roman Legion","The others are from the 18th century."
"Tagliatelle","Angel Hair","Ziti","Baguette","Baguette","The others are types of pasta"
"Babylon","Memphis","Camelot","Atlantis","Atlantis","The others are real historical cities"
"Prosciutto","Salami","Gnocchi","Parmesan","Gnocchi","The others are types of Italian cured meats."
"Mars Odyssey","Mars Global Surveyor","Voyager 1","Mars Rover Opportunity","Voyager 1","The others are Mars missions."
"Dinaric Alps","Scandinavian Mountains","Karakoram","Mount Kilimanjaro","Mount Kilimanjaro","The others are in Eurasia"
"Lasagna, Carbonara, Bruschetta, Tiramisu, Tiramisu, The others are savory dishes.",,,,,
"Scooby-Doo","Shaggy","Tom","Jerry","Jerry","The others are characters from Scooby-Doo"
"Battle of Shiloh","Battle of Fort Sumter","Battle of Leipzig","Battle of Hastings","Battle of Leipzig","The others are American Civil War battles."
"Yunnan Tea","Keemun Tea","Chamomile Lavender Tea","Coffee Beans","Coffee Beans","The others are types of tea"
"Sticky Toffee Pudding","Bread Pudding","Rice Pudding","Banana Pudding","Banana Pudding","The others are made without fruit"
"Hand Axe","Battle Axe","Whip","Bow","Whip","The others are types of Axes"
"Mars 4","Mars 7","Pioneer 10","Voyager 2","Voyager 2","The others are unmanned spacecrafts that were launched by NASA"
"Blue Whale","Elephant","Mouse","Bald Eagle","Bald Eagle","The others are mammals."
"Lincoln's Penny","Lincoln's Five Dollar Bill","Lincoln's Statue","Lincoln's Logs","Lincoln's Logs","The others are real items related to Abraham Lincoln"
"Chimpanzee","Baboon","Orangutan","Capybara","Capybara","The others are primates"
"Neon Tetra","Cardinal Tetra","Goldfish","Clownfish","Clownfish","The others are freshwater fish"
"Chimpanzee","Bonobo","Gorilla","Orangutan","Orangutan","The others are African primates"
"Chai Tea","Masala Chai Tea","Oolong Tea","Green Tea","Green Tea","The others are types of fermented tea."
"Gewürztraminer","Riesling","Merlot","Chardonnay","Merlot","The others are white wines"
"Green Lantern","Aquaman","Hulk","Spiderman","Spiderman","The others are not primarily green."
"Mary Stilwell","Mina Miller","Nikola Tesla","Thomas Edison","Thomas Edison","The others are people Tesla was romantically involved with."
"Cleopatra","Brutus","Calpurnia","Caesar","Cleopatra","The others are characters in Shakespeare's Julius Caesar"
"Bart Simpson","Homer Simpson","Dexter","Marge Simpson","Dexter","The others are Simpsons."
"Lois Griffin","Peter Griffin","Brian Griffin","Stewie Griffin","Brian Griffin","The others are human characters in Family Guy."
"Fishing Rod, Bait, Paddle, Compass, Compass, The others are used directly in the act of fishing.",,,,,
"Clara Ford","Eleanor Ford","Ford Crown Victoria","Ford Mustang","Ford Mustang","The others are directly related to Henry Ford"
"West Virginia","Pennsylvania","Florida","Hawaii","Hawaii","The others are on the mainland of the United States."
"Gaston","Beast","Prince Charming","Aladdin","Aladdin","The others are not commoners by birth"
"Nebraska","Iowa","Alaska","Hawaii","Alaska","The others are part of the contiguous United States."
"Homo Erectus","Homo Heidelbergensis","Homo Denisova","Homo Sapiens","Homo Sapiens","The others are extinct hominid species"
"Common Loon","Red-throated Loon","Yellow-billed Loon","Common Raven","Common Raven","The others are Loons."
"Pneumonia","Tuberculosis","Eczema","Diabetes","Diabetes","The others are infectious diseases"
"Mohenjo-daro","Harappa","Atlantis","Agartha","Agartha","The others are lost ancient cities."
"Merv","Samarkand","Camelot","Timbuktu","Camelot","The others are in Asia"
"obj_3: Persistence in Sports",,,,,
"obj_4: Persistence in Dreams",,,,,
"odd: Persistence in Dreams",,,,,
"reason_for_similarity: The others are Persistence in tangible fields.",,,,,
"Corn","Peas","Carrot","Apple","Apple","The others are vegetables"
"American Wirehair","Cornish Rex","Siamese","German Shepherd","German Shepherd","The others are breeds of cats."
"Salmon","Trout","Mackerel","Catfish","Catfish","The others are saltwater fish"
"Mastiff","Bulldog","Pomeranian","Dachshund","Dachshund","The others are breeds of large dogs"
"Dengue","Malaria","Yellow Fever","Hypertension","Hypertension","The others are vector-borne diseases"
"Dr. Hibbert","Dr. Nick","Apu","Chief Wiggum","Apu","The others are characters who have a doctorate in The Simpsons."
"Baseball Cap","Beanie","Fedora Hat","Leather Belt","Leather Belt","The others are headwear"
"Peter Griffin","Brian Griffin","Meg Griffin","Stewie Griffin","Brian Griffin","The others are human characters."
"Hong Kong","Singapore","Madrid","Tokyo","Madrid","The others are located in Asia."
"Preparing for a marathon","Writing a research paper","Watching the news","Listening to music","Listening to music","The others require preparation."
"Edison's Cement","Edison's Fluoroscope","Marie Curie's Radium","Tesla's AC Motor","Tesla's AC Motor","The others are inventions related to materials that can be dangerous to human health."
"Merida","Queen Elinor","Ariel","Moana","Moana","The others are from Scotland."
"obj_3: Hessians",,,,,
"obj_4: French Foreign Legion",,,,,
"odd: French Foreign Legion",,,,,
"reason_for_similarity: The others are involved in the American Revolutionary War.",,,,,
"Learning to cook complex dishes","Training to be a ballet dancer","Eating fast food","Learning to play a musical instrument","Eating fast food","The others are learning processes"
"Building a model ship","Mastering a foreign language","Riding a bike","Painting a portrait","Mastering a foreign language","The others are physical activities"
"Blood Donation, Organ Donation, Property Donation, Knowledge Donation, Property Donation, The others are forms of biological donation.",,,,,
"Eclair","Profiteroles","Biscotti","Baguette","Baguette","The others are desserts"
"American Robin","European Robin","American Sparrow","Peregrine Falcon","Peregrine Falcon","The others are songbirds"
"Pontoon","Ferry","Submarine","Helicopter","Helicopter","The others are watercraft"
"Bell's father","Bell's mother","Bell's wife","Bell's sister","Bell's wife","The others are Bell's parents."
"Palm Tree","Pine Tree","Ivy","Cactus","Cactus","The others are not succulents"
"obj_3: Hummingbird",,,,,
"obj_4: Penguin",,,,,
"odd: Penguin",,,,,
"reason_for_similarity: The others are capable of flight.",,,,,
"obj_3: Dolphin Breaching",,,,,
"obj_4: Orca Communicating",,,,,
"odd: Dolphin Breaching",,,,,
"reason_for_similarity: The others are Orca behaviors.",,,,,
"Bucephalus","Hephaestion","Ptolemy","Cleopatra","Bucephalus","The others are humans"
"Iron Man","Thor","Flash","Batman","Flash","The others are from Marvel Comics."
"Library","University","Internet","Museum","Museum","The others are sources of information."
"Yellow Anaconda","Boa Constrictor","Horned Lizard","Python","Horned Lizard","The others are snakes"
"Lincoln's Hat, Lincoln's Coat, Lincoln's Cane, Lincoln's Speech, Lincoln's Speech, The others are physical objects associated with Lincoln.",,,,,
"Moroccan Mint Tea, Peppermint Tea, Milk Oolong Tea, Green Apple Juice, Green Apple Juice, The others are types of tea.",,,,,
"Mary Todd Lincoln","Robert Todd Lincoln","John Wilkes Booth","Abraham Lincoln","John Wilkes Booth","The others are Lincolns."
"The Annunciation","The Baptism of Christ","Portrait of a Musician","The Last Supper","Portrait of a Musician","The others are biblical scenes."
"Ob River, Irtysh River, Yangtze River, Amazon River, Amazon River, The others are in Asia.",,,,,
"Proverbs","Psalms","Ecclesiastes","Genesis","Genesis","The others are books of wisdom in the Bible."
"Peter Griffin","Lois Griffin","Chris Griffin","Brian Griffin","Brian Griffin","The others are humans"
"Taxila","Mohenjo-daro","Ys","Atlantis","Ys","The others are lost cities in real world history."
"Getting a pilot's license","Learning a complex piece of music","Reading a book","Watching a movie","Watching a movie","The others require active participation"
"obj_3: The Eiffel Tower",,,,,
"obj_4: Tesla's Wardenclyffe Tower",,,,,
"odd: The Eiffel Tower",,,,,
"reason_for_similarity: The others are historical science labs.",,,,,
"Brown v. Board","Plessy v. Ferguson","Roe v. Wade","Miranda v. Arizona","Miranda v. Arizona","The others are Supreme Court cases directly relating to racial equality."
"Monaco","Vatican City","Istanbul","Sydney","Sydney","The others are located in Europe."
"Water Hemlock","Cowbane","Monkshood","Dandelion","Dandelion","The others are poisonous plants"
"Physics","Mathematics","Chemistry","Literature","Literature","The others are branches of science."
"Papaya","Cantaloupe","Apple","Potato","Potato","The others are fruits"
"Training for a triathlon, Earning a black belt in martial arts, Taking a walk, Cooking a meal, Cooking a meal, The others are physical exercises.",,,,,
"Quincy Jones","Teddy Riley","Macaulay Culkin","Michael Jackson","Macaulay Culkin","The others are music producers"
"Syllogism","Deductive reasoning","Empirical research","Abstract painting","Abstract painting","The others are forms of logical reasoning"
"Trawler","Cruiser","Rowboat","Submarine","Submarine","The others are surface vessels."
"Marie Curie","Alexander Fleming","Edward Jenner","Isaac Newton","Isaac Newton","The others are biologists"
"Beethoven","Helen Keller","Mozart","Neil Armstrong","Neil Armstrong","The others are deaf."
"Belgium","Netherlands","USA","Japan","USA","The others are in Europe"
"Minestrone","Pasta e Fagioli","Gelato","Pizza","Gelato","The others are soups."
"Coriander","Cumin","Nutmeg","Basil","Basil","The others are seeds."
"Free Clinic","Public School","Private School","Hospital","Private School","The others are government-funded."
"Siege of Yorktown","Battle of Saratoga","The Stamp Act","The Boston Massacre","The Boston Massacre","The others are related to legislation."
"Dumbo","Timothy Q. Mouse","Winnie the Pooh","Mickey Mouse","Winnie the Pooh","The others are characters from Disney's Dumbo."
"Monaco","Dubai","Berlin","Sydney","Sydney","The others are in the Northern Hemisphere"
"Egypt","Sudan","France","Japan","France","The others are African countries."
"Singapura","Burmilla","Ragdoll","Dalmatian","Dalmatian","The others are cat breeds."
"Welsh Corgi","Shetland Sheepdog","Poodle","Siamese Cat","Siamese Cat","The others are dog breeds."
"Gorge","Valley","Dune","Ocean","Dune","The others are formed by water erosion"
"Washington Monument","Lincoln Memorial","Empire State Building","Eiffel Tower","Eiffel Tower","The others are in the United States."
"Learning a new language","Mastering a musical instrument","Eating a meal","Writing a book","Eating a meal","The others are skills that take time to master"
"Galapagos Tortoise","Aldabra Tortoise","Nile Crocodile","Komodo Dragon","Nile Crocodile","The others are reptiles that live on islands."
"Sponsorship","Patronage","Partnership","Fellowship","Fellowship","The others involve financial support"
"Ctesiphon","Persepolis","Shangri-La","Atlantis","Shangri-La","The others are lost ancient cities"
"The Annunciation","The Baptism of Christ","The Battle of Anghiari","The Last Supper","The Last Supper","The others are unfinished works by Leonardo da Vinci."
"Provolone","Muenster","Colby","Gouda","Gouda","The others are American cheeses"
"Ostraconophobia, Eisoptrophobia, Phasmophobia, Acrophobia, Acrophobia, The others are fears related to ancient or supernatural elements.",,,,,
"Colby-Jack","Pepper Jack","Brie","Swiss","Swiss","The others are types of American cheese"
"Bay","Gulf","Lake","Mountain","Mountain","The others are bodies of water"
"Koi","Goldfish","Zebra Danio","Clownfish","Clownfish","The others are freshwater fish"
"Great Egret","Snowy Egret","Great Horned Owl","Peregrine Falcon","Peregrine Falcon","The others are primarily white in color."
"Isthmus","Strait","Atoll","Oasis","Oasis","The others are water related geographical features"
"Lincoln Memorial","Mount Rushmore","Lincoln's Tomb","Eiffel Tower","Eiffel Tower","The others are located in the United States"
"Himalayas","Karakoram","Appalachian","Sahara","Sahara","The others are mountain ranges"
"Doric","Ionic","Corinthian","Gothic","Gothic","The others are ancient Greek architectural orders"
"Homo Sapiens","Homo Neanderthalensis","Homo Heidelbergensis","Pan Troglodytes","Pan Troglodytes","The others are Homo genus"
"Poland","Czech Republic","Thailand","Japan","Japan","The others are in the European continent."
"Router","Drill","Saw","Computer","Computer","The others are tools used for physical construction"
"Bell's invention of the photophone","Bell's invention of the telephone","Edison's invention of the phonograph","Edison's invention of the electric light bulb","Edison's invention of the electric light bulb","The others are sound related inventions"
"Rocky Mountain National Park","Glacier National Park","Joshua Tree National Park","Central Park","Central Park","The others are National Parks"
"Carpathians","Balkan Mountains","Brooks Range","Mount Everest","Mount Everest","The others are mountain ranges in the Northern Hemisphere"
"Pina Colada, Daiquiri, Apple Cider, Orange Juice, Orange Juice, The others are alcoholic beverages.",,,,,
"Battle of Actium, Battle of Pharsalus, Cleopatra's Death, Julius Caesar's Assassination, Julius Caesar's Assassination, The others are events directly involving Cleopatra.",,,,,
"British Shorthair, Chartreux, Siamese, Bengal, Bengal, The others are European breeds.",,,,,
"Calcaneus","Talus","Ulna","Femur","Ulna","The others are bones in the foot"
"17th Century","Enlightenment Era","Victorian Era","Industrial Revolution","Industrial Revolution","The others are historical eras."
"Astraphobia","Brontophobia","Trypophobia","Claustrophobia","Trypophobia","The others are related to fear of natural phenomena"
"Maple Tree, Pine Tree, Dandelion, Bamboo, Dandelion, The others are trees.",,,,,
"Thomas Paine","Common Sense","The Crisis","John Locke","John Locke","The others are directly associated with Thomas Paine"
"Aristotle","Diogenes","Plutarch","Socrates","Diogenes","The others are Platonists"
"Russia","Mongolia","Canada","Japan","Japan","The others are landlocked."
"Orca Pod","Orca Pair","Dolphin Pod","Dolphin Duo","Orca Pair","The others are pods."
"Sons of Liberty","Continental Congress","British Parliament","Magna Carta","Magna Carta","The others are legislative bodies"
"Cat, Dog, Dolphin, Eagle, Dolphin, The others are domesticated animals.",,,,,
"Kanchenjunga","Lhotse","Mount Wilhelm","Mount Kosciuszko","Mount Wilhelm","The others are in the Himalayan range"
"The Brink's Garage Heist","The Great Train Robbery","The Antwerp Diamond Heist","The Mona Lisa Theft","The Mona Lisa Theft","The others are heists involving money"
"China, North Korea, Australia, Brazil, Australia, The others are in the Northern Hemisphere.",,,,,
"The Great Train Robbery","The Brink's Garage Heist","The Banco Central Heist","The Isabella Stewart Gardner Museum Heist","The Isabella Stewart Gardner Museum Heist","The others are bank heists."
"Blue Jay","Blue Tit","Blue-footed Booby","Blue Whale","Blue Whale","The others are birds."
"Fasting","Almsgiving","Feasting","Running","Running","The others are religious practices"
"obj_3: Edison's Phonograph",,,,,
"obj_4: Mendel's Laws of Inheritance",,,,,
"odd: Mendel's Laws of Inheritance",,,,,
"reason_for_similarity: The others are inventions by Thomas Edison.",,,,,
"North Carolina","South Carolina","Connecticut","Rhode Island","Rhode Island","The others are named after British territories"
"Japanese Giant Salamander","Chinese Giant Salamander","Axolotl","Tiger Salamander","Axolotl","The others are fully aquatic salamanders"
"Steamship, Steam Locomotive, Spinning Mule, Steam Turbine, Spinning Mule, The others are powered by steam.",,,,,
"Hong Kong","Monaco","Bangkok","Sydney","Sydney","The others are not in Oceania"
"Denmark","Greenland","Japan","Brazil","Brazil","The others are monarchies."
"African Clawed Frog, Poison Dart Frog, Smooth Newt, African Elephant, African Elephant, The others are amphibians.",,,,,
"Brussels Sprout","Cabbage","Carrot","Broccoli","Carrot","The others are cruciferous"
"Owl","Sage","Dolphin","Maple","Sage","The others are animals"
"Cream Cheese","Neufchâtel","Parmesan","Gouda","Gouda","The others are spreadable."
"Ubar","Iram of the Pillars","Avalon","Atlantis","Avalon","The others are lost cities in desert regions"
"Orca in Pacific Ocean","Orca in Atlantic Ocean","Dolphin in Pacific Ocean","Penguin in Arctic Ocean","Penguin in Arctic Ocean","The others are marine mammals in the Pacific Ocean"
"Biscotti","Shortbread","Jelly","Marshmallow","Jelly","The others are types of biscuits."
"Cavatelli","Gnocchi","Tortellini","Spaghetti","Spaghetti","The others are types of dumplings"
"Homo Neanderthalensis","Homo Heidelbergensis","Homo Denisova","Homo Sapiens","Homo Sapiens","The others are extinct species of Homo"
"Boston Tea Party","Battle of Lexington","Declaration of Independence","Louisiana Purchase","Louisiana Purchase","The others are events during the American Revolution."
"Pythagoras","Euclid","Newton","Shakespeare","Shakespeare","The others are renowned mathematicians"
"Open Hearth Furnace","Bessemer Process","Factory System","Industrial Revolution","Industrial Revolution","The others are specific industrial processes."
"Atlatl","Sling","Scythe","Crossbow","Scythe","The others are projectile weapons"
"Wonder Woman","Catwoman","Black Widow","Thor","Thor","The others are women."
"Madonna of the Yarnwinder","The Virgin and Child with Saint Anne","The Baptism of Christ","The Last Supper","The Last Supper","The others are paintings of Leonardo Da Vinci featuring Mary."
"Maxilla","Mandible","Sternum","Femur","Femur","The others are facial bones."
"Marie Curie","Galileo Galilei","Albert Einstein","Isaac Newton","Isaac Newton","The others are Nobel Prize laureates"
"Volta Laboratory","Bell Labs","Edison Labs","NASA","NASA","The others are private labs"
"Kilimanjaro","Mauna Kea","Denali","Sahara","Sahara","The others are mountains."
"Denali National Park","Glacier Bay National Park","Petrified Forest National Park","Death Valley National Park","Death Valley National Park","The others are located in Alaska"
"obj_3: Bessemer Process",,,,,
"obj_4: Loom",,,,,
"odd: Bessemer Process",,,,,
"reason_for_similarity: The others are used in textile production.",,,,,
"Petra","Palmyra","Machu Picchu","Avalon","Avalon","The others are UNESCO World Heritage Sites"
"Scimitar","Falchion","Rapier","Shuriken","Shuriken","The others are swords"
"Manger","Stable","Palace","Igloo","Igloo","The others are buildings associated with specific cultures or religions"
"Musophobia","Muriphobia","Zoophobia","Acrophobia","Acrophobia","The others are related to fear of animals"
"Muffin","Cupcake","Brownie","Popsicle","Popsicle","The others are baked goods."
"obj_3: Telephone",,,,,
"obj_4: Typewriter",,,,,
"odd: Steam Engine",,,,,
"reason_for_similarity: The others are communication devices.",,,,,
"Quagmire","Cleveland","Joe","Peter","Quagmire","The others are biological fathers."
"obj_3: Orca's Dorsal Fin",,,,,
"obj_4: Orca's Eye",,,,,
"odd: Orca's Eye",,,,,
"reason_for_similarity: The others are types of flukes.",,,,,
"Fat Tony, Legs, Lisa, Moe, Lisa, The others are characters from The Simpsons with criminal connections.",,,,,
"Scottish Fold","American Curl","Ragdoll","Siamese","Siamese","The others are breeds of cats with mutations causing unique ear shapes."
"Ziti","Macaroni","Conchiglie","Fusilli","Fusilli","The others are tube-shaped."
"Pomegranate","Passionfruit","Apple","Tomato","Tomato","The others are pome fruits"
"Vatican City","Monaco","Rome","Sydney","Sydney","The others are located in Europe."
"Supergirl","Batgirl","Scarlet Witch","Wonder Woman","Scarlet Witch","The others are from DC Comics"
"Meg Griffin","Chris Griffin","Stewie Griffin","Brian Griffin","Brian Griffin","The others are human characters"
"Oriental Fire-bellied Toad","Yellow-bellied Toad","Axolotl","Red-eyed Tree Frog","Red-eyed Tree Frog","The others are native to Asia."
"Black Molly","Platy","Angelfish","Clownfish","Clownfish","The others are freshwater fish"
"Crohn's Disease","Ulcerative Colitis","Osteoporosis","Type 2 Diabetes","Osteoporosis","The others are Inflammatory Bowel Diseases"
"Deadpool","Cable","Killer Frost","Spider-Man","Spider-Man","The others are anti-heroes."
"obj_3: Cleveland",,,,,
"obj_4: Homer Simpson",,,,,
"odd: Homer Simpson",,,,,
"reason_for_similarity: The others are characters from Family Guy.",,,,,
"Edison's Electric Motor","Edison's Home Projecting Kinetoscope","Tesla's AC Motor","Tesla's Coil","Edison's Home Projecting Kinetoscope","The others are types of motors."
"Cayenne Pepper","Black Pepper","Cloves","Cinnamon","Cinnamon","The others are types of pepper."
"Grand Canyon National Park","Death Valley National Park","Glacier National Park","Central Park","Central Park","The others are National Parks."
"Doctor Doom","Magneto","The Flash","Iron Man","The Flash","The others are villains"
"Ivy","Fern","Daisy","Oak","Oak","The others are non-woody plants"
"Ophidiophobia","Cynophobia","Pteromerhanophobia","Arachnophobia","Arachnophobia","The others are phobias related to modes of transportation."
"Marie Curie","Edwin Hubble","Carl Sagan","Isaac Newton","Isaac Newton","The others are 20th century scientists"
"Switzerland","Liechtenstein","Brazil","Japan","Brazil","The others are landlocked countries"
"Wool Beanie","Leather Cap","Wool Socks","Leather Jacket","Leather Cap","The others are made of wool"
"Caesar's Stabbing","Battle of Actium","Siege of Alexandria","Battle of Waterloo","Battle of Waterloo","The others are related to Ancient Rome"
"Josephine","Maria-Louisa","Louis XVIII","Napoleon","Napoleon","The others are not Emperors."
"Marlin","Swordfish","Mackerel","Dolphin","Dolphin","The others are fish"
"Creme Brulee","Flan","Ice Cream Sundae","Ribeye Steak","Ribeye Steak","The others are desserts."
"Wool Scarf","Leather Gloves","Wool Sweater","Leather Jacket","Leather Gloves","The others are made of wool"
"Napoleon II","Napoleon III","Louis Bonaparte","Charles de Gaulle","Charles de Gaulle","The others are Bonapartes."
"Pella","Alexandria","Rome","Sydney","Sydney","The others are ancient cities."
"Massachusetts","Rhode Island","Nevada","New Mexico","Nevada","The others are in the Eastern Time Zone."
"Greece","Cyprus","Canada","Japan","Canada","The others are in Eurasia"
"Right to health","Right to work","Right to freedom of opinion","Right to property","Right to property","The others are related to personal development and expression"
"Right to life","Right to a fair trial","Right to work","Right to bear arms","Right to bear arms","The others are socio-economic rights"
"Jean Grey","Storm","Starfire","Wolverine","Starfire","The others are members of X-Men"
"Brioche","Challah","Baguette","Scone","Scone","The others are French origin breads."
"Banco Central Burglary, Northern Bank Robbery, Dunbar Armored Robbery, Boston Museum Heist, Boston Museum Heist, The others are bank robberies.",,,,,
"Drill, Sander, Screwdriver, Hammer, Sander, The others are hand tools that have a pointed end.",,,,,
"Stick Insect","Praying Mantis","Ant","Butterfly","Butterfly","The others are not capable of flight"
"Deafness Research","Aeronautics","Photophone","Radio Astronomy","Deafness Research","The others are related to electromagnetic waves."
"Calculus","Optics","Biology","Thermodynamics","Calculus","The others are branches of Physics"
"Aconcagua","Mount Kosciuszko","Mount Vinson","Mount Kilimanjaro","Mount Kosciuszko","The others are located in the Western Hemisphere."
"Osso Buco","Saltimbocca","Gelato","Pesto","Gelato","The others are meat-based Italian dishes."
"obj_3: Clownfish",,,,,
"obj_4: Penguin",,,,,
"odd: Penguin",,,,,
"reason_for_similarity: The others are fish",,,,,
"Sledgehammer, Mallet, Saw, Screwdriver, Saw, The others are types of hammers.",,,,,
"Skull","Scapula","Mandible","Femur","Femur","The others are part of the skull"
"Bell's wife, Mabel Gardiner Hubbard","Bell's mother","Bell's patent 174465","Bell's telephone","Bell's patent 174465","The others are people"
"Osteoarthritis","Rheumatoid Arthritis","Gastritis","Gout","Gastritis","The others are types of arthritis"
"Cleopatra's Pearl","Cleopatra's Emerald","Cleopatra's Barge","Cleopatra's Needle","Cleopatra's Barge","The others are gemstones."
"Brazilian Santos","Colombian Supremo","Costa Rican Tarrazu","Ethiopian Yirgacheffe","Ethiopian Yirgacheffe","The others are from Latin America."
"The Pink Panthers Heist","The Banco Central Heist","The Mona Lisa Theft","The Gardner Museum Theft","The Gardner Museum Theft","The others were unsolved."
"The Banco Central Heist","The Antwerp Diamond Heist","The Harry Winston Heist","The Great Train Robbery","The Great Train Robbery","The others are diamond heists."
"Avocado","Banana","Lemon","Raspberry","Avocado","The others are berries"
"Avocado","Banana","Lemon","Pineapple","Pineapple","The others are seedless"
"Avocado","Banana","Lemon","Strawberry","Strawberry","The others have a tough outer peel"
