Henry IV,Henry V,Twelfth Night
Harpy Eagle,Philippine Eagle,White-tailed Eagle
Maradona,Pelé,Michael Schumacher
Autographed Baseball,Signed Jersey,Autographed Football
African Dwarf Frog,African Clawed Frog,American Green Tree Frog
Dolphin Play,Dolphin Hunt,Dolphin Fly
Harris's Hawk,Northern Goshawk,Red-shouldered Hawk
Rufous Owl,Masked Owl,Barn Owl
Hemp Seeds,Pumpkin Seeds,Turmeric
Spotted Turtle,Blanding's Turtle,Leatherback Sea Turtle
Silvertip Shark,Lemon Shark,Cookiecutter Shark
Diamondback Terrapin,Eastern Box Turtle,Loggerhead Sea Turtle
Firefly,Star Trek,The Wheel of Time
Northern Leopard Frog,Southern Leopard Frog,Spring Peeper
Ginger,Turmeric,Flax Seeds
Goji Berries,Blueberries,Quinoa
The Big Bang Theory,Two and a Half Men,The Crown
Othello,King Lear,The Tempest
Cooper's Hawk,Sharp-shinned Hawk,Swainson's Hawk
Indus Valley,Mesopotamia,Ancient Japan
Cetirizine,Loratadine,Vitamin B2
Philly Shell,Peek-a-Boo,Brawler
Dorian Mode,Phrygian Mode,Harmonic Major Scale
Onion,Garlic,Taro
Passover,Shavuot,Hanukkah
Brownie,Cupcake,Donut
Blueberry,Huckleberry,Strawberry
Guava,Passion Fruit,Pear
Sunflower,Marigold,Daisy
Satellite Cell,Myoblast,Adipocyte
Bacchus,Ceres,Neptune
Columbia University,Brown University,"University of California, LA"
Machu Picchu,Pompeii Ruins,Venus of Willendorf
Manatee,Dugong,Fin Whale
Ancient Egypt,Inca Civilization,Ancient China
Perseus,Andromeda,Taurus
Horus,Ra,Anubis
Ramadan,Lent,Hanukkah
Durga,Kali,Hanuman
Wax,Wood,Resin
Jade Plant,Echeveria,String of Dolphins
Osprey,Condor,Peacock
Bedbug,Tick,Moth
Sonnet,Villanelle,Limerick
Madeleine,Palmier,Beignet
Escarole,Frisee,Spinach
Fava Beans,Cannellini Beans,Pecans
Ushanka,Trapper Hat,Boater
Boursin,Feta,Roquefort
Reims Cathedral,Chartres Cathedral,St. Mark's Basilica
Singha,Chang,Heineken
Max Planck,Werner Heisenberg,Rachel Carson
Croissant,Brioche,Lentils
How I Met Your Mother,Friends,Vikings
Buddhism,Jainism,Christianity
Cleopatra,Nefertiti,Joan of Arc
Asparagus,Rhubarb,Spinach
Icelandic,Faroese,Spanish
Arabic,Hebrew,Hindi
Nietzsche,Schopenhauer,Locke
Margarine,Lard,Coconut Oil
Word Ladder,Anagram,Rubik's Cube
Hydrangea,Forsythia,Juniper
Dionysus,Bacchus,Freya
Sweet Potato,Yam,Daikon
Pinto Beans,Navy Beans,Hazelnuts
Black Widow,Hawkeye,Aquaman
Mollie,Guppy,Angelfish
Flag of Austria,Flag of Latvia,Flag of Poland
Catwoman,Poison Ivy,Mystique
Daffodil,Tulip,Orchid
Termite,Ant,Bee
Flag of Uruguay,Flag of Paraguay,Flag of Argentina
Fenugreek,Coriander,Orange
Kenning,Epithet,Personification
Lemon Balm,Peppermint,Basil
Malamute Dog,Siberian Husky,Boxer Dog
Poaching,Sous-vide,Baking
Salsa Roja,Tomato Ketchup,Hollandaise Sauce
Rabbi,Cantor,Priest
Walrus,Seal,Rhino
Doctor Doom,Kingpin,Sinestro
Cave of Altamira Paintings,Lascaux Cave Paintings,Egyptian Pyramids
Soybean,Peanut,Wheat
Varuna,Indra,Parvati
Brawler,Out-Boxer,Slap
Alfred Stieglitz,Edward Steichen,Helmut Newton
Wile E. Coyote,Road Runner,Foghorn Leghorn
Motion Capture,Rotoscoping,Sand Animation
Kitchen Island,Bar Cart,Armoire
Green Goblin,Doctor Octopus,Bane
Turkish,Finnish,Korean
Johann Strauss II,Johann Sebastian Bach,Ludwig van Beethoven
Pac-Man,Space Invaders,Grand Theft Auto
Whittling,Carving,Painting
Robert Frank,William Klein,Helmut Newton
Agave Syrup,Golden Syrup,Honey
Honey,Corn Syrup,Rice Syrup
Goji Berries,Acai Berries,Chia Seeds
Morphine,Codeine,Folic Acid
Sumo,Judo,Kickboxing
Ginger,Turmeric,Milk Thistle
Lithuanian,Latvian,English
Venus,Cupid,Mercury
Vault,Pommel Horse,Uneven Bars
Wisdom,Insight,Honesty
Amber,Obsidian,Jasper
Jasmine Tea,Hibiscus Tea,Chai Tea
Goku,Vegeta,Scooby Doo
Better Call Saul,Breaking Bad,Friends
Johannes Brahms,Richard Wagner,Johann Sebastian Bach
Jean-Baptiste Greuze,Jean-Honoré Fragonard,Pablo Picasso
Mecca,Medina,Jerusalem
Virginia Creeper,Boston Ivy,Passion Vine
Cotton,Flax,Kiwi
Black Russian,White Russian,Daiquiri
Fear,Anxiety,Love
Oxeye Daisy,English Daisy,Gerbera Daisy
Solo Concert,Group Concert,Art Exhibition
Radish,Turnip,Tomato
Trustworthiness,Honesty,Gratitude
Puffin,Penguin,Sparrow
Nikola Tesla,Michael Faraday,Eli Whitney
Pictionary,Charades,Monopoly
Triggerfish,Filefish,Mackerel
Apollo,Helios,Freya
Athena,Hestia,Poseidon
Zollner Illusion,Hering Illusion,Lilac Chaser
Heineken,Stella Artois,Bud Light
Oder,Vistula,Zambezi
Nickel,Cobalt,Silver
Barley,Rye,Cherry
Supreme,Off-White,Ralph Lauren
Scallop,Clam,Shrimp
Redwood,Cedar,Apple
Hawk,Eagle,Ostrich
Peach,Apricot,Grapefruit
Green Anole,Gecko,Chameleon
The Witcher,Game of Thrones,The Bachelor
Pine nut,Peanut,Hazelnut
Cornet,Flugelhorn,Tabla
Zoroastrianism,Judaism,Buddhism
Lemur,Monkey,Tiger
Cypress,Sequoia,Peach
Mixolydian,Ionian,Aeolian
Romeo and Juliet,Cinderella,The Sleeping Beauty
Phonophobia,Ligophobia,Acrophobia
Organ,Clavichord,Didgeridoo
Green Lantern,Flash,Spiderman
Holi,Diwali,Christmas
Swan,Duck,Hawk
Aquila,Cygnus,Orion
Mosquito,Flea,Fruit fly
Satire,Parody,Romance
Krav Maga,Boxing,Karate
Harmonica,Piccolo,Tambourine
Magnolia tree,Dogwood tree,Juniper tree
Sangiovese,Nebbiolo,Cabernet Franc
Auguste Rodin,Pablo Picasso,Alberto Giacometti
Ostrich,Emu,Seagull
Halloween,Easter,Labor Day
Juniper,Privet,Hydrangea
Aster,Poppy,Dandelion
Octopus,Squid,Clam
Tomato,Bell Pepper,Potato
Actin,Myosin,Albumin
T.S. Eliot,Ezra Pound,Robert Burns
Zucchini,Yellow Squash,Eggplant
Hyacinth,Tulip,Dandelion
Canary,Parrot,Hawk
Grapefruit,Pomelo,Lime
Dragonfruit,Kiwi,Papaya
Heron,Egret,Sparrow
White Pepper,Black Pepper,Saffron
Cilantro,Parsley,Cinnamon
Cornbread,Tortilla,Baguette
Millet,Buckwheat,Corn
Mount Vinson,Mount Tyree,Mount Etna
Judaism,Christianity,Taoism
Tin,Lead,Nickel
Saraswati,Lakshmi,Hanuman
Sriracha,Tabasco,Salsa
Finger Coral,Club Coral,Black Coral
Oyster,Scallop,Shrimp
Boxwood,Privet,Hydrangea
Pique,Glissade,Pirouette
Chocolate Cream Pie,Banana Cream Pie,Pumpkin Pie
Marwari,Kathiawari,Haflinger
Black Widow,Hawkeye,Batman
Kickboxing,Judo,Capoeira
Grass Snake,King Cobra,Adder
Anubis,Cerberus,Apollo
Hat,Gloves,Cane
Shiraz,Beaujolais,Burgundy
Sperm Whale,Pygmy Sperm Whale,Orca
Cherry,Peach,Lime
Loki,Ultron,Poison Ivy
Saint Luke,Saint Matthew,Saint Christopher
Aikido,Judo,Fencing
The Stamp Act,The Tea Act,The Affordable Care Act
Malbec,Tempranillo,Zinfandel
Sweetgum,Liquidambar,Cedar elm
Islam,Christianity,Taoism
American Alligator,Chinese Alligator,Freshwater Crocodile
King Midas,Narcissus,Orpheus
Princeton University,Columbia University,NYU
Pretzel,Bagel,Tart
Plaster,Bronze,Wax
Reggaeton,Dancehall,Tango
Fairy Tail,Dragon Ball,Naruto
Betta,Gourami,Plecostomus
March,May,December
Peacefulness,Calmness,Determination
GED,High School Diploma,SAT
Tortoise,Box Turtle,Loggerhead Sea Turtle
Thor,Poseidon,Isis
Unicorn,Pegasus,Chimera
Mercury,Mars,Jupiter
Multi-tool,Knife,Headlamp
Aphrodite,Ares,Hades
PTSD,Panic Disorder,Bipolar Disorder
Superman,Green Lantern,Hulk
1984,2001,2010
Dionysus,Demeter,Hestia
Chimichurri,Pesto,Alfredo Sauce
Architecture,Design,Economics
Gimlet,Tom Collins,Long Island Iced Tea
Tetra,Neon Tetra,Swordfish
Hydroponics,Aquaponics,Traditional Farming
Flash,Quicksilver,Green Lantern
Tequila Sunrise,Margarita,Whiskey Sour
Sycamore,Ash,Hawthorn
Birch,Cedar,Spruce
Limoncello,Curaçao,Amaretto
Whale,Bat,Falcon
Diamond,Graphite,Sapphire
Wheat,Barley,Rice
Crocodile,Alligator,Lizard
Quartz,Feldspar,Granite
Jupiter,Saturn,Mercury
Frog,Toad,Turtle
Maple,Oak,Pine
Cheetah,Jaguar,Lion
Gold,Copper,Aluminum
Ruby,Garnet,Emerald
Penguin,Ostrich,Hawk
Python,Anaconda,Cobra
Silk,Wool,Cotton
Iron,Cobalt,Nickel
Raven,Crow,Sparrow
Birch,Spruce,Cedar
Coral,Jellyfish,Shrimp
Mule,Hinny,Horse
Albatross,Seagull,Pigeon
Marble,Limestone,Basalt
Teak,Mahogany,Birch
Barracuda,Pike,Salmon
Sunflower,Daisy,Tulip
Rye,Wheat,Oats
Elk,Moose,Deer
Platinum,Palladium,Silver
Hummingbird,Hawkmoth,Butterfly
Birch,Aspen,Cedar
Angelfish,Goldfish,Guppy
Dandelion,Sunflower,Rose
Lemur,Monkey,Ape
Lobster,Crab,Shrimp
Peacock,Ostrich,Eagle
Lavender,Rosemary,Basil
Porcupine,Hedgehog,Beaver
Moth,Butterfly,Bee
Iguana,Chameleon,Snake
Basilisk,Gecko,Salamander
Tarantula,Black Widow,Scorpion
Albatross,Seagull,Penguin
Barracuda,Eel,Dolphin
Squid,Octopus,Crab
Kiwi,Emu,Parrot
Amethyst,Citrine,Ruby
Bison,Buffalo,Antelope
Chimpanzee,Gorilla,Orangutan
Mango,Peach,Apple
Tarantula,Scorpion,Ant
Cheetah,Leopard,Tiger
Oak,Maple,Pine
Salmon,Trout,Catfish
Rattlesnake,Cobra,Python
Harp,Guitar,Violin
Eagle,Hawk,Penguin
Butterfly,Moth,Bee
Daisy,Sunflower,Rose
Pine,Spruce,Oak
Tulip,Daffodil,Orchid
Shark,Dolphin,Whale
Lion,Tiger,Cheetah
Potato,Tomato,Carrot
Frog,Toad,Lizard
Almond,Peanut,Walnut
Rabbit,Hare,Squirrel
Copper,Silver,Gold
Pineapple,Cactus,Rose
Lime,Lemon,Orange
Gorilla,Orangutan,Monkey
Strawberry,Raspberry,Blueberry
Coyote,Wolf,Fox
Tiramisu,Mousse,Gelato
Smoked Tilapia,Smoked Catfish,Smoked Bratwurst
Knitting,Crocheting,Painting
Marjoram,Oregano,Cilantro
Catwoman,Poison Ivy,Galactus
Peacock,Turkey,Owl
Taekwondo,Hapkido,Boxing
Mount Fuji,Mount Vesuvius,Mount McKinley
Hot Sauce,Jalapeno Sauce,Alfredo Sauce
To Kill a Mockingbird,Go Set a Watchman,The Great Gatsby
Altruism,Egoism,Utilitarianism
Mangosteen,Passionfruit,Banana
Spinach,Lettuce,Asparagus
Emerald,Sapphire,Topaz
Artemis,Diana,Osiris
Lemon,Grapefruit,Kumquat
The Sims,Minecraft,Call of Duty
Merlin,Gandalf,Dracula
Carboniferous,Permian,Triassic
The Shawshank Redemption,Forrest Gump,The Green Mile
Loneliness,Isolation,Joy
Schindler's List,Jaws,Saving Private Ryan
Bronchi,Alveoli,Heart
Dnieper,Dniester,Yukon
"""I miss you""","""I love you""","""I hate you"""
Orca,False Killer Whale,Narwhal
Armchair,Recliner,Dining Table
Bluegrass,Country,Electronica
Earth,Neptune,Mars
Scottish Terrier,West Highland White Terrier,Dachshund
Viognier,Marsanne,Cabernet Sauvignon
Parrot,Parakeet,Falcon
Forgiveness,Mercy,Determination
Sugar,Salt,Pepper
Humpback Whale,Blue Whale,Sea Otter
Pigeon,Dove,Hawk
Plato,Aristotle,Derrida
French Green Lentils,Spanish Pardina Lentils,Soybeans
Skink,Monitor Lizard,Blue-tongued Skink
Mount Elbrus,Mont Blanc,Mauna Kea
Expressionism,Surrealism,Realism
Descartes,Pascal,Heraclitus
Cuba Libre,Mojito,Old Fashioned
KenKen,Killer Sudoku,3D Puzzle
Saint Benedict,Saint Scholastica,Saint Jerome
Iron Cross,Maltese Cross,Victorian Cross
Arthur Conan Doyle,Agatha Christie,J.K. Rowling
The Sistine Chapel,The Shrine of Imam Ali,The Mezquita of Cordoba
St. Basil's Cathedral,St. Mark's Basilica,Westminster Abbey
Byzantine Period,Roman Period,Eocene Epoch
Sylph,Pixie,Gnome
Eocene,Oligocene,Devonian
Pediophobia,Coulrophobia,Arachnophobia
Foreshadowing,Flashback,Irony
Schizophrenia,Bipolar Disorder,Autism
Jasmine,Lilac,Cherry Blossom
Chives,Garlic,Cumin
Mimir,Hodr,Magni
Resveratrol,Quercetin,Niacin
Forgiveness,Mercy,Success
Warheads,Sour Patch Kids,Milky Way
Rose,Tulip,Oak Tree
Poodle,Bulldog,Bichon Frise
Benjamin Franklin,John Jay,Henry Laurens
Gorilla,Human,Whale
Lapsang Souchong Tea,Pu-erh Tea,Lemon Verbena Tea
Yellow-Bellied Sea Snake,Beaked Sea Snake,Green Sea Turtle
Cheetah,Gazelle,Lion
Spadefoot Toad,American Toad,Mud Puppy
White Tea,Yellow Tea,Peppermint Tea
Rocky Balboa,Rudy Ruettiger,Michael Jordan
Leukemia,Lymphoma,Osteoporosis
Bread Maker,Pasta Maker,Hair Dryer
Boat Hook,Anchor,Life Ring
Idaho,Wyoming,Maryland
The Dunbar Armored Robbery,The Brink's Garage Heist,The Great Train Robbery
Battle of Gaugamela,Battle of Issus,Battle of Waterloo
Dubai,Singapore,Cairo
Leek,Onion,Corn
Dove,Lamb,Lion
Emetophobia,Nosocomephobia,Coulrophobia
Aristotle's Politics,Aristotle's Ethics,Socratic Irony
Death Valley National Park,Joshua Tree National Park,Acadia National Park
Orca's Social Behavior,Dolphin's Social Behavior,Orca's Solitary Behavior
Marie Curie,Linus Pauling,Richard Feynman
Onion,Garlic,Ginger
Polio,Measles,Hemophilia
Biscotti,Shortbread,Bagel
Cardamom,Coriander,Bay Leaves
Cascade Range,Sierra Nevada,Scandinavian Mountains
Marathon,Olympics,Gladiators
Gooty Tarantula,Brazilian Wandering Spider,Golden Poison Frog
Steppe,Prairie,Tundra
Homo Sapiens,Homo Neanderthalensis,Homo Floresiensis
Oleander,Rhododendron,English Yew
Swordtail,Mollie,Gourami
Cleopatra's Barge,Cleopatra's Palace,Cleopatra's Needle
The Boston Museum Heist,The Isabella Stewart Gardner Museum Heist,The Banco Central Heist
Triathlon,Decathlon,100m Sprint
Cheese Quesadilla,Chicken Quesadilla,Cheese Burger
Immune System,Vaccination,Antibiotics
Brian Griffin,Meg Griffin,Chris Griffin
King of Pop,MJ,The Gloved One
Autumn Crocus,Glory Lily,Mistletoe
Mars Rover Spirit,Mars Rover Opportunity,Luna 1
Mayor Quimby,Chief Wiggum,Homer
Sangiovese,Nebbiolo,Pinot Gris
Stewie Griffin,Brian Griffin,Rupert
Condor,Vulture,Parakeet
Right to vote,Right to public participation,Right to freedom of movement
Woolsthorpe Manor,Trinity College,Harvard University
Electric Can Opener,Electric Knife,Washing Machine
African Clawed Frog,African Dwarf Frog,Japanese Giant Salamander
Bryce Canyon National Park,Capitol Reef National Park,Yellowstone National Park
Parthenon,Acropolis,Colosseum
Manchego,Pecorino Romano,Mascarpone
Freedom from slavery,Right to marriage and family,Right to freedom of movement
Forgiveness,Mercy,Vengeance
Mars 3,Mars 6,Pioneer 11
24th Amendment,26th Amendment,18th Amendment
Singapore,Vatican City,Manila
Battle of Bosworth Field,Battle of Agincourt,Battle of Lepanto
Claustrophobia,Nyctophobia,Hydrophobia
Hot Dog,Hamburger,Fried Chicken
Free Healthcare,Welfare,Insurance
Parsley,Cilantro,Basil
Mount Whitney,Mount Elbert,Mount Cook
Grenache,Syrah,Pinot Grigio
Assembly Line,Factory System,Telegraph
Marlin,Swordfish,Trout
Rhone River,Loire River,Volga River
Bell's wife,Bell's mother,"Bell's assistant, Thomas Watson"
Newtonian Fluid,Newtonian Mechanics,Quantum Mechanics
Zygomatic,Maxilla,Ribs
Orca's Black Color,Dolphin's Grey Color,Orca's White Patches
Black-capped Chickadee,Mountain Chickadee,Black-capped Vireo
Freedom of speech,Freedom of assembly,Right to bear arms
Eagle,Sparrowhawk,Ostrich
Ford Model B,Ford Model F,Ford Model N
Orca's Apex Predator Status,Lion's Apex Predator Status,Orca's Prey Status
Silk Blouse,Cotton T-shirt,Silk Scarf
Leather Gloves,Denim Gloves,Leather Jacket
Otto,Bart,Marge
Mount Ararat,Mount Damavand,Mount Logan
Red-spotted Newt,Eastern Newt,African Bullfrog
Root Beer,Ginger Beer,Chamomile Tea
Newton's Reflecting Telescope,Newtonian Telescope,Galilean Telescope
Marie Curie,Michael Faraday,James Clerk Maxwell
Homo Erectus,Homo Heidelbergensis,Homo Neanderthalensis
George Washington,John Adams,Thomas Paine
Fibula,Tibia,Femur
Black Panther,Hawkeye,Martian Manhunter
Cockatoo,Parrot,Penguin
Buoy,Beacon,Whistle
Macarons,Mille-Feuille,Tres Leches Cake
Olm,Hellbender,European Tree Frog
Common Frog,Marsh Frog,Chinese Giant Salamander
Denim Shorts,Leather Pants,Denim Jacket
Compass,GPS,Binoculars
Blue Cheese,Roquefort,Gruyere
Monaco,Singapore,Beijing
Julius Caesar,Mark Antony,Ptolemy XIII
Cymric,Manx,Birman
Caesar's Reforms,Antony's Reforms,Cicero's Reforms
Pyrophobia,Hylophobia,Aerophobia
Metatarsals,Tarsals,Carpals
Zucchini,Cucumber,Eggplant
Southern Alps,Remarkables,Andes
Hollywood Sign,Walk of Fame,Broadway
Aloe Vera,Cactus,Lily
Fraser River,Columbia River,Nile River
Golden Poison Frog,Strawberry Poison Frog,Red Eyed Tree Frog
Sodom,Gomorrah,Xanadu
Newton's bucket argument,Newton's flaming laser sword,Schrödinger's cat
Edison's Parabolic Reflector for Phonographs,Edison's Electric Generator,Da Vinci's Mona Lisa
Stephen Hawking's Universe,The Universe in a Nutshell,The Grand Design
Pinot Grigio,Riesling,Merlot
Nightwing,Cyborg,Ant-Man
Kiwi,Lime,Peach
Chimpanzee,Gorilla,Lemur
Orca's Dorsal Fin,Dolphin's Dorsal Fin,Orca's Pectoral Flipper
Kings Canyon National Park,Sequoia National Park,Badlands National Park
Hattusa,Troy,El Dorado
Tulsi Tea,Holy Basil Tea,Jasmine Pearl Tea
The Last Supper,Annunciation,Aerial Screw
Homo Neanderthalensis,Homo Denisova,Homo Sapiens
Mekong River,Salween River,Amazon River
Cannoli,Tiramisu,Churros
Buzz Lightyear,Woody,Jessie
Servant's Apron,Monk's Habit,Royal Robe
Beat It,Billie Jean,The Girl Is Mine
Chicken Biscuit,Sausage Biscuit,Chicken Tenders
Brazilian Wandering Spider,Gooty Tarantula,Javan Rhinoceros
Lemon,Orange,Banana
Pina Colada,Bloody Mary,Orange Soda
The Treaty of Tilsit,The Treaty of Schönbrunn,The Treaty of Amiens
Ford Piquette Avenue Plant,Highland Park Ford Plant,Ford Mustang
Axolotl,Tiger Salamander,Green Tree Frog
Groundskeeper Willie,Janitor Scratchy,Homer
Motor Neurone Disease,Quantum Physics,General Relativity
Dionysus,Apollo,Mars
Emmental,Gruyere,Cream Cheese
Moth,Butterfly,Dragonfly
Lincoln's Emancipation Proclamation,Lincoln's Gettysburg Address,Lincoln's Cooper Union Address
Meg Griffin,Chris Griffin,Lois Griffin
Green Frog,Pickerel Frog,Tiger Salamander
Water,Soda Water,Ale
Martin Luther King Jr.,Rosa Parks,Elvis Presley
King Cobra,Black Mamba,Gila Monster
Russell's Viper,Saw-Scaled Viper,Green Tree Python
Mars Pathfinder,Mars Global Surveyor,Pioneer Venus Multiprobe
Panna Cotta,Gelato,Risotto
Archipelago,Island,Peninsula
Beetle,Ladybug,Cricket
Pankration,Boxing,Chariot racing
Glossophobia,Social Phobia,Acousticophobia
Schiphol Airport Diamond Heist,Carlton Hotel Jewelry Heist,Gardner Museum Heist
Cumin,Coriander,Bay Leaves
Chicken Nuggets,Chicken Strips,Hot Dog
Radish,Beetroot,Onion
Senate,Populare,Optimates
Water Ski,Wakeboard,Snorkel
Pyrenees,Carpathians,Atlas Mountains
Patella,Femur,Hyoid
Elephant,Kangaroo,Rhino
Peru,Chile,India
Sun Tzu,Machiavelli,Nietzsche
Boni Giant Sengi,Elephant Shrew,Gooty Tarantula
Chai Tea,Earl Grey Tea,Pepsi
Foot Washing Basin,Prayer Mat,Throne
The Jacksons,The Jackson 5,The Beatles
Plum,Apricot,Watermelon
Treaty of Paris,Treaty of Alliance,Olive Branch Petition
Dubai,Hong Kong,Jakarta
Scream,You Are Not Alone,Randy Jackson
Doberman,Rottweiler,Border Collie
House Finch,Purple Finch,House Sparrow
Shenandoah National Park,Great Smoky Mountains National Park,Death Valley National Park
Sweet Corn,Sweet Peas,Sweet Potato
Guatemalan Antigua,Costa Rican Tarrazu,Sulawesi Toraja
Bolognese Sauce,Alfredo Sauce,Cannoli
Right to participate in cultural life,Right to rest and leisure,Right to freedom of thought
Israel,Saudi Arabia,China
Gnocchi,Ravioli,Salami
Koala,Kangaroo,Bear
SpongeBob SquarePants,Patrick Star,Dora
Genuphobia,Gonasiophobia,Pogonophobia
Eastern Box Turtle,Red Eared Slider,Veiled Chameleon
Dora,Boots,Pink Panther
Black Hole Paradox,Event Horizon,Singularity
Limoncello,Grappa,Minestrone
Conchiglie,Orecchiette,Manicotti
Mount Damavand,Mount Ararat,Mount Etna
Oasis,Desert,Savanna
Marie Curie,Richard Feynman,Robert Oppenheimer
Palmier,Croissant,Muffin
Batman,Superman,Naruto
Homo Sapiens,Homo Denisova,Homo Erectus
Indiana,Ohio,Washington
Tigris River,Euphrates River,Nile River
Right to vote,Right to public participation,Right to own property
Marie Curie,James Watson,Rosalind Franklin
Edison's Electrographic Vote Recorder,Edison's Electric Power Meter,Google's Search Engine
Boxer,Pit Bull,German Shepherd
Gourami,Betta,Koi
Newt,Toad,Frog
Japanese Giant Salamander,Chinese Giant Salamander,Bullfrog
Orca Echolocation,Dolphin Echolocation,Orca Vocalization
Homo Sapiens,Homo Denisova,Homo Floresiensis
Montana,Washington,New Jersey
Declaration of Independence,Articles of Confederation,Constitution
Al-Farabi,Ibn Sina,Ibn Rushd
Sabre,Cutlass,Crossbow
Red-tailed Hawk,Red-shouldered Hawk,Red Cardinal
Internal Combustion Engine,Steam Engine,Assembly Line
Herodotus,Thucydides,Livy
Fordson Tractor,Quadricycle,Ford Fiesta
Tasmanian Devil,Tasmanian Tiger,Dhole
Yukon River,Mackenzie River,Thames River
Limburger,Taleggio,Boursin
Turnip,Radish,Potato
Donuts,Croissant,Scones
Mount Baldy,Mount Hood,Mount Everest
Riesling,Sauvignon Blanc,Zinfandel
Mexican Altura,Colombian Supremo,Ethiopian Yirgacheffe
Earning a Master's degree,Building a successful startup,Going to a party
Sweet Potato,Yam,Pumpkin
Milk,Soy Milk,Cola
Food Bank,Homeless Shelter,Restaurant
Turkish Van,Balinese,Ocicat
Lincoln's Presidential Campaign,Lincoln's Reelection,Lincoln's Vice President
Stephen Hawking's Universe,Into the Universe with Stephen Hawking,Cosmos: A Spacetime Odyssey
Kangaroo,Wallaby,Elephant
Philippine Tarsier,Tarsier Spectral,Harpy Eagle
American Sparrow,European Sparrow,American Goldfinch
Tomato,Eggplant,Cucumber
Magnolia,Orchid,Fern
Spanner,Wrench,Screwdriver
Ceylon Tea,Nilgiri Tea,Ginger Tea
Martini,Manhattan,Grape Juice
Tian Shan,Kunlun Mountains,Southern Alps
Electric Grill,Sandwich Maker,Freezer
Stephen Hawking,Albert Einstein,Isaac Newton
Mount St. Helens,Mount Vesuvius,Mount Washington
Ragdoll,British Shorthair,Scottish Fold
Caesar's Assassination,Mark Antony's Death,Cleopatra's Death
Asparagus,Broccoli,Carrot
Phalanges (hand),Metacarpals,Phalanges (foot)
Lincoln's Writings,Lincoln's Letters,Lincoln's Assassination Letter
Sit-ins,Freedom Rides,Women's Suffrage March
Pocahontas,Mulan,Ariel
Chihuahua,Yorkshire Terrier,Rottweiler
Captain America,Wolverine,Robin
Tiana,Prince Naveen,Ariel
Edison's Electrical Vote Recorder,Edison's Kinetoscope,Darwin's Theory of Evolution
Sprite,Coca Cola,Wine
Latte,Americano,Sprite
Telegraph,Telephone,Steam Engine
Pliers,Scissors,Wire cutters
Brownie,Blondie,Cannoli
Brazil,Argentina,Egypt
Hooded Pitohui,Northern Quoll,Kiwi Bird
Ichthyophobia,Selachophobia,Pediophobia
Chimpanzee,Gorilla,Lemur
Drakensberg,Rwenzori Mountains,Zagros Mountains
Mr. Burns,Smithers,Apu
Golden Eagle,Bald Eagle,Golden Pheasant
Building a business,Writing a book,Taking a nap
The Alamo,Gettysburg,Pearl Harbor
