Roman Law,Twelve Tables,Code of Hammurabi
The Statue of Unity,The Spring Temple Buddha,The Night Watch
Filibuster,Cloture,Veto
Gray Wolf,Red Wolf,Red Fox
The Incredibles,Cars,The Departed
Bull Market,Bear Market,Free Market
The Mask of Agamemnon,The Mask of Tutankhamun,The Rosetta Stone
The CN Tower,The Space Needle,The Pyramids of Giza
Utah Jazz,Phoenix Suns,LA Lakers
Iced Coffee,Iced Tea,Hot Tea
Mars,Jupiter,Odin
Aikido,Jiu Jitsu,Kickboxing
Treble Clef,Bass Clef,Alto Clef
Latin,Italian,Greek
Minas Tirith,Rivendell,The Shire
Red Giant,White Dwarf,Neutron Star
Shelob,Smaug,Balrog
Great Britain,Ireland,Sri Lanka
Gull,Tern,Owl
Gymnastic Mat,Gymnastic Beam,Gymnastic Leotard
William Tecumseh Sherman,Philip Sheridan,Dwight D. Eisenhower
The Pieta,The Venus de Milo,The Little Mermaid
Eddard Stark,Catelyn Stark,Tywin Lannister
Truman Doctrine,Marshall Plan,Berlin Airlift
Milwaukee Bucks,Seattle SuperSonics,Miami Heat
Asia,Africa,Australia
Cleveland Cavaliers,Golden State Warriors,LA Clippers
Mariana Trench,Great Blue Hole,Amazon River
Gymnastic Rope,Gymnastic Club,Gymnastic Beam
Egon Schiele,Gustav Klimt,Paul Gauguin
American Cuisine,British Cuisine,Moroccan Cuisine
Meryl Streep,Nicole Kidman,Julia Roberts
Carnaby Street,King's Road,Pennsylvania Avenue
Selma to Montgomery marches,Freedom Summer,Apollo 11
Ancient Greece,Roman Empire,Ancient India
Cuban Cuisine,Spanish Cuisine,Japanese Cuisine
King Cobra,Indian Cobra,King Penguin
Fat Tony,Legs,Barney Gumble
Gale Boetticher,Hector Salamanca,Skinny Pete
Meek Mill,Nicki Minaj,Lil Baby
Florence,Venice,Paris
The Alhambra,The Mezquita of Cordoba,The Statue of Liberty
Niagara Falls,Victoria Falls,The Dead Sea
Ash Ketchum,Misty,Ben 10
Black Canary,Zatanna,Bane
"The Good, the Bad and the Ugly",Once Upon a Time in the West,Psycho
Pinot Gris (Oregon),Pinot Noir (Oregon),Pinot Gris (Alsace)
The Mount Rushmore,The Motherland Calls,The Birth of Venus
Moe Szyslak,Barney Gumble,Lenny Leonard
The Rialto Bridge,The Ponte Vecchio,The Banpo Bridge
Thomas Edison,Nikola Tesla,William Shakespeare
Mac Miller,Anderson .Paak,Busta Rhymes
Aurelian,Probus,Caligula
Charlemagne,Louis XIV,George Washington
Democratic Socialism,Social Democracy,Libertarianism
Iliad,Odyssey,Aeneid
Saving,Investment,Consumption
Perspective in painting,Chiaroscuro,Cubism
Saruman,Sauron,Elrond
C++,C#,PHP
The Motherland Calls,The Statue of Liberty,The Pieta
MySQL,MongoDB,TensorFlow
Rene Magritte,Salvador Dali,Frida Kahlo
Permutation,Combination,Division
Andrea,Amy,Michonne
Boromir,Faramir,Eomer
Soundgarden,Alice In Chains,The Kinks
Renaissance,Enlightenment,Industrial Age
Snoopy,Charlie Brown,Garfield
Chrome,Firefox,Word
Cabernet Franc (Loire Valley),Chenin Blanc (Loire Valley),Cabernet Franc (Argentina)
Papyrus,Hieroglyphics,Mummy
Viggo Mortensen,Orlando Bloom,Elijah Wood
Mona Lisa,The Girl with a Pearl Earring,Guernica
Dew,Frost,Rain
Paris,Rome,Tokyo
Alps,Appalachian,Great Dividing
Shane Walsh,Rick Grimes,Glenn Rhee
Schindler's List (1993),The Silence of the Lambs (1991),Toy Story 3 (2010)
Psychosexual Stages,Psychosocial Stages,Operant Conditioning
Doctor Strange,Scarlet Witch,Batgirl
Sauteing,Stir frying,Roasting
Malala Yousafzai,Liu Xiaobo,Richard J. Roberts
Potato,Tomato,Banana
Harpy Eagle,Steller's Sea Eagle,Harp Seal
Mendelssohn,Dvorak,Mozart
Heron,Crane,Sparrow
Brown vs. Board of Education,Civil Rights Act of 1964,Vietnam War
H.P. Lovecraft,Edgar Allan Poe,Oscar Wilde
The Thinker,The Pieta,The Terracotta Army
Death Eaters,Order of the Phoenix,Dementors
Simon Bolivar,George Washington,Socrates
IPv4,IPv6,MAC
1984,Brave New World,The Lord of the Rings
Vitruvian Man,The Last Supper,Guernica
The Lord of the Rings: The Two Towers,The Lord of the Rings: The Return of the King,The Prestige
Battle of the Bulge,Battle of Guadalcanal,Siege of Leningrad
Ross Geller,Monica Geller,Carol Willick
Abstract Expressionism,Minimalism,Protestant Reformation
Namib,Thar,Patagonian
Albert Einstein,Isaac Newton,Charles Babbage
Angelina Jolie,Brad Pitt,Jennifer Aniston
Pacific Ocean,Indian Ocean,Alps
Akashi Kaikyo Bridge,Vasco da Gama Bridge,Pont du Gard
Romanticism,Neoclassicism,Scientific Revolution
James Joyce,Virginia Woolf,George Orwell
Handel,Haydn,Debussy
GitHub,BitBucket,Slack
Time Signature,Key Signature,Tempo
Mycroft Holmes,Eurus Holmes,Mrs. Hudson
Hákarl (Fermented Shark),Surströmming (Fermented Fish),Sushi
Ironclad ships,Gatling Gun,Atomic Bomb
Carrie Underwood,Taylor Swift,Ariana Grande
The Hound of the Baskervilles,A Study in Scarlet,The Sign of Four
Continental Army,British Army,French Army
Opportunity Cost,Sunk Cost,Fixed Cost
King,Queen,Knight
Himalayas,Alps,Ural
Claudius,Nero,Hadrian
Canopic Jars,Sarcophagus,Rosetta Stone
Beetle Bailey,B.C.,Hagar the Horrible
Tibia,Fibula,Radius
Balance of Payments,Balance of Trade,Fiscal Balance
Gobi,Patagonian,Mojave
Bing Cherry,Rainier Cherry,Bartlett Pear
Linear equation,Quadratic equation,Trigonometric equation
Loretta Lynn,Patsy Cline,Rihanna
Beetle Bailey,Dilbert,Popeye
Greenland,Iceland,Sri Lanka
Poppy Seeds,Sesame Seeds,Thyme
The Ottoman Empire,The German Empire,The Roman Empire
The Wire,Breaking Bad,Friends
Rachel Green,Carol Willick,Monica Geller
The Night King,White Walker,Wight
Merry,Pippin,Frodo
Neptune,Uranus,Saturn
Merlot (Bordeaux),Cabernet Sauvignon (Bordeaux),Merlot (California)
The Spring Temple Buddha,The Statue of Unity,The Winged Victory of Samothrace
The Green Mile,The Shawshank Redemption,The Godfather
Fort Sumter,Fort McHenry,Fort Knox
Lafayette,Napoleon Bonaparte,Louis XVI
The Midnight Ride,The Long March,The March on Washington
Travis Scott,Lil Uzi Vert,50 Cent
Steam Locomotive,Steamboat,Telephone
Power Loom,Spinning Jenny,Bessemer Process
Toga,Stola,Kimono
Milk Drop Coronet,Starving Child and Vulture,The Horse in Motion
Canoe Slalom,Kayaking,Pole Vault
The Tomb of Qin Shi Huang,The Tomb of King Tutankhamun,The Nazca Lines
Paul Revere,Samuel Adams,Marquis de Lafayette
The Leaning Tower of Pisa,The Eiffel Tower,Mount Everest
The Godfather Part II,Apocalypse Now,The Shining
Muay Thai,Kickboxing,Judo
Celine Dion,Madonna,Bruno Mars
Judo,Sambo,Muay Thai
The Pilate Stone,The Rosetta Stone,The Shroud of Turin
Comic Book Guy,Milhouse,Bart Simpson
Swedish Cuisine,Norwegian Cuisine,Chinese Cuisine
Pax Romana,Principate,Renaissance
Tasmania,Kangaroo Island,New Zealand
Sewing Machine,Telephone,Steam Engine
Guillotine,Firing squad,Hanging
The Terror,The Directory,The Consulate
Triangle,Rectangle,Sphere
Century Egg,Balut,Natto
Kinetic Energy,Potential Energy,Heat Energy
Cheesecake,Carrot Cake,Tiramisu
Stir frying,Sauteing,Baking
Wagner,Dvorak,Vivaldi
Tower Bridge,Sydney Harbour Bridge,Charles Bridge
Churros,Empanadas,Baklava
The Pyramids of Giza,The Sphinx,The Shard
The Persistence of Memory,Mona Lisa,The Night Watch
Corinthian Column,Doric Column,Gothic Arch
Dahomey Amazons,Zulu Impi,Roman Legion
Tatooine,Hoth,Endor
Beach Volleyball,Indoor Volleyball,10000m
Cognitive Bias,Confirmation Bias,Operant Conditioning
Gobi,Atacama,Thar
Bart Simpson,Homer Simpson,Peter Griffin
The Sagrada Familia,The St. Basil's Cathedral,The Lincoln Memorial
.docx,.xlsx,.jpg
Moon,Sun,Mars
Mona Lisa,The Last Supper,Starry Night
Modern Pentathlon,Decathlon,Triple Jump
Neelix,Kes,Wesley Crusher
Ponte di Rialto,Pont des Arts,Verrazano-Narrows Bridge
Namib,Patagonian,Atacama
Washington Wizards,Toronto Raptors,LA Lakers
Frances H. Arnold,Emmanuelle Charpentier,Malala Yousafzai
The David by Donatello,The David by Michelangelo,The Thinker by Rodin
Joey Tribbiani,Ross Geller,Phoebe Buffay
Oslo,Copenhagen,Helsinki
Peach Cobbler,Apple Cobbler,Pudding
Champagne,Prosecco,Beer
Romulus,Remus,Hercules
Aqueduct,Circus Maximus,Great Wall of China
Million Dollar Baby (2004),The Artist (2011),Avatar (2009)
Roman bath,Villa,Pyramid
Primary Election,General Election,Gubernatorial Election
Patronus Charm,Expelliarmus,Avada Kedavra
Chalice,Goblet,Plate
Sri Lanka,Madagascar,Borneo
Addition,Subtraction,Integration
Christmas Truce,Zimmermann Telegram,Treaty of Ghent
SPQR,Roman Numerals,Hieroglyphics
Hercules,Achilles,Beowulf
Aurora Borealis,Aurora Australis,Grand Canyon
Tornado,Tsunami,Hurricane
Jean-Paul Marat,Charlotte Corday,King Louis XVI
The Kiss by the Hotel de Ville,The Last Supper,The Birth of Venus
Anne Hathaway,Hugh Jackman,Christian Bale
Captain Marvel,Thor,Black Widow
Sistine Chapel,Uffizi Gallery,Louvre Museum
Mayor Quimby,Chief Wiggum,Marge Simpson
F. Scott Fitzgerald,Ernest Hemingway,J.R.R. Tolkien
Gamma Rays,X-Rays,Microwaves
Chandler Bing,Ross Geller,Gunther
Franklin D. Roosevelt,Harry S. Truman,Bill Clinton
The School of Athens,The Transfiguration,Guernica
Pearl Harbor,Hiroshima,Titanic
Dennis the Menace,Family Circus,Doonesbury
Black Sabbath,Deep Purple,Oasis
Refraction,Reflection,Diffraction
Demand,Supply,Elasticity
North America,Asia,Australia
Africa,Australia,North America
McCarthyism,Red Scare,Berlin Wall
Darkseid,Brainiac,Supergirl
Lion Man of the Hohlenstein Stadel,Venus de Milo,The Behistun Inscription
Albert Schweitzer,Desmond Tutu,Paul L. Modrich
The Lewis Chessmen,The Moai Statues,The Ishtar Gate
Tasmania,New Zealand,Madagascar
Sushi,Tempura,Tacos
Michonne,Carol Peletier,Negan
The Nebuchadnezzar,The Logos,The Hammer
Beef Bourguignon,Coq au Vin,Paella
Marmaduke,Garfield,Dennis the Menace
Sumatra,Sulawesi,Baffin Island
The Zombies,The Animals,Kings of Leon
The Directory,The Consulate,The Monarchy
Flint,Chert,Diorite
Los Pollos Hermanos,Car Wash,A1A Car Wash
Sahara,Namib,Thar
Chalk,Coal,Peridotite
Aspen,Cottonwood,Cedar
Rockies,Ural,Atlas
Yellow Passionfruit,Purple Passionfruit,Green Kiwi
Louis Pasteur,Robert Koch,Niels Bohr
Anthony Bourdain,Andrew Zimmern,Raymond Blanc
The Venus de Milo,The Statue of David,The Birth of Venus
Ant-Man,Wasp,Spiderman
Rome,Vatican City,Lisbon
Manila,Jakarta,Singapore
Salvador Dali,Joan Miro,Frida Kahlo
Ned Flanders,Maude Flanders,Apu Nahasapeemapetilon
Committee of Public Safety,National Convention,Estates-General
Lend-Lease Act,Neutrality Acts,Emancipation Proclamation
Alder,Birch,Pine
Sans-culottes,Jacobins,Girondins
Queen Isabella,Queen Victoria,Thomas Edison
Ariel,Ursula,Cinderella
The Musgrave Ritual,The Crooked Man,The Resident Patient
Volleyball,Basketball,Weightlifting
Fawkes,Buckbeak,Aragog
The Louvre,The British Museum,Sydney Opera House
Stormtrooper,Clone Trooper,Rebel Soldier
Bruno Mars,Lady Gaga,Rihanna
Saul Goodman,Jimmy McGill,Kim Wexler
The Sarcophagus of Ahiram,The Sarcophagus of Tutankhamun,The Chauvet Cave
Gatorade,Powerade,Coffee
The Little Mermaid,The Charging Bull,The Girl with a Pearl Earring
Confucianism,Taoism,Christianity
The Pazzi Conspiracy,The Sack of Rome,The French Revolution
Angle bisector,Median of a triangle,Radius of a circle
Levee en Masse,Conscription,Emigres
Constantius II,Julian,Vespasian
Big Wave Surfing,Kitesurfing,Sandboarding
The Proclamation of 1763,The Quebec Act,The Emancipation Proclamation
Songhai Empire,Mali Empire,Persian Empire
Comet,Meteor,Asteroid
Garfield,Marmaduke,Calvin and Hobbes
Sydney Opera House,Statue of Liberty,The Louvre
Blondie,Cathy,Popeye
C Major,A Minor,G Minor
Alfred Nobel,Marie Curie,James Watt
Neuron,Muscle Cell,Red Blood Cell
The Story Bridge,The Clifton Suspension Bridge,The Bayonne Bridge
Power Loom,Spinning Jenny,Bessemer Process
Einstein's Tongue,Guerrillero Heroico,Bliss
Sewing Machine,Cotton Gin,Steam Engine
Dream Analysis,Free Association,Observational Learning
Grey Worm,Missandei,Jorah Mormont
Telegraph,Telephone,Power Loom
Solfege,Fixed Do,Moveable Do
Asteroid Belt,Kuiper Belt,Oort Cloud
Rutherford B. Hayes,James A. Garfield,Bill Clinton
Shaggy,Velma,Johnny Bravo
Jaqen H'ghar,The Waif,Melisandre
Trade Deficit,Trade Surplus,Trade Agreement
Sun Tzu,Machiavelli,Leonardo Da Vinci
Foul Ball,Home Run,Baseball Glove
Reba McEntire,Kelly Clarkson,Beyonce
Street Luging,Downhill Skateboarding,Ice Climbing
Consumer Price Index (CPI),Producer Price Index (PPI),Gross Domestic Product (GDP)
Chicken Parmesan,Beef Bourguignon,Sushi
El Camino,Bag of Money,Barrel of Money
Pinotage (South Africa),Chenin Blanc (South Africa),Pinotage (New Zealand)
Caravaggio,Botticelli,Johannes Vermeer
Atlantic Ocean,Indian Ocean,Andaman Sea
Firewall,Antivirus,Photoshop
Nubian pyramids,Egyptian pyramids,Mayan pyramids
Cinnamon,Allspice,Rosemary
South America,North America,Antarctica
The Colosseum,The Great Wall of China,The Brandenburg Gate
The Christ the Redeemer Statue,The Statue of Liberty,The CN Tower
Africa,Australia,Antarctica
Keanu Reeves,Laurence Fishburne,Sandra Bullock
Sewing Machine,Power Loom,Steam Hammer
Siege Tower,Battering Ram,Horse
Mariah Carey,Whitney Houston,Kanye West
Panna Cotta,Gelato,Fruit Salad
Ryan Reynolds,Morena Baccarin,Blake Lively
Carl Wieman,Eric A. Cornell,Kofi Annan
Cabinet,Congress,Parliament
Popeye,B.C.,Beetle Bailey
The Disc of Phaistos,The Rongorongo Tablets,The Terracotta Army
Black Panthers,Southern Christian Leadership Conference,CIA
Kid Cudi,J. Cole,Lil Kim
Battle of Adwa,Battle of Isandlwana,Battle of Waterloo
Medici Family,Borgia Family,da Vinci
Dilbert,Doonesbury,The Far Side
The Beatles,The Rolling Stones,Ariana Grande
Kingdom of Aksum,Kingdom of Kush,Kingdom of England
The West Wing,House of Cards,The Witcher
Daredevil,Deadpool,Green Arrow
Commodus,Caracalla,Augustus
AC/DC,Aerosmith,Blink-182
The Maldives,Santorini,The Great Wall of China
Tchaikovsky,Wagner,Chopin
NATO,Warsaw Pact,Marshall Plan
Snowfall,Rainfall,Sunshine
Gymnastic Wristbands,Gymnastic Handguards,Gymnastic Trampoline
Thomas Jefferson,Benjamin Franklin,Albert Einstein
Yorktown,Saratoga,Waterloo
Jane Goodall,Dian Fossey,Rachel Carson
Holodeck,Replicator,Shuttlecraft
The Dendera Light,The Baghdad Battery,The Venus of Brassempouy
Bessemer Process,Open Hearth Furnace,Steamboat
Beethoven,Chopin,Bach
Paul Klee,Wassily Kandinsky,Claude Monet
Mahatma Gandhi,Martin Luther King Jr.,Adolf Hitler
Puffin,Penguin,Sparrow
Spitfire,Hurricane,Tiger Tank
South America,Africa,Australia
Black Widow,Hawkeye,Black Panther
Umpire,Pitcher,Baseball Cap
Robespierre,Danton,Lafayette
Vanilla,Almond Extract,Sage
Indian Ocean,Southern Ocean,Beaufort Sea
Samwell Tarly,Gilly,Theon Greyjoy
Green Lantern,Hawkeye,Wolverine
Dubai,Abu Dhabi,Athens
Squirrel,Rabbit,Bird
Joey Tribbiani,Ross Geller,Mike Hannigan
Ushabti,Canopic Jars,Demotic
Faubourg Saint-Honoré,Via Condotti,Gran Via
The Jacobins,The Girondins,The Sans-culottes
Circle,Ellipse,Square
The Handmaid's Tale,Fargo,The Office
Pheasant,Quail,Albatross
Desmond Tutu,Jimmy Carter,John Nash
Athens,Thessaloniki,Moscow
The School of Athens,The Annunciation,The Night Watch
Haiku,Tanka,Sonnet
Winston Churchill,Ernest Miller Hemingway,Richard P. Feynman
Handball,Water Polo,Hammer Throw
The Source,The Door,The Key
The Motherland Calls,The Pieta by Michelangelo,The Discobolus of Myron
French Revolution,Russian Revolution,Industrial Revolution
Hass Avocado,Fuerte Avocado,Kiwi
Dionysus,Demeter,Isis
Power Loom,Steam Engine,Telephone
The X-Files,Twin Peaks,The Office
Colosseum,Pantheon,Parthenon
Moussaka,Souvlaki,Beef Stroganoff
The Armistice of 11 November 1918,The Treaty of Versailles,The Munich Agreement
Jane Austen,Emily Bronte,J.R.R. Tolkien
Red Sea Coral Reef,Great Barrier Reef,Mount Kilimanjaro
Mojave,Thar,Gobi
Scarlett Johansson,Jeremy Renner,Mark Ruffalo
Toy Story,Finding Nemo,The Sixth Sense
Hagar the Horrible,Beetle Bailey,The Far Side
The Birth of Venus,The Last Supper,American Gothic
Peter Paul Rubens,Anthony van Dyck,Albrecht Durer
Schindler's List,Saving Private Ryan,The Silence of the Lambs
Operation Barbarossa,Operation Overlord,Operation Desert Storm
Tres Leches Cake,Flan,S'mores
Otto von Bismarck,Winston Churchill,Confucius
Pi,Euler's number (e),Square root of 2
Mao Zedong,Joseph Stalin,Winston Churchill
Guillotine,Firing Squad,Hanging
Roman Empire,Han Dynasty,Mayan Civilization
Iron Man,Thor,Hulk
Rogue,Mystique,Batwoman
Mongol Empire,Ottoman Empire,British Empire
Rangers,Islanders,Senators
Little Big Town,Florida Georgia Line,One Direction
Dew Point,Relative Humidity,Barometric Pressure
Banpo Bridge,Rainbow Bridge,The Helix Bridge
Rachel Green,Carol Willick,Ross Geller
Jennifer Lawrence,Bradley Cooper,Ryan Gosling
Ancient India,Ancient China,Ancient Greece
Blini,Beef Stroganoff,Coq au Vin
The Birth of Venus,Primavera,The Starry Night
Ice Cream Sundae,Ice Cream Cone,Jelly Roll
Fixed Exchange Rate,Floating Exchange Rate,Exchange Rate Mechanism (ERM)
Giada De Laurentiis,Mario Batali,Anthony Bourdain
Alpha Centauri,Proxima Centauri,Sirius
Mountain Unicycling,Mountain Biking,Bungee Jumping
Trojan War,Persian Wars,Punic Wars
The Situation Room,Behind the Gare Saint-Lazare,The Tetons and the Snake River
The Lion Man,The Great Sphinx of Giza,The Persistence of Memory
John Nash,Leonid Hurwicz,Albert Schweitzer
Versailles Treaty,Maastricht Treaty,Geneva Convention
Tomato,Eggplant,Oak
Pumice,Scoria,Gneiss
Natural Note,Sharp Note,Flat Note
Mahatma Gandhi,Jawaharlal Nehru,Abraham Lincoln
Reign of Terror,Thermidorian Reaction,Brumaire Coup
Porto,Lisbon,Rome
Warp Drive,Impulse Drive,Transporter
Kendrick Lamar,Kanye West,Tupac
Meiji Restoration,Edo Period,Taisho Democracy
Crusades,Inquisition,Renaissance
Spanish Armada,British Fleet,Roman Legion
Red Wedding,Purple Wedding,Battle of Bastards
Wynonna Judd,Naomi Judd,Madonna
Diocletian,Maximian,Tiberius
Slumdog Millionaire (2008),The Hurt Locker (2009),The Social Network (2010)
Transference,Countertransference,Systematic Desensitization
Fossilized fern,Fossilized pine cone,Mammoth tusk
Boron,Aluminum,Silicon
The Statue of Liberty,The Christ the Redeemer,The Sistine Chapel ceiling
Ygritte,Tormund Giantsbane,Sandor Clegane
Monk,Friar,Merchant
Europe,North America,Australia
Blue Whale,Fin Whale,Blue Shark
The Terracotta Army,The Great Sphinx,Christ the Redeemer
Quicksilver,Scarlet Witch,Vision
Boston Tea Party,Stamp Act,Magna Carta
The Night Watch,The Arnolfini Portrait,Guernica
Atacama,Mojave,Sonoran
Ice Climbing,Rock Climbing,Surfing
Rosita Espinosa,Abraham Ford,Carol Peletier
Dua Lipa,Billie Eilish,Post Malone
Fraction,Decimal,Percentage
Debussy,Ravel,Haydn
